"2020.acl-main.652","2020.coling-main.230","1"
"2020.coling-main.230","2020.acl-main.652","1"
"agirre-etal-2010-exploring","N15-1165","3"
"N15-1165","agirre-etal-2010-exploring","3"
"agirre-etal-2010-exploring","J14-1003","1.83333"
"J14-1003","agirre-etal-2010-exploring","1.83333"
"agirre-etal-2010-exploring","N09-1003","2.83333"
"N09-1003","agirre-etal-2010-exploring","2.83333"
"J14-1003","N09-1003","1.66667"
"N09-1003","J14-1003","1.66667"
"agirre-etal-2010-exploring","E09-1005","2.33333"
"E09-1005","agirre-etal-2010-exploring","2.33333"
"E09-1005","J14-1003","9.66667"
"J14-1003","E09-1005","9.66667"
"E09-1005","N09-1003","8.16667"
"N09-1003","E09-1005","8.16667"
"agirre-soroa-2008-using","E09-1005","5.33333"
"E09-1005","agirre-soroa-2008-using","5.33333"
"agirre-soroa-2008-using","N09-1003","1"
"N09-1003","agirre-soroa-2008-using","1"
"agirre-soroa-2008-using","N15-1165","0.333333"
"N15-1165","agirre-soroa-2008-using","0.333333"
"agirre-soroa-2008-using","W18-2505","0.333333"
"W18-2505","agirre-soroa-2008-using","0.333333"
"E09-1005","N15-1165","2.16667"
"N15-1165","E09-1005","2.16667"
"E09-1005","W18-2505","1.33333"
"W18-2505","E09-1005","1.33333"
"N15-1165","W18-2505","0.333333"
"W18-2505","N15-1165","0.333333"
"agirre-soroa-2008-using","J14-1003","1"
"J14-1003","agirre-soroa-2008-using","1"
"C14-1213","P16-1179","1"
"P16-1179","C14-1213","1"
"C14-1213","S15-1011","1"
"S15-1011","C14-1213","1"
"E09-1005","W06-1669","2.5"
"W06-1669","E09-1005","2.5"
"E09-1005","S07-1002","2.5"
"S07-1002","E09-1005","2.5"
"S07-1002","W06-1669","11.5"
"W06-1669","S07-1002","11.5"
"E09-1005","W06-3814","0.5"
"W06-3814","E09-1005","0.5"
"J14-1003","W06-3814","0.5"
"W06-3814","J14-1003","0.5"
"E09-1005","W09-3206","2.5"
"W09-3206","E09-1005","2.5"
"N09-1003","W09-3206","4.5"
"W09-3206","N09-1003","4.5"
"J14-1003","W06-1669","2"
"W06-1669","J14-1003","2"
"N09-1003","N15-1165","2.83333"
"N15-1165","N09-1003","2.83333"
"J14-1003","N15-1165","0.333333"
"N15-1165","J14-1003","0.333333"
"N09-1003","W06-1669","1"
"W06-1669","N09-1003","1"
"S07-1002","W06-3814","4"
"W06-3814","S07-1002","4"
"W06-1669","W06-3814","1.5"
"W06-3814","W06-1669","1.5"
"S07-1002","S07-1075","2"
"S07-1075","S07-1002","2"
"S07-1075","W06-1669","0.5"
"W06-1669","S07-1075","0.5"
"S07-1075","W06-3814","0.5"
"W06-3814","S07-1075","0.5"
"W06-3814","W09-3206","1"
"W09-3206","W06-3814","1"
