"2019.gwc-1.12","W18-5430","2"
"W18-5430","2019.gwc-1.12","2"
"2020.coling-main.422","2021.naacl-main.199","0.5"
"2021.naacl-main.199","2020.coling-main.422","0.5"
"2020.coling-main.422","R19-1016","0.5"
"R19-1016","2020.coling-main.422","0.5"
"2021.naacl-main.199","R19-1016","0.5"
"R19-1016","2021.naacl-main.199","0.5"
"2021.hackashop-1.7","P13-1166","1"
"P13-1166","2021.hackashop-1.7","1"
"2021.hackashop-1.7","L16-1187","1"
"L16-1187","2021.hackashop-1.7","1"
"fokkens-etal-2014-biographynet","P13-1166","0.333333"
"P13-1166","fokkens-etal-2014-biographynet","0.333333"
"fokkens-etal-2014-biographynet","R19-1016","0.333333"
"R19-1016","fokkens-etal-2014-biographynet","0.333333"
"fokkens-etal-2014-biographynet","W19-4728","0.333333"
"W19-4728","fokkens-etal-2014-biographynet","0.333333"
"P13-1166","R19-1016","0.333333"
"R19-1016","P13-1166","0.333333"
"P13-1166","W19-4728","0.333333"
"W19-4728","P13-1166","0.333333"
"R19-1016","W19-4728","0.333333"
"W19-4728","R19-1016","0.333333"
"fokkens-etal-2014-biographynet","L16-1187","0.5"
"L16-1187","fokkens-etal-2014-biographynet","0.5"
"fokkens-etal-2014-biographynet","L18-1590","0.5"
"L18-1590","fokkens-etal-2014-biographynet","0.5"
"L16-1187","L18-1590","0.5"
"L18-1590","L16-1187","0.5"
"fokkens-etal-2017-grasp","W13-1202","1"
"W13-1202","fokkens-etal-2017-grasp","1"
"P11-1107","Y11-1025","1"
"Y11-1025","P11-1107","1"
"W19-4728","W19-6105","1"
"W19-6105","W19-4728","1"
