"2020.emnlp-main.657","2020.lrec-1.846","1"
"2020.lrec-1.846","2020.emnlp-main.657","1"
"2021.naacl-main.437","D18-1170","0.5"
"D18-1170","2021.naacl-main.437","0.5"
"2021.naacl-main.437","P18-1230","0.5"
"P18-1230","2021.naacl-main.437","0.5"
"D18-1170","P18-1230","14.5"
"P18-1230","D18-1170","14.5"
"C08-1105","D09-1153","0.5"
"D09-1153","C08-1105","0.5"
"C08-1105","Y09-2011","0.5"
"Y09-2011","C08-1105","0.5"
"D09-1153","Y09-2011","1.5"
"Y09-2011","D09-1153","1.5"
"C16-1161","D16-1260","2"
"D16-1260","C16-1161","2"
"C16-1270","D15-1185","1"
"D15-1185","C16-1270","1"
"C16-1309","D16-1075","1"
"D16-1075","C16-1309","1"
"D09-1153","D15-1186","1.83333"
"D15-1186","D09-1153","1.83333"
"D09-1153","P16-1116","0.5"
"P16-1116","D09-1153","0.5"
"D15-1186","P16-1116","0.5"
"P16-1116","D15-1186","0.5"
"D09-1153","D16-1212","1.33333"
"D16-1212","D09-1153","1.33333"
"D09-1153","P17-1189","0.333333"
"P17-1189","D09-1153","0.333333"
"D15-1186","D16-1212","2.33333"
"D16-1212","D15-1186","2.33333"
"D15-1186","P17-1189","0.333333"
"P17-1189","D15-1186","0.333333"
"D16-1212","P17-1189","1.33333"
"P17-1189","D16-1212","1.33333"
"D16-1075","P15-1056","1"
"P15-1056","D16-1075","1"
