"2020.nlpcovid19-acl.1","2020.nlpcovid19-acl.9","1"
"2020.nlpcovid19-acl.9","2020.nlpcovid19-acl.1","1"
"C16-1058","D16-1102","2"
"D16-1102","C16-1058","2"
"C16-1058","D17-1205","2"
"D17-1205","C16-1058","2"
"C16-1327","W19-3320","1"
"W19-3320","C16-1327","1"
"C16-1327","P15-1039","2"
"P15-1039","C16-1327","2"
"C16-1327","P16-4001","0.5"
"P16-4001","C16-1327","0.5"
"P15-1039","P16-4001","5"
"P16-4001","P15-1039","5"
"C16-1327","D16-1102","0.5"
"D16-1102","C16-1327","0.5"
"D16-1102","P15-1039","3"
"P15-1039","D16-1102","3"
"C16-2056","D13-1079","0.2"
"D13-1079","C16-2056","0.2"
"C16-2056","D15-2003","0.2"
"D15-2003","C16-2056","0.2"
"C16-2056","N15-1045","0.2"
"N15-1045","C16-2056","0.2"
"C16-2056","P10-1014","0.2"
"P10-1014","C16-2056","0.2"
"C16-2056","P12-3019","0.2"
"P12-3019","C16-2056","0.2"
"D13-1079","D15-2003","0.2"
"D15-2003","D13-1079","0.2"
"D13-1079","N15-1045","0.2"
"N15-1045","D13-1079","0.2"
"D13-1079","P10-1014","3.03333"
"P10-1014","D13-1079","3.03333"
"D13-1079","P12-3019","2.7"
"P12-3019","D13-1079","2.7"
"D15-2003","N15-1045","0.2"
"N15-1045","D15-2003","0.2"
"D15-2003","P10-1014","0.2"
"P10-1014","D15-2003","0.2"
"D15-2003","P12-3019","0.2"
"P12-3019","D15-2003","0.2"
"N15-1045","P10-1014","0.2"
"P10-1014","N15-1045","0.2"
"N15-1045","P12-3019","0.2"
"P12-3019","N15-1045","0.2"
"P10-1014","P12-3019","1.7"
"P12-3019","P10-1014","1.7"
"C18-1058","P19-3023","1"
"P19-3023","C18-1058","1"
"C18-1058","P19-1586","1"
"P19-1586","C18-1058","1"
"D08-1003","P10-1014","3.16667"
"P10-1014","D08-1003","3.16667"
"D08-1003","D10-1098","1.16667"
"D10-1098","D08-1003","1.16667"
"D10-1098","P10-1014","2.16667"
"P10-1014","D10-1098","2.16667"
"D08-1003","P11-4019","0.333333"
"P11-4019","D08-1003","0.333333"
"D10-1098","P11-4019","0.333333"
"P11-4019","D10-1098","0.333333"
"P10-1014","P11-4019","1.33333"
"P11-4019","P10-1014","1.33333"
"D08-1003","D13-1079","0.333333"
"D13-1079","D08-1003","0.333333"
"D10-1098","D13-1079","1.33333"
"D13-1079","D10-1098","1.33333"
"D13-1079","P11-4019","1"
"P11-4019","D13-1079","1"
"D16-1102","D17-1205","0.5"
"D17-1205","D16-1102","0.5"
"D17-1205","P15-1039","2.5"
"P15-1039","D17-1205","2.5"
"N15-1045","P13-1114","2"
"P13-1114","N15-1045","2"
"N18-3010","P10-1014","0.333333"
"P10-1014","N18-3010","0.333333"
"N18-3010","P19-3023","0.333333"
"P19-3023","N18-3010","0.333333"
"N18-3010","W19-3320","0.333333"
"W19-3320","N18-3010","0.333333"
"P10-1014","P19-3023","0.333333"
"P19-3023","P10-1014","0.333333"
"P10-1014","W19-3320","0.333333"
"W19-3320","P10-1014","0.333333"
"P19-3023","W19-3320","0.333333"
"W19-3320","P19-3023","0.333333"
"P10-1014","P15-1039","0.5"
"P15-1039","P10-1014","0.5"
"P10-1014","P16-4001","0.5"
"P16-4001","P10-1014","0.5"
"P10-1014","P11-1091","1"
"P11-1091","P10-1014","1"
