"2010.jeptalnrecital-demonstration.9","P07-3010","1"
"P07-3010","2010.jeptalnrecital-demonstration.9","1"
"2020.lrec-1.452","W19-5354","1"
"W19-5354","2020.lrec-1.452","1"
"2020.vardial-1.1","W17-1201","3.66667"
"W17-1201","2020.vardial-1.1","3.66667"
"2020.vardial-1.1","W18-3901","2.66667"
"W18-3901","2020.vardial-1.1","2.66667"
"W17-1201","W18-3901","21.6667"
"W18-3901","W17-1201","21.6667"
"2020.vardial-1.1","L16-1641","0.333333"
"L16-1641","2020.vardial-1.1","0.333333"
"L16-1641","W17-1201","10.3333"
"W17-1201","L16-1641","10.3333"
"L16-1641","W18-3901","4.83333"
"W18-3901","L16-1641","4.83333"
"2020.vardial-1.1","2020.vardial-1.19","3"
"2020.vardial-1.19","2020.vardial-1.1","3"
"2020.vardial-1.1","2021.vardial-1.16","0.333333"
"2021.vardial-1.16","2020.vardial-1.1","0.333333"
"2021.vardial-1.16","W17-1201","0.333333"
"W17-1201","2021.vardial-1.16","0.333333"
"2021.vardial-1.16","W18-3901","0.333333"
"W18-3901","2021.vardial-1.16","0.333333"
"2020.vardial-1.19","L16-1641","0.5"
"L16-1641","2020.vardial-1.19","0.5"
"2020.vardial-1.19","W17-1201","0.5"
"W17-1201","2020.vardial-1.19","0.5"
"D10-1112","L16-1641","5"
"L16-1641","D10-1112","5"
"D10-1112","W17-1201","1.5"
"W17-1201","D10-1112","1.5"
"D10-1112","W18-3901","1.5"
"W18-3901","D10-1112","1.5"
"D19-6506","W17-4811","5"
"W17-4811","D19-6506","5"
"scherrer-sagot-2014-language","W13-5306","1"
"W13-5306","scherrer-sagot-2014-language","1"
"scherrer-sagot-2014-language","W14-5304","1"
"W14-5304","scherrer-sagot-2014-language","1"
"scherrer-sagot-2014-language","W17-1210","1"
"W17-1210","scherrer-sagot-2014-language","1"
"W14-5304","W17-1405","1"
"W17-1405","W14-5304","1"
"W17-4733","W17-4811","1"
"W17-4811","W17-4733","1"
"W17-4733","W18-6425","1"
"W18-6425","W17-4733","1"
"W17-4811","W19-5354","1"
"W19-5354","W17-4811","1"
"W17-4811","W19-5347","1"
"W19-5347","W17-4811","1"
"W18-6433","W19-5354","1"
"W19-5354","W18-6433","1"
"W19-5347","W19-5354","1"
"W19-5354","W19-5347","1"
