"2020.lrec-1.688","2020.udw-1.6","1"
"2020.udw-1.6","2020.lrec-1.688","1"
"2020.lrec-1.758","2020.semeval-1.188","2"
"2020.semeval-1.188","2020.lrec-1.758","2"
"C16-1325","K17-3001","2.33333"
"K17-3001","C16-1325","2.33333"
"C16-1325","coltekin-2010-freely","2.33333"
"coltekin-2010-freely","C16-1325","2.33333"
"coltekin-2010-freely","K17-3001","1.33333"
"K17-3001","coltekin-2010-freely","1.33333"
"C16-1325","coltekin-2014-set","0.333333"
"coltekin-2014-set","C16-1325","0.333333"
"coltekin-2010-freely","coltekin-2014-set","2.83333"
"coltekin-2014-set","coltekin-2010-freely","2.83333"
"coltekin-2014-set","K17-3001","0.333333"
"K17-3001","coltekin-2014-set","0.333333"
"coltekin-2010-freely","W14-0505","1.5"
"W14-0505","coltekin-2010-freely","1.5"
"coltekin-2014-set","W14-0505","0.5"
"W14-0505","coltekin-2014-set","0.5"
"K17-3001","L18-1608","1"
"L18-1608","K17-3001","1"
"K17-3001","W17-5028","1"
"W17-5028","K17-3001","1"
"K17-3001","W17-0404","1"
"W17-0404","K17-3001","1"
"S18-1004","W17-5028","0.833333"
"W17-5028","S18-1004","0.833333"
"S18-1004","W18-3906","0.333333"
"W18-3906","S18-1004","0.333333"
"S18-1004","W19-1406","0.333333"
"W19-1406","S18-1004","0.333333"
"W17-5028","W18-3906","0.666667"
"W18-3906","W17-5028","0.666667"
"W17-5028","W19-1406","0.833333"
"W19-1406","W17-5028","0.833333"
"W18-3906","W19-1406","0.333333"
"W19-1406","W18-3906","0.333333"
"S18-1004","W16-4802","1.5"
"W16-4802","S18-1004","1.5"
"W16-4802","W17-5028","0.833333"
"W17-5028","W16-4802","0.833333"
"S18-1004","W17-1218","1"
"W17-1218","S18-1004","1"
"W14-0505","W16-4802","0.333333"
"W16-4802","W14-0505","0.333333"
"W14-0505","W17-5028","0.333333"
"W17-5028","W14-0505","0.333333"
"W14-0505","W18-3906","0.333333"
"W18-3906","W14-0505","0.333333"
"W16-4802","W18-3906","0.333333"
"W18-3906","W16-4802","0.333333"
"W16-1714","W19-7809","1"
"W19-7809","W16-1714","1"
"W16-4802","W19-1406","1"
"W19-1406","W16-4802","1"
"W16-4803","W17-1203","1"
"W17-1203","W16-4803","1"
"W17-5028","W18-5903","0.5"
"W18-5903","W17-5028","0.5"
"W18-5903","W19-1406","0.5"
"W19-1406","W18-5903","0.5"
"W18-5812","W19-1416","1"
"W19-1416","W18-5812","1"
