"2020.coling-main.107","R19-1008","1"
"R19-1008","2020.coling-main.107","1"
"2020.coling-main.276","P19-1474","1"
"P19-1474","2020.coling-main.276","1"
"D17-2016","J19-3002","0.333333"
"J19-3002","D17-2016","0.333333"
"D17-2016","L18-1164","0.333333"
"L18-1164","D17-2016","0.333333"
"D17-2016","W16-1620","0.833333"
"W16-1620","D17-2016","0.833333"
"J19-3002","L18-1164","0.333333"
"L18-1164","J19-3002","0.333333"
"J19-3002","W16-1620","0.333333"
"W16-1620","J19-3002","0.333333"
"L18-1164","W16-1620","0.333333"
"W16-1620","L18-1164","0.333333"
"D17-2016","P17-1145","0.833333"
"P17-1145","D17-2016","0.833333"
"P17-1145","W16-1620","1.2"
"W16-1620","P17-1145","1.2"
"D17-2016","E17-2087","0.333333"
"E17-2087","D17-2016","0.333333"
"D17-2016","S16-1206","0.333333"
"S16-1206","D17-2016","0.333333"
"E17-2087","P17-1145","0.333333"
"P17-1145","E17-2087","0.333333"
"E17-2087","S16-1206","1.33333"
"S16-1206","E17-2087","1.33333"
"P17-1145","S16-1206","0.533333"
"S16-1206","P17-1145","0.533333"
"E17-1009","J19-3002","1"
"J19-3002","E17-1009","1"
"E17-1009","P17-1145","0.5"
"P17-1145","E17-1009","0.5"
"E17-1009","W16-1620","1"
"W16-1620","E17-1009","1"
"E17-1009","W11-2502","0.5"
"W11-2502","E17-1009","0.5"
"W11-2502","W16-1620","0.5"
"W16-1620","W11-2502","0.5"
"E17-1056","W17-1909","1"
"W17-1909","E17-1056","1"
"E17-1056","S16-1206","1"
"S16-1206","E17-1056","1"
"E17-2087","P19-1474","1"
"P19-1474","E17-2087","1"
"L16-1421","W12-0502","0.5"
"W12-0502","L16-1421","0.5"
"L16-1421","W16-1620","0.5"
"W16-1620","L16-1421","0.5"
"W12-0502","W16-1620","0.5"
"W16-1620","W12-0502","0.5"
"L18-1244","L18-1286","0.2"
"L18-1286","L18-1244","0.2"
"L18-1244","P17-1145","0.2"
"P17-1145","L18-1244","0.2"
"L18-1244","P18-2010","0.2"
"P18-2010","L18-1244","0.2"
"L18-1244","S16-1206","0.2"
"S16-1206","L18-1244","0.2"
"L18-1244","W16-1620","0.2"
"W16-1620","L18-1244","0.2"
"L18-1286","P17-1145","1.2"
"P17-1145","L18-1286","1.2"
"L18-1286","P18-2010","0.2"
"P18-2010","L18-1286","0.2"
"L18-1286","S16-1206","0.2"
"S16-1206","L18-1286","0.2"
"L18-1286","W16-1620","0.2"
"W16-1620","L18-1286","0.2"
"P17-1145","P18-2010","1.2"
"P18-2010","P17-1145","1.2"
"P18-2010","S16-1206","0.2"
"S16-1206","P18-2010","0.2"
"P18-2010","W16-1620","0.2"
"W16-1620","P18-2010","0.2"
"S16-1206","W16-1620","0.2"
"W16-1620","S16-1206","0.2"
"L18-1286","W19-4516","1"
"W19-4516","L18-1286","1"
"P18-2010","S19-2004","1"
"S19-2004","P18-2010","1"
"P18-2010","S19-2018","1"
"S19-2018","P18-2010","1"
"S19-2004","S19-2018","2"
"S19-2018","S19-2004","2"
"P19-1474","S16-1206","1"
"S16-1206","P19-1474","1"
"P19-2044","S19-1014","1"
"S19-1014","P19-2044","1"
"S16-1206","W11-2502","1"
"W11-2502","S16-1206","1"
"S19-2018","W16-1620","1"
"W16-1620","S19-2018","1"
