"2020.lrec-1.768","2021.wanlp-1.36","5"
"2021.wanlp-1.36","2020.lrec-1.768","5"
"I13-2001","W14-3605","1.8"
"W14-3605","I13-2001","1.8"
"I13-2001","W14-3618","1.16667"
"W14-3618","I13-2001","1.16667"
"I13-2001","W15-3204","0.883333"
"W15-3204","I13-2001","0.883333"
"W14-3605","W14-3618","1.5"
"W14-3618","W14-3605","1.5"
"W14-3605","W15-3204","4.36111"
"W15-3204","W14-3605","4.36111"
"W14-3618","W15-3204","0.333333"
"W15-3204","W14-3618","0.333333"
"I13-2001","W15-1614","1.28333"
"W15-1614","I13-2001","1.28333"
"I13-2001","zaghouani-etal-2014-large","2.11667"
"zaghouani-etal-2014-large","I13-2001","2.11667"
"W14-3605","W15-1614","3.14444"
"W15-1614","W14-3605","3.14444"
"W14-3605","zaghouani-etal-2014-large","14.6778"
"zaghouani-etal-2014-large","W14-3605","14.6778"
"W15-1614","W15-3204","1.22778"
"W15-3204","W15-1614","1.22778"
"W15-1614","zaghouani-etal-2014-large","3.51944"
"zaghouani-etal-2014-large","W15-1614","3.51944"
"W15-3204","zaghouani-etal-2014-large","1.92778"
"zaghouani-etal-2014-large","W15-3204","1.92778"
"I13-2001","L16-1295","0.55"
"L16-1295","I13-2001","0.55"
"L16-1295","W14-3605","0.411111"
"W14-3605","L16-1295","0.411111"
"L16-1295","W15-1614","0.686111"
"W15-1614","L16-1295","0.686111"
"L16-1295","W15-3204","0.411111"
"W15-3204","L16-1295","0.411111"
"L16-1295","zaghouani-etal-2014-large","0.686111"
"zaghouani-etal-2014-large","L16-1295","0.686111"
"I13-2001","L18-1574","0.25"
"L18-1574","I13-2001","0.25"
"L16-1295","L18-1574","0.375"
"L18-1574","L16-1295","0.375"
"L18-1574","W15-1614","0.375"
"W15-1614","L18-1574","0.375"
"L18-1574","zaghouani-etal-2014-large","1.40833"
"zaghouani-etal-2014-large","L18-1574","1.40833"
"W14-3618","zaghouani-etal-2014-large","1.66667"
"zaghouani-etal-2014-large","W14-3618","1.66667"
"I13-2001","W15-3219","0.25"
"W15-3219","I13-2001","0.25"
"W14-3605","W15-3219","0.25"
"W15-3219","W14-3605","0.25"
"W15-1614","W15-3219","0.25"
"W15-3219","W15-1614","0.25"
"W15-3219","zaghouani-etal-2014-large","0.25"
"zaghouani-etal-2014-large","W15-3219","0.25"
"I13-2001","L16-1577","0.1"
"L16-1577","I13-2001","0.1"
"I13-2001","maamouri-etal-2010-speech","0.1"
"maamouri-etal-2010-speech","I13-2001","0.1"
"I13-2001","palmer-etal-2008-pilot","0.1"
"palmer-etal-2008-pilot","I13-2001","0.1"
"I13-2001","W10-1836","0.1"
"W10-1836","I13-2001","0.1"
"I13-2001","W12-2015","0.1"
"W12-2015","I13-2001","0.1"
"I13-2001","W12-2511","0.1"
"W12-2511","I13-2001","0.1"
"I13-2001","W15-3209","0.1"
"W15-3209","I13-2001","0.1"
"L16-1295","L16-1577","0.225"
"L16-1577","L16-1295","0.225"
"L16-1295","maamouri-etal-2010-speech","0.336111"
"maamouri-etal-2010-speech","L16-1295","0.336111"
"L16-1295","palmer-etal-2008-pilot","0.336111"
"palmer-etal-2008-pilot","L16-1295","0.336111"
"L16-1295","W10-1836","0.336111"
"W10-1836","L16-1295","0.336111"
"L16-1295","W12-2015","0.1"
"W12-2015","L16-1295","0.1"
"L16-1295","W12-2511","0.336111"
"W12-2511","L16-1295","0.336111"
"L16-1295","W15-3209","0.211111"
"W15-3209","L16-1295","0.211111"
"L16-1577","maamouri-etal-2010-speech","0.225"
"maamouri-etal-2010-speech","L16-1577","0.225"
