"2007.sigdial-1.10","2007.sigdial-1.9","1"
"2007.sigdial-1.9","2007.sigdial-1.10","1"
"2007.sigdial-1.25","E09-1081","0.922222"
"E09-1081","2007.sigdial-1.25","0.922222"
"2007.sigdial-1.25","E09-1085","1.14444"
"E09-1085","2007.sigdial-1.25","1.14444"
"2007.sigdial-1.25","E12-1052","0.472222"
"E12-1052","2007.sigdial-1.25","0.472222"
"2007.sigdial-1.25","N09-1043","0.394444"
"N09-1043","2007.sigdial-1.25","0.394444"
"2007.sigdial-1.25","W10-4302","0.972222"
"W10-4302","2007.sigdial-1.25","0.972222"
"2007.sigdial-1.25","W10-4342","0.361111"
"W10-4342","2007.sigdial-1.25","0.361111"
"2007.sigdial-1.25","W12-1641","0.0833333"
"W12-1641","2007.sigdial-1.25","0.0833333"
"2007.sigdial-1.25","W12-1643","0.305556"
"W12-1643","2007.sigdial-1.25","0.305556"
"2007.sigdial-1.25","W12-1814","0.305556"
"W12-1814","2007.sigdial-1.25","0.305556"
"2007.sigdial-1.25","W12-4705","0.0833333"
"W12-4705","2007.sigdial-1.25","0.0833333"
"2007.sigdial-1.25","W13-4030","0.0833333"
"W13-4030","2007.sigdial-1.25","0.0833333"
"2007.sigdial-1.25","W13-4048","0.194444"
"W13-4048","2007.sigdial-1.25","0.194444"
"E09-1081","E09-1085","5.68016"
"E09-1085","E09-1081","5.68016"
"E09-1081","E12-1052","0.757937"
"E12-1052","E09-1081","0.757937"
"E09-1081","N09-1043","2.5373"
"N09-1043","E09-1081","2.5373"
"E09-1081","W10-4302","0.615079"
"W10-4302","E09-1081","0.615079"
"E09-1081","W10-4342","1.67063"
"W10-4342","E09-1081","1.67063"
"E09-1081","W12-1641","1.91667"
"W12-1641","E09-1081","1.91667"
"E09-1081","W12-1643","0.305556"
"W12-1643","E09-1081","0.305556"
"E09-1081","W12-1814","2.88889"
"W12-1814","E09-1081","2.88889"
"E09-1081","W12-4705","0.0833333"
"W12-4705","E09-1081","0.0833333"
"E09-1081","W13-4030","1.22619"
"W13-4030","E09-1081","1.22619"
"E09-1081","W13-4048","0.670635"
"W13-4048","E09-1081","0.670635"
"E09-1085","E12-1052","0.980159"
"E12-1052","E09-1085","0.980159"
"E09-1085","N09-1043","4.62064"
"N09-1043","E09-1085","4.62064"
"E09-1085","W10-4302","1.5873"
"W10-4302","E09-1085","1.5873"
"E09-1085","W10-4342","2.89286"
"W10-4342","E09-1085","2.89286"
"E09-1085","W12-1641","0.916667"
"W12-1641","E09-1085","0.916667"
"E09-1085","W12-1643","0.194444"
"W12-1643","E09-1085","0.194444"
"E09-1085","W12-1814","0.944444"
"W12-1814","E09-1085","0.944444"
"E09-1085","W12-4705","1.08333"
"W12-4705","E09-1085","1.08333"
"E09-1085","W13-4030","1.14286"
"W13-4030","E09-1085","1.14286"
"E09-1085","W13-4048","0.22619"
"W13-4048","E09-1085","0.22619"
"E12-1052","N09-1043","0.337302"
"N09-1043","E12-1052","0.337302"
"E12-1052","W10-4302","0.615079"
"W10-4302","E12-1052","0.615079"
"E12-1052","W10-4342","0.503968"
"W10-4342","E12-1052","0.503968"
"E12-1052","W12-1641","0.0833333"
"W12-1641","E12-1052","0.0833333"
"E12-1052","W12-1643","0.305556"
"W12-1643","E12-1052","0.305556"
"E12-1052","W12-1814","0.305556"
"W12-1814","E12-1052","0.305556"
"E12-1052","W12-4705","0.0833333"
"W12-4705","E12-1052","0.0833333"
"E12-1052","W13-4030","0.72619"
"W13-4030","E12-1052","0.72619"
"E12-1052","W13-4048","0.337302"
"W13-4048","E12-1052","0.337302"
"N09-1043","W10-4302","0.753968"
"W10-4302","N09-1043","0.753968"
"N09-1043","W10-4342","0.47619"
"W10-4342","N09-1043","0.47619"
"N09-1043","W12-1641","0.0833333"
"W12-1641","N09-1043","0.0833333"
"N09-1043","W12-1643","0.194444"
"W12-1643","N09-1043","0.194444"
"N09-1043","W12-1814","0.194444"
"W12-1814","N09-1043","0.194444"
"N09-1043","W12-4705","0.0833333"
"W12-4705","N09-1043","0.0833333"
"N09-1043","W13-4030","0.5"
"W13-4030","N09-1043","0.5"
"N09-1043","W13-4048","0.0833333"
"W13-4048","N09-1043","0.0833333"
"W10-4302","W10-4342","0.503968"
"W10-4342","W10-4302","0.503968"
"W10-4302","W12-1641","0.416667"
"W12-1641","W10-4302","0.416667"
"W10-4302","W12-1643","0.305556"
"W12-1643","W10-4302","0.305556"
"W10-4302","W12-1814","0.305556"
"W12-1814","W10-4302","0.305556"
"W10-4302","W12-4705","0.0833333"
"W12-4705","W10-4302","0.0833333"
"W10-4302","W13-4030","0.583333"
"W13-4030","W10-4302","0.583333"
"W10-4302","W13-4048","0.194444"
"W13-4048","W10-4302","0.194444"
"W10-4342","W12-1641","0.0833333"
"W12-1641","W10-4342","0.0833333"
"W10-4342","W12-1643","0.194444"
"W12-1643","W10-4342","0.194444"
"W10-4342","W12-1814","0.194444"
"W12-1814","W10-4342","0.194444"
"W10-4342","W12-4705","0.0833333"
"W12-4705","W10-4342","0.0833333"
"W10-4342","W13-4030","0.0833333"
"W13-4030","W10-4342","0.0833333"
"W10-4342","W13-4048","0.194444"
"W13-4048","W10-4342","0.194444"
"W12-1641","W12-1643","0.0833333"
"W12-1643","W12-1641","0.0833333"
"W12-1641","W12-1814","1.91667"
"W12-1814","W12-1641","1.91667"
"W12-1641","W12-4705","0.0833333"
"W12-4705","W12-1641","0.0833333"
"W12-1641","W13-4030","0.0833333"
"W13-4030","W12-1641","0.0833333"
"W12-1641","W13-4048","0.0833333"
"W13-4048","W12-1641","0.0833333"
"W12-1643","W12-1814","0.305556"
"W12-1814","W12-1643","0.305556"
"W12-1643","W12-4705","0.0833333"
"W12-4705","W12-1643","0.0833333"
"W12-1643","W13-4030","0.25"
"W13-4030","W12-1643","0.25"
"W12-1643","W13-4048","0.361111"
"W13-4048","W12-1643","0.361111"
"W12-1814","W12-4705","0.0833333"
"W12-4705","W12-1814","0.0833333"
"W12-1814","W13-4030","0.0833333"
"W13-4030","W12-1814","0.0833333"
"W12-1814","W13-4048","0.527778"
"W13-4048","W12-1814","0.527778"
"W12-4705","W13-4030","0.0833333"
"W13-4030","W12-4705","0.0833333"
"W12-4705","W13-4048","0.0833333"
"W13-4048","W12-4705","0.0833333"
"W13-4030","W13-4048","0.392857"
"W13-4048","W13-4030","0.392857"
"2007.sigdial-1.25","W09-3905","0.838889"
"W09-3905","2007.sigdial-1.25","0.838889"
"2007.sigdial-1.25","W10-4308","0.2"
"W10-4308","2007.sigdial-1.25","0.2"
"E09-1081","W09-3905","2.6246"
"W09-3905","E09-1081","2.6246"
"E09-1081","W10-4308","1.61667"
"W10-4308","E09-1081","1.61667"
"E09-1085","W09-3905","3.68016"
"W09-3905","E09-1085","3.68016"
"E09-1085","W10-4308","1.61667"
"W10-4308","E09-1085","1.61667"
"N09-1043","W09-3905","3.70397"
"W09-3905","N09-1043","3.70397"
"N09-1043","W10-4308","1.03333"
"W10-4308","N09-1043","1.03333"
"W09-3905","W10-4308","0.45"
"W10-4308","W09-3905","0.45"
"2007.sigdial-1.25","W09-0509","0.25"
"W09-0509","2007.sigdial-1.25","0.25"
"E09-1081","W09-0509","0.583333"
"W09-0509","E09-1081","0.583333"
"E09-1085","W09-0509","0.583333"
"W09-0509","E09-1085","0.583333"
"W09-0509","W09-3905","0.25"
"W09-3905","W09-0509","0.25"
"2007.sigdial-1.25","W08-0113","0.277778"
"W08-0113","2007.sigdial-1.25","0.277778"
"E09-1081","W08-0113","0.420635"
"W08-0113","E09-1081","0.420635"
"E12-1052","W08-0113","0.420635"
"W08-0113","E12-1052","0.420635"
"E12-1052","W09-3905","0.674603"
"W09-3905","E12-1052","0.674603"
"W08-0113","W09-3905","0.420635"
"W09-3905","W08-0113","0.420635"
"W08-0113","W10-4302","0.277778"
"W10-4302","W08-0113","0.277778"
"W08-0113","W10-4342","0.277778"
"W10-4342","W08-0113","0.277778"
"W09-3905","W10-4302","1.19841"
"W10-4302","W09-3905","1.19841"
"W09-3905","W10-4342","1.92063"
"W10-4342","W09-3905","1.92063"
"2007.sigdial-1.25","W03-2106","0.111111"
"W03-2106","2007.sigdial-1.25","0.111111"
"E09-1081","W03-2106","0.111111"
"W03-2106","E09-1081","0.111111"
"E09-1085","W03-2106","0.111111"
"W03-2106","E09-1085","0.111111"
"E12-1052","W03-2106","0.111111"
"W03-2106","E12-1052","0.111111"
"N09-1043","W03-2106","0.111111"
"W03-2106","N09-1043","0.111111"
"W03-2106","W09-3905","0.111111"
"W09-3905","W03-2106","0.111111"
"W03-2106","W10-4302","0.111111"
"W10-4302","W03-2106","0.111111"
"W03-2106","W12-1643","0.111111"
"W12-1643","W03-2106","0.111111"
"W03-2106","W12-1814","0.111111"
"W12-1814","W03-2106","0.111111"
"W09-3905","W12-1643","0.388889"
"W12-1643","W09-3905","0.388889"
"W09-3905","W12-1814","0.222222"
"W12-1814","W09-3905","0.222222"
"W08-0113","W12-1643","0.111111"
"W12-1643","W08-0113","0.111111"
"W08-0113","W12-1814","0.111111"
"W12-1814","W08-0113","0.111111"
"W08-0113","W13-4048","0.253968"
"W13-4048","W08-0113","0.253968"
"W09-3905","W13-4048","0.420635"
"W13-4048","W09-3905","0.420635"
"2020.emnlp-main.26","E17-1031","1"
"E17-1031","2020.emnlp-main.26","1"
"2020.emnlp-main.26","E09-1085","1"
"E09-1085","2020.emnlp-main.26","1"
"C08-2003","E17-1031","1"
"E17-1031","C08-2003","1"
