"2020.conll-1.15","D17-1112","1"
"D17-1112","2020.conll-1.15","1"
"D13-1005","P12-1020","2"
"P12-1020","D13-1005","2"
"D13-1005","P16-2010","1"
"P16-2010","D13-1005","1"
"E09-1018","P08-2011","2.5"
"P08-2011","E09-1018","2.5"
"E09-1018","P11-1118","1"
"P11-1118","E09-1018","1"
"E09-1018","P11-2022","1"
"P11-2022","E09-1018","1"
"P08-2011","P11-1118","1"
"P11-1118","P08-2011","1"
"P08-2011","P11-2022","9.5"
"P11-2022","P08-2011","9.5"
"P11-1118","P11-2022","4"
"P11-2022","P11-1118","4"
"E09-1018","N07-1055","0.5"
"N07-1055","E09-1018","0.5"
"N07-1055","P08-2011","3"
"P08-2011","N07-1055","3"
"E09-1018","P08-1095","0.5"
"P08-1095","E09-1018","0.5"
"P08-1095","P08-2011","0.5"
"P08-2011","P08-1095","0.5"
"E09-1018","P10-2007","0.5"
"P10-2007","E09-1018","0.5"
"P08-2011","P10-2007","0.5"
"P10-2007","P08-2011","0.5"
"E12-1065","N07-1055","1"
"N07-1055","E12-1065","1"
"E12-1065","P08-2011","1"
"P08-2011","E12-1065","1"
"J10-3004","P08-1095","6.83333"
"P08-1095","J10-3004","6.83333"
"J10-3004","P11-1118","8.83333"
"P11-1118","J10-3004","8.83333"
"P08-1095","P11-1118","4.83333"
"P11-1118","P08-1095","4.83333"
"J10-3004","W09-1803","1.33333"
"W09-1803","J10-3004","1.33333"
"P08-1095","W09-1803","0.333333"
"W09-1803","P08-1095","0.333333"
"P11-1118","W09-1803","0.333333"
"W09-1803","P11-1118","0.333333"
"N07-1055","P11-2022","6.5"
"P11-2022","N07-1055","6.5"
"N07-1055","P11-1118","1"
"P11-1118","N07-1055","1"
