"2020.acl-main.529","D19-5506","3"
"D19-5506","2020.acl-main.529","3"
"2020.findings-emnlp.138","D16-1047","0.333333"
"D16-1047","2020.findings-emnlp.138","0.333333"
"2020.findings-emnlp.138","D17-1010","0.333333"
"D17-1010","2020.findings-emnlp.138","0.333333"
"2020.findings-emnlp.138","N13-1037","0.333333"
"N13-1037","2020.findings-emnlp.138","0.333333"
"D16-1047","D17-1010","3.66667"
"D17-1010","D16-1047","3.66667"
"D16-1047","N13-1037","0.666667"
"N13-1037","D16-1047","0.666667"
"D17-1010","N13-1037","0.666667"
"N13-1037","D17-1010","0.666667"
"2020.findings-emnlp.138","Q17-1021","1.5"
"Q17-1021","2020.findings-emnlp.138","1.5"
"2020.findings-emnlp.138","D16-1152","0.5"
"D16-1152","2020.findings-emnlp.138","0.5"
"D16-1152","Q17-1021","2.7"
"Q17-1021","D16-1152","2.7"
"D08-1035","N09-1040","12"
"N09-1040","D08-1035","12"
"D08-1035","D15-1263","0.333333"
"D15-1263","D08-1035","0.333333"
"D08-1035","P14-1002","1.33333"
"P14-1002","D08-1035","1.33333"
"D08-1035","Q15-1024","0.333333"
"Q15-1024","D08-1035","0.333333"
"D15-1263","P14-1002","20.8333"
"P14-1002","D15-1263","20.8333"
"D15-1263","Q15-1024","1.66667"
"Q15-1024","D15-1263","1.66667"
"P14-1002","Q15-1024","6.33333"
"Q15-1024","P14-1002","6.33333"
"D08-1035","D10-1124","1"
"D10-1124","D08-1035","1"
"D08-1035","N13-1100","1"
"N13-1100","D08-1035","1"
"D08-1109","N09-1010","5"
"N09-1010","D08-1109","5"
"D10-1124","P11-1137","10.7833"
"P11-1137","D10-1124","10.7833"
"D10-1124","N13-1037","5.48333"
"N13-1037","D10-1124","5.48333"
"D10-1124","P11-2008","6.61667"
"P11-2008","D10-1124","6.61667"
"D10-1124","W13-1102","0.783333"
"W13-1102","D10-1124","0.783333"
"N13-1037","P11-1137","5.95"
"P11-1137","N13-1037","5.95"
"N13-1037","P11-2008","20.6167"
"P11-2008","N13-1037","20.6167"
"N13-1037","W13-1102","2.78333"
"W13-1102","N13-1037","2.78333"
"P11-1137","P11-2008","3.83333"
"P11-2008","P11-1137","3.83333"
"P11-1137","W13-1102","3.03333"
"W13-1102","P11-1137","3.03333"
"P11-2008","W13-1102","0.833333"
"W13-1102","P11-2008","0.833333"
"D10-1124","D15-1256","5.2"
"D15-1256","D10-1124","5.2"
"D10-1124","N15-1185","0.2"
"N15-1185","D10-1124","0.2"
"D15-1256","N13-1037","0.2"
"N13-1037","D15-1256","0.2"
"D15-1256","N15-1185","0.2"
"N15-1185","D15-1256","0.2"
"D15-1256","P11-1137","1.45"
"P11-1137","D15-1256","1.45"
"D15-1256","W13-1102","0.45"
"W13-1102","D15-1256","0.45"
"N13-1037","N15-1185","0.7"
"N15-1185","N13-1037","0.7"
"N15-1185","P11-1137","0.2"
"P11-1137","N15-1185","0.2"
"N15-1185","W13-1102","0.2"
"W13-1102","N15-1185","0.2"
"D10-1124","D13-1007","1"
"D13-1007","D10-1124","1"
"D10-1124","P08-1031","1"
"P08-1031","D10-1124","1"
"D10-1124","Q17-1021","2.2"
"Q17-1021","D10-1124","2.2"
"D10-1124","D16-1152","0.2"
"D16-1152","D10-1124","0.2"
"D10-1124","W10-0510","0.2"
"W10-0510","D10-1124","0.2"
"D16-1152","N13-1037","0.2"
"N13-1037","D16-1152","0.2"
"D16-1152","P11-2008","0.2"
"P11-2008","D16-1152","0.2"
"D16-1152","W10-0510","0.2"
"W10-0510","D16-1152","0.2"
"N13-1037","Q17-1021","0.2"
"Q17-1021","N13-1037","0.2"
"N13-1037","W10-0510","0.2"
"W10-0510","N13-1037","0.2"
"P11-2008","Q17-1021","0.2"
"Q17-1021","P11-2008","0.2"
"P11-2008","W10-0510","0.2"
"W10-0510","P11-2008","0.2"
"Q17-1021","W10-0510","0.2"
"W10-0510","Q17-1021","0.2"
"D10-1124","N15-1069","0.333333"
"N15-1069","D10-1124","0.333333"
"N13-1037","N15-1069","1.33333"
"N15-1069","N13-1037","1.33333"
"N15-1069","P11-2008","1.33333"
"P11-2008","N15-1069","1.33333"
"D13-1007","P11-2008","5.83333"
"P11-2008","D13-1007","5.83333"
"D13-1007","N13-1037","5.33333"
"N13-1037","D13-1007","5.33333"
"D13-1007","P11-1137","0.5"
"P11-1137","D13-1007","0.5"
"D13-1007","N16-1157","0.333333"
"N16-1157","D13-1007","0.333333"
"N13-1037","N16-1157","1.83333"
"N16-1157","N13-1037","1.83333"
"N16-1157","P11-2008","1.33333"
"P11-2008","N16-1157","1.33333"
"D13-1007","P12-1020","1"
"P12-1020","D13-1007","1"
"D13-1007","W13-1102","1"
"W13-1102","D13-1007","1"
"D13-1090","P11-2008","1"
"P11-2008","D13-1090","1"
"D15-1256","P11-2008","1.25"
"P11-2008","D15-1256","1.25"
"D15-1256","D16-1152","1"
"D16-1152","D15-1256","1"
"D15-1256","P14-2068","0.25"
"P14-2068","D15-1256","0.25"
"P11-1137","P14-2068","0.25"
"P14-2068","P11-1137","0.25"
"P11-2008","P14-2068","0.75"
"P14-2068","P11-2008","0.75"
"P14-2068","W13-1102","0.25"
"W13-1102","P14-2068","0.25"
"D15-1263","D15-1264","1.83333"
"D15-1264","D15-1263","1.83333"
"D15-1263","N16-1037","0.833333"
"N16-1037","D15-1263","0.833333"
"D15-1264","N16-1037","0.833333"
"N16-1037","D15-1264","0.833333"
"D15-1264","Q15-1024","2.83333"
"Q15-1024","D15-1264","2.83333"
"N16-1037","Q15-1024","11.8333"
"Q15-1024","N16-1037","11.8333"
"N16-1037","P14-1002","0.5"
"P14-1002","N16-1037","0.5"
"D15-1263","N13-1100","1.5"
"N13-1100","D15-1263","1.5"
"N13-1100","P14-1002","1.5"
"P14-1002","N13-1100","1.5"
"D15-1264","P14-1002","1.5"
"P14-1002","D15-1264","1.5"
"D16-1047","W13-1102","0.333333"
"W13-1102","D16-1047","0.333333"
"D17-1010","W13-1102","0.333333"
"W13-1102","D17-1010","0.333333"
"D17-1010","P11-2008","1"
"P11-2008","D17-1010","1"
"D18-1467","D19-1433","1"
"D19-1433","D18-1467","1"
"J17-3003","N18-2022","0.333333"
"N18-2022","J17-3003","0.333333"
"J17-3003","P17-1082","0.333333"
"P17-1082","J17-3003","0.333333"
"J17-3003","Q17-1021","0.333333"
"Q17-1021","J17-3003","0.333333"
"N18-2022","P17-1082","0.333333"
"P17-1082","N18-2022","0.333333"
"N18-2022","Q17-1021","0.333333"
"Q17-1021","N18-2022","0.333333"
"P17-1082","Q17-1021","0.333333"
"Q17-1021","P17-1082","0.333333"
"N06-2010","P07-1045","1"
"P07-1045","N06-2010","1"
"N09-1010","P11-2008","1"
"P11-2008","N09-1010","1"
"N13-1037","P14-2068","0.5"
"P14-2068","N13-1037","0.5"
"N15-1069","N16-1157","0.5"
"N16-1157","N15-1069","0.5"
"N13-1037","P17-1082","0.5"
"P17-1082","N13-1037","0.5"
"N15-1185","P17-1082","0.5"
"P17-1082","N15-1185","0.5"
"N13-1037","P14-2088","0.5"
"P14-2088","N13-1037","0.5"
"N15-1069","P14-2088","3.5"
"P14-2088","N15-1069","3.5"
"N13-1100","N16-1037","1"
"N16-1037","N13-1100","1"
"N15-1185","Q17-1021","1"
"Q17-1021","N15-1185","1"
"N16-1037","P11-2008","1"
"P11-2008","N16-1037","1"
"P07-1045","P08-1097","1"
"P08-1097","P07-1045","1"
"P08-1031","P11-2008","1"
"P11-2008","P08-1031","1"
"P11-2008","P14-1002","2"
"P14-1002","P11-2008","2"
"P14-1002","W16-5903","1"
"W16-5903","P14-1002","1"
