"2010.amta-papers.15","W09-3020","2"
"W09-3020","2010.amta-papers.15","2"
"2020.acl-main.505","C18-1003","0.25"
"C18-1003","2020.acl-main.505","0.25"
"2020.acl-main.505","K17-1023","0.75"
"K17-1023","2020.acl-main.505","0.75"
"2020.acl-main.505","N18-1185","0.25"
"N18-1185","2020.acl-main.505","0.25"
"2020.acl-main.505","W19-5923","0.75"
"W19-5923","2020.acl-main.505","0.75"
"C18-1003","K17-1023","0.95"
"K17-1023","C18-1003","0.95"
"C18-1003","N18-1185","0.45"
"N18-1185","C18-1003","0.45"
"C18-1003","W19-5923","0.45"
"W19-5923","C18-1003","0.45"
"K17-1023","N18-1185","0.45"
"N18-1185","K17-1023","0.45"
"K17-1023","W19-5923","0.95"
"W19-5923","K17-1023","0.95"
"N18-1185","W19-5923","2.45"
"W19-5923","N18-1185","2.45"
"2020.emnlp-main.686","C18-1003","3"
"C18-1003","2020.emnlp-main.686","3"
"2020.emnlp-main.686","2021.codi-sharedtask.6","1"
"2021.codi-sharedtask.6","2020.emnlp-main.686","1"
"2020.iwpt-1.13","L18-1347","0.833333"
"L18-1347","2020.iwpt-1.13","0.833333"
"2020.iwpt-1.13","W11-3801","0.833333"
"W11-3801","2020.iwpt-1.13","0.833333"
"L18-1347","W11-3801","3.33333"
"W11-3801","L18-1347","3.33333"
"2020.iwpt-1.13","W18-6009","0.333333"
"W18-6009","2020.iwpt-1.13","0.333333"
"L18-1347","W18-6009","0.833333"
"W18-6009","L18-1347","0.833333"
"W11-3801","W18-6009","0.833333"
"W18-6009","W11-3801","0.833333"
"C18-1003","S18-1007","0.2"
"S18-1007","C18-1003","0.2"
"C18-1003","W16-3612","2.7"
"W16-3612","C18-1003","2.7"
"K17-1023","S18-1007","1.2"
"S18-1007","K17-1023","1.2"
"K17-1023","W16-3612","4.03333"
"W16-3612","K17-1023","4.03333"
"N18-1185","S18-1007","0.2"
"S18-1007","N18-1185","0.2"
"N18-1185","W16-3612","2.2"
"W16-3612","N18-1185","2.2"
"S18-1007","W16-3612","0.2"
"W16-3612","S18-1007","0.2"
"S18-1007","W19-5923","0.2"
"W19-5923","S18-1007","0.2"
"W16-3612","W19-5923","1.2"
"W19-5923","W16-3612","1.2"
"choi-etal-2010-propbank","choi-etal-2010-propbank-instance","4.5"
"choi-etal-2010-propbank-instance","choi-etal-2010-propbank","4.5"
"choi-etal-2010-propbank","W11-0403","0.5"
"W11-0403","choi-etal-2010-propbank","0.5"
"choi-etal-2010-propbank-instance","W11-0403","3.5"
"W11-0403","choi-etal-2010-propbank-instance","3.5"
"K17-1023","N16-1031","0.333333"
"N16-1031","K17-1023","0.333333"
"K17-1023","W17-5407","0.333333"
"W17-5407","K17-1023","0.333333"
"N16-1031","W16-3612","0.333333"
"W16-3612","N16-1031","0.333333"
"N16-1031","W17-5407","0.333333"
"W17-5407","N16-1031","0.333333"
"W16-3612","W17-5407","0.333333"
"W17-5407","W16-3612","0.333333"
"N16-1031","P15-1038","2"
"P15-1038","N16-1031","2"
"N16-1031","P13-1104","1.5"
"P13-1104","N16-1031","1.5"
"N16-1031","W17-5220","0.5"
"W17-5220","N16-1031","0.5"
"P13-1104","W17-5220","0.5"
"W17-5220","P13-1104","0.5"
"P11-2121","P13-1104","2"
"P13-1104","P11-2121","2"
"P11-2121","W11-0906","1"
"W11-0906","P11-2121","1"
"P11-2121","P12-2071","2"
"P12-2071","P11-2121","2"
"P11-2121","W10-1811","1"
"W10-1811","P11-2121","1"
"P11-2121","W11-3801","1"
"W11-3801","P11-2121","1"
"P12-2071","P13-1104","2.5"
"P13-1104","P12-2071","2.5"
"P12-2071","W13-4917","0.5"
"W13-4917","P12-2071","0.5"
"P13-1104","W13-4917","2.5"
"W13-4917","P13-1104","2.5"
"P13-1104","P15-1038","3"
"P15-1038","P13-1104","3"
"P13-1104","W11-0403","1"
"W11-0403","P13-1104","1"
"vaidya-etal-2012-empty","W11-0403","3"
"W11-0403","vaidya-etal-2012-empty","3"
