"2005.mtsummit-posters.8","W06-2113","1"
"W06-2113","2005.mtsummit-posters.8","1"
"2009.eamt-1.32","Y09-1019","2"
"Y09-1019","2009.eamt-1.32","2"
"2009.eamt-1.32","2010.amta-papers.23","3"
"2010.amta-papers.23","2009.eamt-1.32","3"
"2010.amta-papers.16","W10-1720","2.5"
"W10-1720","2010.amta-papers.16","2.5"
"2010.amta-papers.16","Y09-2027","1.5"
"Y09-2027","2010.amta-papers.16","1.5"
"W10-1720","Y09-2027","0.5"
"Y09-2027","W10-1720","0.5"
"2011.mtsummit-papers.32","Y09-2027","1"
"Y09-2027","2011.mtsummit-papers.32","1"
"2011.mtsummit-papers.32","2012.eamt-1.41","4"
"2012.eamt-1.41","2011.mtsummit-papers.32","4"
"2011.mtsummit-papers.32","W15-3017","1"
"W15-3017","2011.mtsummit-papers.32","1"
"2014.amta-wptp.5","W19-6702","2"
"W19-6702","2014.amta-wptp.5","2"
"C16-1241","P16-2046","3.08333"
"P16-2046","C16-1241","3.08333"
"C16-1241","C16-2021","0.25"
"C16-2021","C16-1241","0.25"
"C16-1241","W13-2814","0.25"
"W13-2814","C16-1241","0.25"
"C16-1241","W15-3026","0.25"
"W15-3026","C16-1241","0.25"
"C16-2021","P16-2046","0.25"
"P16-2046","C16-2021","0.25"
"C16-2021","W13-2814","0.25"
"W13-2814","C16-2021","0.25"
"C16-2021","W15-3026","0.25"
"W15-3026","C16-2021","0.25"
"P16-2046","W13-2814","0.75"
"W13-2814","P16-2046","0.75"
"P16-2046","W15-3026","0.75"
"W15-3026","P16-2046","0.75"
"W13-2814","W15-3026","1.25"
"W15-3026","W13-2814","1.25"
"C16-1241","E17-2056","0.333333"
"E17-2056","C16-1241","0.333333"
"C16-1241","W15-3017","0.833333"
"W15-3017","C16-1241","0.833333"
"E17-2056","P16-2046","2.33333"
"P16-2046","E17-2056","2.33333"
"E17-2056","W15-3017","0.333333"
"W15-3017","E17-2056","0.333333"
"P16-2046","W15-3017","0.833333"
"W15-3017","P16-2046","0.833333"
"C16-2021","W15-3017","0.5"
"W15-3017","C16-2021","0.5"
"C16-2021","W15-5206","0.5"
"W15-5206","C16-2021","0.5"
"W15-3017","W15-5206","2.33333"
"W15-5206","W15-3017","2.33333"
"E17-2056","W15-3026","1"
"W15-3026","E17-2056","1"
"L16-1095","W15-3017","1.33333"
"W15-3017","L16-1095","1.33333"
"L16-1095","W15-5206","1.83333"
"W15-5206","L16-1095","1.83333"
"L16-1095","W15-3026","0.833333"
"W15-3026","L16-1095","0.833333"
"W15-3026","W15-5206","1.33333"
"W15-5206","W15-3026","1.33333"
"W15-3017","W15-3026","1.33333"
"W15-3026","W15-3017","1.33333"
"P06-2025","W10-3707","1"
"W10-3707","P06-2025","1"
"W10-1720","W10-3707","1"
"W10-3707","W10-1720","1"
"W13-2814","W15-3017","0.5"
"W15-3017","W13-2814","0.5"
"W15-3026","W16-2333","1"
"W16-2333","W15-3026","1"
