"C10-2070","michelbacher-etal-2010-building","1"
"michelbacher-etal-2010-building","C10-2070","1"
"evert-etal-2004-identifying","fritzinger-etal-2010-survey","0.5"
"fritzinger-etal-2010-survey","evert-etal-2004-identifying","0.5"
"evert-etal-2004-identifying","weller-heid-2010-extraction","0.5"
"weller-heid-2010-extraction","evert-etal-2004-identifying","0.5"
"fritzinger-etal-2010-survey","weller-heid-2010-extraction","1"
"weller-heid-2010-extraction","fritzinger-etal-2010-survey","1"
"evert-etal-2004-identifying","ritz-heid-2006-extraction","1"
"ritz-heid-2006-extraction","evert-etal-2004-identifying","1"
"faass-etal-2010-design","schmid-etal-2004-smor","2"
"schmid-etal-2004-smor","faass-etal-2010-design","2"
"fritzinger-etal-2010-survey","heid-weller-2008-tools","0.5"
"heid-weller-2008-tools","fritzinger-etal-2010-survey","0.5"
"heid-weller-2008-tools","weller-heid-2010-extraction","0.5"
"weller-heid-2010-extraction","heid-weller-2008-tools","0.5"
"heid-etal-2010-corpus","ivanova-etal-2008-evaluating","0.5"
"ivanova-etal-2008-evaluating","heid-etal-2010-corpus","0.5"
"heid-etal-2010-corpus","weller-heid-2010-extraction","0.5"
"weller-heid-2010-extraction","heid-etal-2010-corpus","0.5"
"ivanova-etal-2008-evaluating","weller-heid-2010-extraction","0.5"
"weller-heid-2010-extraction","ivanova-etal-2008-evaluating","0.5"
"heid-etal-2010-corpus","schmid-etal-2004-smor","1"
"schmid-etal-2004-smor","heid-etal-2010-corpus","1"
"ritz-heid-2006-extraction","todirascu-etal-2008-hybrid","1"
"todirascu-etal-2008-hybrid","ritz-heid-2006-extraction","1"
"schmid-etal-2004-smor","weller-heid-2012-analyzing","6"
"weller-heid-2012-analyzing","schmid-etal-2004-smor","6"
"W16-4706","W17-7002","1"
"W17-7002","W16-4706","1"
