"kozawa-etal-2008-automatic","tohyama-etal-2008-construction-metadata","1"
"tohyama-etal-2008-construction-metadata","kozawa-etal-2008-automatic","1"
"matsubara-etal-2002-bilingual","tohyama-matsubara-2006-collection","2.5"
"tohyama-matsubara-2006-collection","matsubara-etal-2002-bilingual","2.5"
"matsubara-etal-2002-bilingual","ono-etal-2008-construction","0.833333"
"ono-etal-2008-construction","matsubara-etal-2002-bilingual","0.833333"
"ono-etal-2008-construction","tohyama-matsubara-2006-collection","0.5"
"tohyama-matsubara-2006-collection","ono-etal-2008-construction","0.5"
"matsubara-etal-2002-bilingual","P06-2088","0.666667"
"P06-2088","matsubara-etal-2002-bilingual","0.666667"
"matsubara-etal-2002-bilingual","P09-1060","0.666667"
"P09-1060","matsubara-etal-2002-bilingual","0.666667"
"matsubara-etal-2002-bilingual","W10-4335","0.333333"
"W10-4335","matsubara-etal-2002-bilingual","0.333333"
"P06-2088","P09-1060","0.666667"
"P09-1060","P06-2088","0.666667"
"P06-2088","W10-4335","0.333333"
"W10-4335","P06-2088","0.333333"
"P09-1060","W10-4335","0.333333"
"W10-4335","P09-1060","0.333333"
"ono-etal-2008-construction","P06-2088","0.333333"
"P06-2088","ono-etal-2008-construction","0.333333"
"ono-etal-2008-construction","P09-1060","0.333333"
"P09-1060","ono-etal-2008-construction","0.333333"
