"2020.argmining-1.13","2020.coling-main.402","1"
"2020.coling-main.402","2020.argmining-1.13","1"
"C08-1109","P10-2065","10.3667"
"P10-2065","C08-1109","10.3667"
"C08-1109","P15-2097","1.2"
"P15-2097","C08-1109","1.2"
"C08-1109","W13-3601","8.7"
"W13-3601","C08-1109","8.7"
"P10-2065","P15-2097","1.025"
"P15-2097","P10-2065","1.025"
"P10-2065","W13-3601","9.43333"
"W13-3601","P10-2065","9.43333"
"P15-2097","W13-3601","8.78333"
"W13-3601","P15-2097","8.78333"
"C08-1109","W07-1604","18.3667"
"W07-1604","C08-1109","18.3667"
"C08-1109","W08-1205","5.16667"
"W08-1205","C08-1109","5.16667"
"W07-1604","W08-1205","5"
"W08-1205","W07-1604","5"
"C08-1109","han-etal-2010-using","3.83333"
"han-etal-2010-using","C08-1109","3.83333"
"C08-1109","N12-1029","0.5"
"N12-1029","C08-1109","0.5"
"C08-1109","P11-2089","0.666667"
"P11-2089","C08-1109","0.666667"
"C08-1109","W11-2111","2.16667"
"W11-2111","C08-1109","2.16667"
"han-etal-2010-using","N12-1029","0.166667"
"N12-1029","han-etal-2010-using","0.166667"
"han-etal-2010-using","P10-2065","4.825"
"P10-2065","han-etal-2010-using","4.825"
"han-etal-2010-using","P11-2089","0.491667"
"P11-2089","han-etal-2010-using","0.491667"
"han-etal-2010-using","W08-1205","0.166667"
"W08-1205","han-etal-2010-using","0.166667"
"han-etal-2010-using","W11-2111","0.166667"
"W11-2111","han-etal-2010-using","0.166667"
"N12-1029","P10-2065","0.666667"
"P10-2065","N12-1029","0.666667"
"N12-1029","P11-2089","0.166667"
"P11-2089","N12-1029","0.166667"
"N12-1029","W08-1205","0.166667"
"W08-1205","N12-1029","0.166667"
"N12-1029","W11-2111","0.166667"
"W11-2111","N12-1029","0.166667"
"P10-2065","P11-2089","0.491667"
"P11-2089","P10-2065","0.491667"
"P10-2065","W08-1205","1.36667"
"W08-1205","P10-2065","1.36667"
"P10-2065","W11-2111","0.166667"
"W11-2111","P10-2065","0.166667"
"P11-2089","W08-1205","1.45"
"W08-1205","P11-2089","1.45"
"P11-2089","W11-2111","0.166667"
"W11-2111","P11-2089","0.166667"
"W08-1205","W11-2111","0.366667"
"W11-2111","W08-1205","0.366667"
"P10-2065","W07-1604","4.49167"
"W07-1604","P10-2065","4.49167"
"han-etal-2010-using","W07-1604","3.125"
"W07-1604","han-etal-2010-using","3.125"
"C08-1109","W10-1010","1"
"W10-1010","C08-1109","1"
"P11-2089","W13-3601","1.81667"
"W13-3601","P11-2089","1.81667"
"W07-1604","W13-3601","2.03333"
"W13-3601","W07-1604","2.03333"
"C08-1109","E17-2037","0.7"
"E17-2037","C08-1109","0.7"
"E17-2037","P10-2065","1.025"
"P10-2065","E17-2037","1.025"
"E17-2037","P15-2097","19.1417"
"P15-2097","E17-2037","19.1417"
"E17-2037","W07-1604","0.825"
"W07-1604","E17-2037","0.825"
"E17-2037","W13-3601","11.6833"
"W13-3601","E17-2037","11.6833"
"P15-2097","W07-1604","0.491667"
"W07-1604","P15-2097","0.491667"
"C08-1109","W12-2027","2.66667"
"W12-2027","C08-1109","2.66667"
"C08-1109","C12-1038","3.66667"
"C12-1038","C08-1109","3.66667"
"C12-1038","N12-1029","0.333333"
"N12-1029","C12-1038","0.333333"
"C12-1038","W07-1604","0.666667"
"W07-1604","C12-1038","0.666667"
"N12-1029","W07-1604","0.333333"
"W07-1604","N12-1029","0.333333"
"C08-1109","N13-1055","1.5"
"N13-1055","C08-1109","1.5"
"han-etal-2010-using","N13-1055","0.366667"
"N13-1055","han-etal-2010-using","0.366667"
"han-etal-2010-using","P15-2097","0.291667"
"P15-2097","han-etal-2010-using","0.291667"
"han-etal-2010-using","W13-3601","1.53333"
"W13-3601","han-etal-2010-using","1.53333"
"N13-1055","P10-2065","1.7"
"P10-2065","N13-1055","1.7"
"N13-1055","P15-2097","0.333333"
"P15-2097","N13-1055","0.333333"
"N13-1055","W07-1604","0.666667"
"W07-1604","N13-1055","0.666667"
"N13-1055","W13-3601","3.03333"
"W13-3601","N13-1055","3.03333"
"C12-1038","han-etal-2010-using","0.533333"
"han-etal-2010-using","C12-1038","0.533333"
"C12-1038","P10-2065","1.2"
"P10-2065","C12-1038","1.2"
"C12-1038","W13-3601","8.1"
"W13-3601","C12-1038","8.1"
"C08-1109","W10-1006","2"
"W10-1006","C08-1109","2"
"C08-1109","W09-3010","0.5"
"W09-3010","C08-1109","0.5"
"N13-1055","W09-3010","0.5"
"W09-3010","N13-1055","0.5"
"C12-1038","N13-1055","0.7"
"N13-1055","C12-1038","0.7"
"P10-2065","W12-2027","0.666667"
"W12-2027","P10-2065","0.666667"
"W12-2027","W13-3601","0.666667"
"W13-3601","W12-2027","0.666667"
"C12-1038","D16-1228","0.2"
"D16-1228","C12-1038","0.2"
"C12-1038","P15-2097","0.9"
"P15-2097","C12-1038","0.9"
"C12-1038","Q16-1013","0.366667"
"Q16-1013","C12-1038","0.366667"
"C12-1038","W17-5019","0.2"
"W17-5019","C12-1038","0.2"
"D16-1228","P15-2097","4.60833"
"P15-2097","D16-1228","4.60833"
"D16-1228","Q16-1013","3.025"
"Q16-1013","D16-1228","3.025"
"D16-1228","W13-3601","1.23333"
"W13-3601","D16-1228","1.23333"
"D16-1228","W17-5019","0.2"
"W17-5019","D16-1228","0.2"
"P15-2097","Q16-1013","3.50833"
"Q16-1013","P15-2097","3.50833"
"P15-2097","W17-5019","0.2"
"W17-5019","P15-2097","0.2"
"Q16-1013","W13-3601","3.88333"
"W13-3601","Q16-1013","3.88333"
"Q16-1013","W17-5019","0.2"
"W17-5019","Q16-1013","0.2"
"W13-3601","W17-5019","0.2"
"W17-5019","W13-3601","0.2"
"C12-1038","P11-2089","1.06667"
"P11-2089","C12-1038","1.06667"
"P11-2089","P15-2097","1.65833"
"P15-2097","P11-2089","1.65833"
"C12-1038","W08-1205","1.03333"
"W08-1205","C12-1038","1.03333"
"W08-1205","W13-3601","1.93333"
"W13-3601","W08-1205","1.93333"
"N13-1055","P11-2089","0.2"
"P11-2089","N13-1055","0.2"
"C12-1038","W10-1006","0.2"
"W10-1006","C12-1038","0.2"
"P11-2089","W10-1006","2.075"
"W10-1006","P11-2089","2.075"
"P15-2097","W08-1205","1.35"
"W08-1205","P15-2097","1.35"
"P15-2097","W10-1006","0.325"
"W10-1006","P15-2097","0.325"
"W08-1205","W10-1006","0.45"
"W10-1006","W08-1205","0.45"
"W10-1006","W13-3601","0.45"
"W13-3601","W10-1006","0.45"
"C12-1038","E17-2037","0.166667"
"E17-2037","C12-1038","0.166667"
"C12-1038","P14-2029","0.166667"
"P14-2029","C12-1038","0.166667"
"E17-2037","N13-1055","0.5"
"N13-1055","E17-2037","0.5"
"E17-2037","P14-2029","4.28333"
"P14-2029","E17-2037","4.28333"
"E17-2037","Q16-1013","4.525"
"Q16-1013","E17-2037","4.525"
"N13-1055","P14-2029","0.5"
"P14-2029","N13-1055","0.5"
"N13-1055","Q16-1013","0.166667"
"Q16-1013","N13-1055","0.166667"
"P14-2029","P15-2097","3.31667"
"P15-2097","P14-2029","3.31667"
"P14-2029","Q16-1013","1.15"
"Q16-1013","P14-2029","1.15"
"P14-2029","W13-3601","2.9"
"W13-3601","P14-2029","2.9"
"C12-1038","W09-3010","0.5"
"W09-3010","C12-1038","0.5"
"W08-1205","W09-3010","1.75"
"W09-3010","W08-1205","1.75"
"C12-1158","W13-1706","25.6667"
"W13-1706","C12-1158","25.6667"
"C12-1158","W15-0620","3.16667"
"W15-0620","C12-1158","3.16667"
"C12-1158","W17-5007","4.16667"
"W17-5007","C12-1158","4.16667"
"W13-1706","W15-0620","5.16667"
"W15-0620","W13-1706","5.16667"
"W13-1706","W17-5007","19.5"
"W17-5007","W13-1706","19.5"
"W15-0620","W17-5007","2.16667"
"W17-5007","W15-0620","2.16667"
"C12-1158","P10-2065","0.5"
"P10-2065","C12-1158","0.5"
"C12-1158","W08-1205","0.5"
"W08-1205","C12-1158","0.5"
"C12-1158","N12-1003","1"
"N12-1003","C12-1158","1"
"C14-3004","W12-2005","1"
"W12-2005","C14-3004","1"
"D11-1119","W13-1706","0.5"
"W13-1706","D11-1119","0.5"
"D11-1119","W15-0620","0.5"
"W15-0620","D11-1119","0.5"
"D11-1119","W07-1604","1"
"W07-1604","D11-1119","1"
"D13-1013","E14-4010","1.33333"
"E14-4010","D13-1013","1.33333"
"D13-1013","P14-2029","0.333333"
"P14-2029","D13-1013","0.333333"
"D13-1013","W13-3601","0.333333"
"W13-3601","D13-1013","0.333333"
"E14-4010","P14-2029","0.333333"
"P14-2029","E14-4010","0.333333"
"E14-4010","W13-3601","0.333333"
"W13-3601","E14-4010","0.333333"
"D16-1228","E17-2037","3.325"
"E17-2037","D16-1228","3.325"
"D16-1228","P14-2029","1.95"
"P14-2029","D16-1228","1.95"
"D16-1228","Q19-1032","0.333333"
"Q19-1032","D16-1228","0.333333"
"E17-2037","Q19-1032","0.666667"
"Q19-1032","E17-2037","0.666667"
"P15-2097","Q19-1032","0.333333"
"Q19-1032","P15-2097","0.333333"
"D16-1228","Q16-1005","0.5"
"Q16-1005","D16-1228","0.5"
"P14-2029","Q16-1005","2"
"Q16-1005","P14-2029","2"
"D16-1228","P11-2089","0.625"
"P11-2089","D16-1228","0.625"
"D16-1228","W08-1205","0.5"
"W08-1205","D16-1228","0.5"
"E17-2037","P11-2089","0.875"
"P11-2089","E17-2037","0.875"
"E17-2037","W08-1205","0.7"
"W08-1205","E17-2037","0.7"
"P11-2089","Q16-1013","0.875"
"Q16-1013","P11-2089","0.875"
"Q16-1013","W08-1205","0.9"
"W08-1205","Q16-1013","0.9"
"D16-1228","han-etal-2010-using","0.125"
"han-etal-2010-using","D16-1228","0.125"
"D16-1228","P10-2065","0.125"
"P10-2065","D16-1228","0.125"
"D16-1228","W07-1604","0.125"
"W07-1604","D16-1228","0.125"
"D16-1228","W10-1006","0.125"
"W10-1006","D16-1228","0.125"
"E17-2037","han-etal-2010-using","0.125"
"han-etal-2010-using","E17-2037","0.125"
"E17-2037","W10-1006","0.125"
"W10-1006","E17-2037","0.125"
"han-etal-2010-using","Q16-1013","0.125"
"Q16-1013","han-etal-2010-using","0.125"
"han-etal-2010-using","W10-1006","0.125"
"W10-1006","han-etal-2010-using","0.125"
"P10-2065","Q16-1013","0.325"
"Q16-1013","P10-2065","0.325"
"P10-2065","W10-1006","0.625"
"W10-1006","P10-2065","0.625"
"P11-2089","W07-1604","0.125"
