"2002.jeptalnrecital-recital.8","W03-2204","1"
"W03-2204","2002.jeptalnrecital-recital.8","1"
"2008.eamt-1.17","max-etal-2010-contrastive","1"
"max-etal-2010-contrastive","2008.eamt-1.17","1"
"2008.jeptalnrecital-long.23","2010.jeptalnrecital-long.13","0.333333"
"2010.jeptalnrecital-long.13","2008.jeptalnrecital-long.23","0.333333"
"2008.jeptalnrecital-long.23","D10-1064","0.333333"
"D10-1064","2008.jeptalnrecital-long.23","0.333333"
"2008.jeptalnrecital-long.23","max-wisniewski-2010-mining","0.333333"
"max-wisniewski-2010-mining","2008.jeptalnrecital-long.23","0.333333"
"2010.jeptalnrecital-long.13","D10-1064","0.333333"
"D10-1064","2010.jeptalnrecital-long.13","0.333333"
"2010.jeptalnrecital-long.13","max-wisniewski-2010-mining","0.333333"
"max-wisniewski-2010-mining","2010.jeptalnrecital-long.13","0.333333"
"D10-1064","max-wisniewski-2010-mining","0.333333"
"max-wisniewski-2010-mining","D10-1064","0.333333"
"2008.jeptalnrecital-long.23","2010.jeptalnrecital-court.18","0.333333"
"2010.jeptalnrecital-court.18","2008.jeptalnrecital-long.23","0.333333"
"2008.jeptalnrecital-long.23","C10-1027","0.333333"
"C10-1027","2008.jeptalnrecital-long.23","0.333333"
"2008.jeptalnrecital-long.23","W09-2503","0.333333"
"W09-2503","2008.jeptalnrecital-long.23","0.333333"
"2010.jeptalnrecital-court.18","C10-1027","0.333333"
"C10-1027","2010.jeptalnrecital-court.18","0.333333"
"2010.jeptalnrecital-court.18","W09-2503","0.333333"
"W09-2503","2010.jeptalnrecital-court.18","0.333333"
"C10-1027","W09-2503","0.333333"
"W09-2503","C10-1027","0.333333"
"2010.jeptalnrecital-court.18","max-wisniewski-2010-mining","1"
"max-wisniewski-2010-mining","2010.jeptalnrecital-court.18","1"
"2013.iwslt-papers.16","C10-1027","1"
"C10-1027","2013.iwslt-papers.16","1"
"C04-1166","max-wisniewski-2010-mining","0.666667"
"max-wisniewski-2010-mining","C04-1166","0.666667"
"C04-1166","P11-2069","0.666667"
"P11-2069","C04-1166","0.666667"
"C04-1166","W08-1911","0.666667"
"W08-1911","C04-1166","0.666667"
"max-wisniewski-2010-mining","P11-2069","0.666667"
"P11-2069","max-wisniewski-2010-mining","0.666667"
"max-wisniewski-2010-mining","W08-1911","0.666667"
"W08-1911","max-wisniewski-2010-mining","0.666667"
"P11-2069","W08-1911","0.666667"
"W08-1911","P11-2069","0.666667"
"C10-1027","max-etal-2010-contrastive","1"
"max-etal-2010-contrastive","C10-1027","1"
"D10-1064","W09-2503","3"
"W09-2503","D10-1064","3"
"D10-1064","E12-1073","1"
"E12-1073","D10-1064","1"
"D12-1066","W09-2503","1.5"
"W09-2503","D12-1066","1.5"
"D12-1066","E12-1073","0.5"
"E12-1073","D12-1066","0.5"
"E12-1073","W09-2503","0.5"
"W09-2503","E12-1073","0.5"
"E03-3006","P03-2017","1"
"P03-2017","E03-3006","1"
"max-etal-2010-contrastive","P03-2017","1"
"P03-2017","max-etal-2010-contrastive","1"
