"2020.acl-main.578","D19-1023","3"
"D19-1023","2020.acl-main.578","3"
"2020.emnlp-main.272","P19-1001","1"
"P19-1001","2020.emnlp-main.272","1"
"2020.emnlp-main.313","D18-1442","0.25"
"D18-1442","2020.emnlp-main.313","0.25"
"2020.emnlp-main.313","D19-1201","0.583333"
"D19-1201","2020.emnlp-main.313","0.583333"
"2020.emnlp-main.313","D19-1388","0.25"
"D19-1388","2020.emnlp-main.313","0.25"
"2020.emnlp-main.313","D19-1501","0.583333"
"D19-1501","2020.emnlp-main.313","0.583333"
"D18-1442","D19-1201","0.25"
"D19-1201","D18-1442","0.25"
"D18-1442","D19-1388","1.75"
"D19-1388","D18-1442","1.75"
"D18-1442","D19-1501","0.75"
"D19-1501","D18-1442","0.75"
"D19-1201","D19-1388","0.25"
"D19-1388","D19-1201","0.25"
"D19-1201","D19-1501","1.58333"
"D19-1501","D19-1201","1.58333"
"D19-1388","D19-1501","0.75"
"D19-1501","D19-1388","0.75"
"2020.emnlp-main.313","P19-1372","0.333333"
"P19-1372","2020.emnlp-main.313","0.333333"
"D19-1201","P19-1372","0.333333"
"P19-1372","D19-1201","0.333333"
"D19-1501","P19-1372","0.333333"
"P19-1372","D19-1501","0.333333"
"C16-1226","P16-1220","6"
"P16-1220","C16-1226","6"
"D14-1205","P14-1077","1"
"P14-1077","D14-1205","1"
"D15-1062","P19-1001","1"
"P19-1001","D15-1062","1"
"D15-1062","P17-1040","2"
"P17-1040","D15-1062","2"
"D15-1062","P16-1220","1"
"P16-1220","D15-1062","1"
"D17-1233","P17-2036","3"
"P17-2036","D17-1233","3"
"D17-1233","P19-1372","1"
"P19-1372","D17-1233","1"
"D19-1128","P19-1001","1"
"P19-1001","D19-1128","1"
"D19-1128","P19-1370","1"
"P19-1370","D19-1128","1"
"P19-1001","P19-1370","1"
"P19-1370","P19-1001","1"
"D19-1199","P19-1001","2"
"P19-1001","D19-1199","2"
"D19-1201","P19-1370","1"
"P19-1370","D19-1201","1"
"I17-2029","P17-2036","2"
"P17-2036","I17-2029","2"
"P14-1077","P16-1220","1"
"P16-1220","P14-1077","1"
"P16-1220","P17-1040","1"
"P17-1040","P16-1220","1"
