"J16-4007","S13-1002","4.5"
"S13-1002","J16-4007","4.5"
"J16-4007","S14-2141","1.5"
"S14-2141","J16-4007","1.5"
"S13-1002","S14-2141","0.5"
"S14-2141","S13-1002","0.5"
"J16-4007","W11-0112","3"
"W11-0112","J16-4007","3"
"N06-1056","P07-1121","20.6167"
"P07-1121","N06-1056","20.6167"
"N06-1056","W05-0602","11.95"
"W05-0602","N06-1056","11.95"
"P07-1121","W05-0602","11.5333"
"W05-0602","P07-1121","11.5333"
"N06-1056","P09-1069","2.91667"
"P09-1069","N06-1056","2.91667"
"P06-1115","P09-1069","2.36667"
"P09-1069","P06-1115","2.36667"
"P06-1115","W05-0602","7.95"
"W05-0602","P06-1115","7.95"
"P09-1069","W05-0602","1.16667"
"W05-0602","P09-1069","1.16667"
"N06-1056","P06-2034","2.33333"
"P06-2034","N06-1056","2.33333"
"N06-1056","W00-1317","1.86667"
"W00-1317","N06-1056","1.86667"
"P06-1115","P06-2034","4.45"
"P06-2034","P06-1115","4.45"
"P06-1115","W00-1317","1.53333"
"W00-1317","P06-1115","1.53333"
"P06-2034","W00-1317","1.16667"
"W00-1317","P06-2034","1.16667"
"P06-2034","P07-1121","2.45"
"P07-1121","P06-2034","2.45"
"P06-2034","W05-0602","1.5"
"W05-0602","P06-2034","1.5"
"N07-1022","P06-1115","1.5"
"P06-1115","N07-1022","1.5"
"N07-1022","W05-0602","1.41667"
"W05-0602","N07-1022","1.41667"
"P07-1121","W00-1317","4.53333"
"W00-1317","P07-1121","4.53333"
"N07-1022","P07-1121","1.75"
"P07-1121","N07-1022","1.75"
"N07-1022","P09-1069","0.25"
"P09-1069","N07-1022","0.25"
"P07-1121","P09-1069","4.86667"
"P09-1069","P07-1121","4.86667"
"N06-1056","P15-1085","3.03333"
"P15-1085","N06-1056","3.03333"
"P06-1115","P15-1085","1.03333"
"P15-1085","P06-1115","1.03333"
"W00-1317","W05-0602","1.7"
"W05-0602","W00-1317","1.7"
"P07-1121","P15-1085","2.86667"
"P15-1085","P07-1121","2.86667"
"P15-1085","W00-1317","1.2"
"W00-1317","P15-1085","1.2"
"P15-1085","W05-0602","0.2"
"W05-0602","P15-1085","0.2"
"N07-1022","P15-1085","0.333333"
"P15-1085","N07-1022","0.333333"
"N06-1056","W14-2402","1"
"W14-2402","N06-1056","1"
"N06-1056","N07-2021","0.333333"
"N07-2021","N06-1056","0.333333"
"N07-2021","P06-1115","0.783333"
"P06-1115","N07-2021","0.783333"
"N07-2021","W05-0602","0.333333"
"W05-0602","N07-2021","0.333333"
"N06-1056","W98-1107","0.25"
"W98-1107","N06-1056","0.25"
"N07-1022","W98-1107","0.25"
"W98-1107","N07-1022","0.25"
"P06-1115","W98-1107","0.25"
"W98-1107","P06-1115","0.25"
"W05-0602","W98-1107","0.25"
"W98-1107","W05-0602","0.25"
"N07-1022","P06-2034","1"
"P06-2034","N07-1022","1"
"N07-1022","N15-1173","1"
"N15-1173","N07-1022","1"
"N07-1022","W00-1317","1"
"W00-1317","N07-1022","1"
"N07-2021","P06-2034","0.45"
"P06-2034","N07-2021","0.45"
"N07-2021","P07-1121","0.45"
"P07-1121","N07-2021","0.45"
"N07-2021","P09-1069","0.45"
