"2020.acl-main.50","D19-3038","2"
"D19-3038","2020.acl-main.50","2"
"2020.osact-1.7","W17-3008","6.5"
"W17-3008","2020.osact-1.7","6.5"
"2020.osact-1.7","N16-3003","1.5"
"N16-3003","2020.osact-1.7","1.5"
"N16-3003","W17-3008","3"
"W17-3008","N16-3003","3"
"2020.wanlp-1.21","N16-3003","0.5"
"N16-3003","2020.wanlp-1.21","0.5"
"2020.wanlp-1.21","W13-1608","0.5"
"W13-1608","2020.wanlp-1.21","0.5"
"N16-3003","W13-1608","0.5"
"W13-1608","N16-3003","0.5"
"2021.eacl-demos.14","N16-3003","0.166667"
"N16-3003","2021.eacl-demos.14","0.166667"
"2021.eacl-demos.14","N19-1248","0.166667"
"N19-1248","2021.eacl-demos.14","0.166667"
"2021.eacl-demos.14","P13-1153","0.166667"
"P13-1153","2021.eacl-demos.14","0.166667"
"2021.eacl-demos.14","W14-3617","0.166667"
"W14-3617","2021.eacl-demos.14","0.166667"
"2021.eacl-demos.14","W15-3218","0.166667"
"W15-3218","2021.eacl-demos.14","0.166667"
"2021.eacl-demos.14","W17-1306","0.166667"
"W17-1306","2021.eacl-demos.14","0.166667"
"N16-3003","N19-1248","1"
"N19-1248","N16-3003","1"
"N16-3003","P13-1153","2"
"P13-1153","N16-3003","2"
"N16-3003","W14-3617","0.166667"
"W14-3617","N16-3003","0.166667"
"N16-3003","W15-3218","0.166667"
"W15-3218","N16-3003","0.166667"
"N16-3003","W17-1306","1.33333"
"W17-1306","N16-3003","1.33333"
"N19-1248","P13-1153","0.166667"
"P13-1153","N19-1248","0.166667"
"N19-1248","W14-3617","0.166667"
"W14-3617","N19-1248","0.166667"
"N19-1248","W15-3218","0.166667"
"W15-3218","N19-1248","0.166667"
"N19-1248","W17-1306","0.166667"
"W17-1306","N19-1248","0.166667"
"P13-1153","W14-3617","0.166667"
"W14-3617","P13-1153","0.166667"
"P13-1153","W15-3218","0.166667"
"W15-3218","P13-1153","0.166667"
"P13-1153","W17-1306","0.166667"
"W17-1306","P13-1153","0.166667"
"W14-3617","W15-3218","1.16667"
"W15-3218","W14-3617","1.16667"
"W14-3617","W17-1306","0.166667"
"W17-1306","W14-3617","0.166667"
"W15-3218","W17-1306","0.166667"
"W17-1306","W15-3218","0.166667"
"2021.wanlp-1.13","W17-3008","1"
"W17-3008","2021.wanlp-1.13","1"
"D11-1128","W10-2407","4"
"W10-2407","D11-1128","4"
"D11-1128","W10-2417","1"
"W10-2417","D11-1128","1"
"D11-1128","L16-1170","1"
"L16-1170","D11-1128","1"
"D11-1128","W14-3629","1"
"W14-3629","D11-1128","1"
"D14-1154","W19-4639","1.5"
"W19-4639","D14-1154","1.5"
"D14-1154","K17-1043","0.583333"
"K17-1043","D14-1154","0.583333"
"D14-1154","W14-3601","4.33333"
"W14-3601","D14-1154","4.33333"
"D14-1154","W17-3008","0.333333"
"W17-3008","D14-1154","0.333333"
"K17-1043","W14-3601","1.33333"
"W14-3601","K17-1043","1.33333"
"K17-1043","W17-3008","0.833333"
"W17-3008","K17-1043","0.833333"
"W14-3601","W17-3008","0.333333"
"W17-3008","W14-3601","0.333333"
"D14-1154","N16-3003","0.833333"
"N16-3003","D14-1154","0.833333"
"D14-1154","W16-4828","2.08333"
"W16-4828","D14-1154","2.08333"
"D14-1154","W17-1306","0.5"
"W17-1306","D14-1154","0.5"
"N16-3003","W14-3601","0.75"
"W14-3601","N16-3003","0.75"
"N16-3003","W16-4828","0.583333"
"W16-4828","N16-3003","0.583333"
"W14-3601","W16-4828","0.75"
"W16-4828","W14-3601","0.75"
"W14-3601","W17-1306","0.25"
"W17-1306","W14-3601","0.25"
"W16-4828","W17-1306","0.25"
"W17-1306","W16-4828","0.25"
"D14-1154","W17-1316","0.25"
"W17-1316","D14-1154","0.25"
"K17-1043","N16-3003","1.91667"
"N16-3003","K17-1043","1.91667"
"K17-1043","W17-1306","0.916667"
"W17-1306","K17-1043","0.916667"
"K17-1043","W17-1316","0.916667"
"W17-1316","K17-1043","0.916667"
"N16-3003","W17-1316","1.91667"
"W17-1316","N16-3003","1.91667"
"W17-1306","W17-1316","0.416667"
"W17-1316","W17-1306","0.416667"
"D14-1154","darwish-gao-2014-simple","0.25"
"darwish-gao-2014-simple","D14-1154","0.25"
"D14-1154","W13-1608","0.25"
"W13-1608","D14-1154","0.25"
"D14-1154","W14-3629","0.25"
"W14-3629","D14-1154","0.25"
"darwish-gao-2014-simple","W13-1608","0.25"
"W13-1608","darwish-gao-2014-simple","0.25"
"darwish-gao-2014-simple","W14-3601","0.25"
"W14-3601","darwish-gao-2014-simple","0.25"
"darwish-gao-2014-simple","W14-3629","0.25"
"W14-3629","darwish-gao-2014-simple","0.25"
"W13-1608","W14-3601","0.25"
"W14-3601","W13-1608","0.25"
"W13-1608","W14-3629","0.25"
"W14-3629","W13-1608","0.25"
"W14-3601","W14-3629","0.25"
"W14-3629","W14-3601","0.25"
"D14-1154","P13-2001","0.833333"
"P13-2001","D14-1154","0.833333"
"P13-2001","W14-3601","1.5"
"W14-3601","P13-2001","1.5"
"N16-3003","P13-2001","0.333333"
"P13-2001","N16-3003","0.333333"
"P13-2001","W16-4828","0.333333"
"W16-4828","P13-2001","0.333333"
"W14-3601","W19-4639","0.5"
"W19-4639","W14-3601","0.5"
"D19-3037","W14-3629","1"
"W14-3629","D19-3037","1"
"darwish-etal-2014-using","W02-0506","2"
"W02-0506","darwish-etal-2014-using","2"
"darwish-etal-2014-using","S15-2036","1"
"S15-2036","darwish-etal-2014-using","1"
"darwish-etal-2014-using","L16-1170","2"
"L16-1170","darwish-etal-2014-using","2"
"darwish-gao-2014-simple","P13-1153","2.5"
"P13-1153","darwish-gao-2014-simple","2.5"
"darwish-gao-2014-simple","W10-2417","1.5"
"W10-2417","darwish-gao-2014-simple","1.5"
"P13-1153","W10-2417","5"
"W10-2417","P13-1153","5"
"K17-1043","L16-1170","0.166667"
"L16-1170","K17-1043","0.166667"
"K17-1043","L18-1015","0.166667"
"L18-1015","K17-1043","0.166667"
"K17-1043","L18-1620","0.166667"
"L18-1620","K17-1043","0.166667"
"L16-1170","L18-1015","0.166667"
"L18-1015","L16-1170","0.166667"
"L16-1170","L18-1620","0.166667"
"L18-1620","L16-1170","0.166667"
"L16-1170","N16-3003","2.5"
"N16-3003","L16-1170","2.5"
"L16-1170","W17-1306","0.166667"
"W17-1306","L16-1170","0.166667"
"L16-1170","W17-1316","0.166667"
"W17-1316","L16-1170","0.166667"
"L18-1015","L18-1620","0.666667"
"L18-1620","L18-1015","0.666667"
"L18-1015","N16-3003","1"
"N16-3003","L18-1015","1"
"L18-1015","W17-1306","0.166667"
"W17-1306","L18-1015","0.166667"
"L18-1015","W17-1316","0.166667"
"W17-1316","L18-1015","0.166667"
"L18-1620","N16-3003","0.666667"
"N16-3003","L18-1620","0.666667"
"L18-1620","W17-1306","0.166667"
"W17-1306","L18-1620","0.166667"
"L18-1620","W17-1316","0.166667"
"W17-1316","L18-1620","0.166667"
"K17-1043","W02-0506","1"
"W02-0506","K17-1043","1"
"K17-1043","P13-2001","1"
"P13-2001","K17-1043","1"
"L16-1170","W14-3601","0.5"
"W14-3601","L16-1170","0.5"
"L16-1170","P13-1153","0.333333"
"P13-1153","L16-1170","0.333333"
"L16-1170","W14-3629","0.333333"
"W14-3629","L16-1170","0.333333"
"N16-3003","W14-3629","1.33333"
"W14-3629","N16-3003","1.33333"
"P13-1153","W14-3629","0.333333"
"W14-3629","P13-1153","0.333333"
"L16-1170","W17-1302","1.5"
"W17-1302","L16-1170","1.5"
"N16-3003","W17-1302","3.33333"
"W17-1302","N16-3003","3.33333"
"L18-1015","N19-1248","0.333333"
"N19-1248","L18-1015","0.333333"
"L18-1015","W17-1302","0.333333"
"W17-1302","L18-1015","0.333333"
"N19-1248","W17-1302","2.83333"
"W17-1302","N19-1248","2.83333"
"N12-1025","W02-0506","0.5"
"W02-0506","N12-1025","0.5"
"N12-1025","W05-0704","0.5"
"W05-0704","N12-1025","0.5"
"W02-0506","W05-0704","0.5"
"W05-0704","W02-0506","0.5"
"N12-1025","W10-2407","1"
"W10-2407","N12-1025","1"
"N15-1005","N19-1248","1"
"N19-1248","N15-1005","1"
"N16-3003","W19-4603","1"
"W19-4603","N16-3003","1"
"N16-3003","W10-2417","0.5"
"W10-2417","N16-3003","0.5"
"N16-3003","W02-0506","1"
"W02-0506","N16-3003","1"
"P13-2001","W14-3629","1"
"W14-3629","P13-2001","1"
"W14-3601","W15-3201","1"
"W15-3201","W14-3601","1"
