"2016.gwc-1.41","kedzia-etal-2017-graph","1"
"kedzia-etal-2017-graph","2016.gwc-1.41","1"
"2018.gwc-1.14","2018.gwc-1.22","0.267857"
"2018.gwc-1.22","2018.gwc-1.14","0.267857"
"2018.gwc-1.14","2018.gwc-1.26","0.142857"
"2018.gwc-1.26","2018.gwc-1.14","0.142857"
"2018.gwc-1.14","2018.gwc-1.6","0.142857"
"2018.gwc-1.6","2018.gwc-1.14","0.142857"
"2018.gwc-1.14","C12-2101","0.267857"
"C12-2101","2018.gwc-1.14","0.267857"
"2018.gwc-1.14","C16-1213","0.267857"
"C16-1213","2018.gwc-1.14","0.267857"
"2018.gwc-1.14","R13-1058","0.142857"
"R13-1058","2018.gwc-1.14","0.142857"
"2018.gwc-1.14","R15-1092","0.142857"
"R15-1092","2018.gwc-1.14","0.142857"
"2018.gwc-1.22","2018.gwc-1.26","0.142857"
"2018.gwc-1.26","2018.gwc-1.22","0.142857"
"2018.gwc-1.22","2018.gwc-1.6","0.142857"
"2018.gwc-1.6","2018.gwc-1.22","0.142857"
"2018.gwc-1.22","C12-2101","0.267857"
"C12-2101","2018.gwc-1.22","0.267857"
"2018.gwc-1.22","C16-1213","0.267857"
"C16-1213","2018.gwc-1.22","0.267857"
"2018.gwc-1.22","R13-1058","0.142857"
"R13-1058","2018.gwc-1.22","0.142857"
"2018.gwc-1.22","R15-1092","0.142857"
"R15-1092","2018.gwc-1.22","0.142857"
"2018.gwc-1.26","2018.gwc-1.6","0.142857"
"2018.gwc-1.6","2018.gwc-1.26","0.142857"
"2018.gwc-1.26","C12-2101","0.142857"
"C12-2101","2018.gwc-1.26","0.142857"
"2018.gwc-1.26","C16-1213","0.142857"
"C16-1213","2018.gwc-1.26","0.142857"
"2018.gwc-1.26","R13-1058","0.142857"
"R13-1058","2018.gwc-1.26","0.142857"
"2018.gwc-1.26","R15-1092","0.142857"
"R15-1092","2018.gwc-1.26","0.142857"
"2018.gwc-1.6","C12-2101","0.142857"
"C12-2101","2018.gwc-1.6","0.142857"
"2018.gwc-1.6","C16-1213","0.142857"
"C16-1213","2018.gwc-1.6","0.142857"
"2018.gwc-1.6","R13-1058","0.142857"
"R13-1058","2018.gwc-1.6","0.142857"
"2018.gwc-1.6","R15-1092","0.142857"
"R15-1092","2018.gwc-1.6","0.142857"
"C12-2101","C16-1213","1.10119"
"C16-1213","C12-2101","1.10119"
"C12-2101","R13-1058","4.64286"
"R13-1058","C12-2101","4.64286"
"C12-2101","R15-1092","0.642857"
"R15-1092","C12-2101","0.642857"
"C16-1213","R13-1058","0.809524"
"R13-1058","C16-1213","0.809524"
"C16-1213","R15-1092","3.97619"
"R15-1092","C16-1213","3.97619"
"R13-1058","R15-1092","0.642857"
"R15-1092","R13-1058","0.642857"
"2018.gwc-1.14","2018.gwc-1.18","1"
"2018.gwc-1.18","2018.gwc-1.14","1"
"2018.gwc-1.14","2019.gwc-1.45","0.125"
"2019.gwc-1.45","2018.gwc-1.14","0.125"
"2018.gwc-1.14","piasecki-etal-2012-recognition","0.125"
"piasecki-etal-2012-recognition","2018.gwc-1.14","0.125"
"2018.gwc-1.14","R15-1056","0.125"
"R15-1056","2018.gwc-1.14","0.125"
"2018.gwc-1.14","R19-1148","0.125"
"R19-1148","2018.gwc-1.14","0.125"
"2018.gwc-1.14","W14-0146","0.125"
"W14-0146","2018.gwc-1.14","0.125"
"2018.gwc-1.22","2019.gwc-1.45","0.125"
"2019.gwc-1.45","2018.gwc-1.22","0.125"
"2018.gwc-1.22","piasecki-etal-2012-recognition","0.125"
"piasecki-etal-2012-recognition","2018.gwc-1.22","0.125"
"2018.gwc-1.22","R15-1056","0.125"
"R15-1056","2018.gwc-1.22","0.125"
"2018.gwc-1.22","R19-1148","0.125"
"R19-1148","2018.gwc-1.22","0.125"
"2018.gwc-1.22","W14-0146","0.125"
"W14-0146","2018.gwc-1.22","0.125"
"2019.gwc-1.45","C12-2101","0.458333"
"C12-2101","2019.gwc-1.45","0.458333"
"2019.gwc-1.45","C16-1213","0.458333"
"C16-1213","2019.gwc-1.45","0.458333"
"2019.gwc-1.45","piasecki-etal-2012-recognition","0.125"
"piasecki-etal-2012-recognition","2019.gwc-1.45","0.125"
"2019.gwc-1.45","R15-1056","0.125"
"R15-1056","2019.gwc-1.45","0.125"
"2019.gwc-1.45","R19-1148","0.125"
"R19-1148","2019.gwc-1.45","0.125"
"2019.gwc-1.45","W14-0146","0.125"
"W14-0146","2019.gwc-1.45","0.125"
"C12-2101","piasecki-etal-2012-recognition","0.125"
"piasecki-etal-2012-recognition","C12-2101","0.125"
"C12-2101","R15-1056","1.125"
"R15-1056","C12-2101","1.125"
"C12-2101","R19-1148","0.125"
"R19-1148","C12-2101","0.125"
"C12-2101","W14-0146","0.125"
"W14-0146","C12-2101","0.125"
"C16-1213","piasecki-etal-2012-recognition","0.125"
"piasecki-etal-2012-recognition","C16-1213","0.125"
"C16-1213","R15-1056","0.458333"
"R15-1056","C16-1213","0.458333"
"C16-1213","R19-1148","0.125"
"R19-1148","C16-1213","0.125"
"C16-1213","W14-0146","0.125"
"W14-0146","C16-1213","0.125"
"piasecki-etal-2012-recognition","R15-1056","0.125"
"R15-1056","piasecki-etal-2012-recognition","0.125"
"piasecki-etal-2012-recognition","R19-1148","0.125"
"R19-1148","piasecki-etal-2012-recognition","0.125"
"piasecki-etal-2012-recognition","W14-0146","1.125"
"W14-0146","piasecki-etal-2012-recognition","1.125"
"R15-1056","R19-1148","0.125"
"R19-1148","R15-1056","0.125"
"R15-1056","W14-0146","0.125"
"W14-0146","R15-1056","0.125"
"R19-1148","W14-0146","0.125"
"W14-0146","R19-1148","0.125"
"2018.gwc-1.18","C16-1213","0.5"
"C16-1213","2018.gwc-1.18","0.5"
"2018.gwc-1.18","R15-1092","0.5"
"R15-1092","2018.gwc-1.18","0.5"
"2018.gwc-1.22","W14-0142","1"
"W14-0142","2018.gwc-1.22","1"
"2018.gwc-1.24","2019.gwc-1.46","0.5"
"2019.gwc-1.46","2018.gwc-1.24","0.5"
"2018.gwc-1.24","C12-2101","0.5"
"C12-2101","2018.gwc-1.24","0.5"
"2019.gwc-1.46","C12-2101","0.5"
"C12-2101","2019.gwc-1.46","0.5"
"2018.gwc-1.26","2018.gwc-1.29","1"
