"2002.jeptalnrecital-poster.1","2004.jeptalnrecital-poster.20","1"
"2004.jeptalnrecital-poster.20","2002.jeptalnrecital-poster.1","1"
"2020.lrec-1.652","L16-1602","1"
"L16-1602","2020.lrec-1.652","1"
"2020.lrec-1.892","L16-1602","0.333333"
"L16-1602","2020.lrec-1.892","0.333333"
"2020.lrec-1.892","nicolas-etal-2002-towards","0.333333"
"nicolas-etal-2002-towards","2020.lrec-1.892","0.333333"
"2020.lrec-1.892","W17-7413","0.333333"
"W17-7413","2020.lrec-1.892","0.333333"
"L16-1602","nicolas-etal-2002-towards","0.333333"
"nicolas-etal-2002-towards","L16-1602","0.333333"
"L16-1602","W17-7413","0.333333"
"W17-7413","L16-1602","0.333333"
"nicolas-etal-2002-towards","W17-7413","0.333333"
"W17-7413","nicolas-etal-2002-towards","0.333333"
"2020.mwe-1.16","C18-1219","0.5"
"C18-1219","2020.mwe-1.16","0.5"
"2020.mwe-1.16","W18-4932","0.5"
"W18-4932","2020.mwe-1.16","0.5"
"C18-1219","W18-4932","1.5"
"W18-4932","C18-1219","1.5"
"antoine-etal-2000-obtaining","antoine-etal-2002-predictive","1"
"antoine-etal-2002-predictive","antoine-etal-2000-obtaining","1"
"antoine-etal-2000-obtaining","devillers-etal-2004-french","1"
"devillers-etal-2004-french","antoine-etal-2000-obtaining","1"
"antoine-etal-2002-predictive","devillers-etal-2004-french","1"
"devillers-etal-2004-french","antoine-etal-2002-predictive","1"
"D07-1053","wandmacher-antoine-2006-training","1"
"wandmacher-antoine-2006-training","D07-1053","1"
"devillers-etal-2004-french","esteve-etal-2010-epac","3"
"esteve-etal-2010-epac","devillers-etal-2004-french","3"
"devillers-etal-2004-french","W09-0507","1"
"W09-0507","devillers-etal-2004-french","1"
"E14-1058","L16-1602","1"
"L16-1602","E14-1058","1"
"E14-1058","nicolas-etal-2002-towards","1"
"nicolas-etal-2002-towards","E14-1058","1"
