"2000.bcs-1.7","2001.mtsummit-teach.7","3"
"2001.mtsummit-teach.7","2000.bcs-1.7","3"
"2002.tmi-papers.7","J02-2004","1"
"J02-2004","2002.tmi-papers.7","1"
"2002.tmi-papers.7","2005.eamt-1.12","2"
"2005.eamt-1.12","2002.tmi-papers.7","2"
"2005.eamt-1.12","2005.mtsummit-osmtw.4","1.33333"
"2005.mtsummit-osmtw.4","2005.eamt-1.12","1.33333"
"2005.eamt-1.12","2005.mtsummit-osmtw.2","0.333333"
"2005.mtsummit-osmtw.2","2005.eamt-1.12","0.333333"
"2005.eamt-1.12","2007.tmi-papers.22","0.333333"
"2007.tmi-papers.22","2005.eamt-1.12","0.333333"
"2005.mtsummit-osmtw.2","2005.mtsummit-osmtw.4","0.333333"
"2005.mtsummit-osmtw.4","2005.mtsummit-osmtw.2","0.333333"
"2005.mtsummit-osmtw.2","2007.tmi-papers.22","0.333333"
"2007.tmi-papers.22","2005.mtsummit-osmtw.2","0.333333"
"2005.mtsummit-osmtw.4","2007.tmi-papers.22","0.333333"
"2007.tmi-papers.22","2005.mtsummit-osmtw.4","0.333333"
"2007.tmi-papers.22","2012.eamt-1.54","1"
"2012.eamt-1.54","2007.tmi-papers.22","1"
"2011.eamt-1.28","2011.mtsummit-papers.18","2"
"2011.mtsummit-papers.18","2011.eamt-1.28","2"
"2011.eamt-1.28","2014.amta-researchers.4","2"
"2014.amta-researchers.4","2011.eamt-1.28","2"
"2011.eamt-1.28","2016.amta-researchers.3","1"
"2016.amta-researchers.3","2011.eamt-1.28","1"
"2011.mtsummit-papers.18","2014.amta-researchers.4","1"
"2014.amta-researchers.4","2011.mtsummit-papers.18","1"
"2011.mtsummit-papers.18","W14-0309","1"
"W14-0309","2011.mtsummit-papers.18","1"
"2014.amta-researchers.4","2016.amta-researchers.3","0.5"
"2016.amta-researchers.3","2014.amta-researchers.4","0.5"
"2014.amta-researchers.4","W15-4904","0.5"
"W15-4904","2014.amta-researchers.4","0.5"
"2016.amta-researchers.3","W15-4904","0.5"
"W15-4904","2016.amta-researchers.3","0.5"
"2014.eamt-1.4","2015.eamt-1.4","0.5"
"2015.eamt-1.4","2014.eamt-1.4","0.5"
"2014.eamt-1.4","W15-3036","0.5"
"W15-3036","2014.eamt-1.4","0.5"
"2014.eamt-1.4","W15-4903","0.5"
"W15-4903","2014.eamt-1.4","0.5"
"2014.eamt-1.4","W16-2367","0.5"
"W16-2367","2014.eamt-1.4","0.5"
"2015.eamt-1.4","W15-3036","1.33333"
"W15-3036","2015.eamt-1.4","1.33333"
"2015.eamt-1.4","W15-4903","1.83333"
"W15-4903","2015.eamt-1.4","1.83333"
"2015.eamt-1.4","W16-2367","0.5"
"W16-2367","2015.eamt-1.4","0.5"
"W15-3036","W15-4903","1.33333"
"W15-4903","W15-3036","1.33333"
"W15-3036","W16-2367","0.5"
"W16-2367","W15-3036","0.5"
"W15-4903","W16-2367","0.5"
"W16-2367","W15-4903","0.5"
"2015.eamt-1.19","W15-4918","1"
"W15-4918","2015.eamt-1.19","1"
"2015.eamt-1.4","S12-1065","0.5"
"S12-1065","2015.eamt-1.4","0.5"
"S12-1065","W15-4903","0.5"
"W15-4903","S12-1065","0.5"
"2015.eamt-1.4","W16-2383","0.333333"
"W16-2383","2015.eamt-1.4","0.333333"
"W15-3036","W16-2383","1.33333"
"W16-2383","W15-3036","1.33333"
"W15-4903","W16-2383","1.33333"
"W16-2383","W15-4903","1.33333"
"W18-6320","W19-6721","1"
"W19-6721","W18-6320","1"
"W18-6453","W19-6721","2"
"W19-6721","W18-6453","2"
