"2020.acl-main.338","P19-1345","2"
"I08-1004","P03-1023","0.708333"
"P03-1023","I08-1004","0.708333"
"C08-1088","D10-1034","0.809524"
"D10-1034","C08-1088","0.809524"
"D07-1076","D10-1034","0.666667"
"D10-1034","D07-1076","0.666667"
"D10-1034","P05-1053","0.809524"
"P05-1053","D10-1034","0.809524"
"C08-1088","C10-2087","0.25"
"C10-2087","C08-1088","0.25"
"C10-2087","D07-1076","0.25"
"D07-1076","C10-2087","0.25"
"C10-2087","P05-1053","0.25"
"P05-1053","C10-2087","0.25"
"C10-2087","P06-1104","0.25"
"P06-1104","C10-2087","0.25"
"C08-1088","D12-1013","0.142857"
"D12-1013","C08-1088","0.142857"
"D10-1034","D12-1013","0.142857"
"D12-1013","D10-1034","0.142857"
"D10-1034","I05-1034","0.142857"
"I05-1034","D10-1034","0.142857"
"D10-1034","I08-1005","0.142857"
"I08-1005","D10-1034","0.142857"
"D10-1034","P04-1075","0.142857"
"P04-1075","D10-1034","0.142857"
"D10-1034","P06-1104","0.142857"
"P06-1104","D10-1034","0.142857"
"D12-1013","I05-1034","0.142857"
"I05-1034","D12-1013","0.142857"
"D12-1013","I08-1005","0.142857"
"I08-1005","D12-1013","0.142857"
"D12-1013","P04-1075","2.14286"
"P04-1075","D12-1013","2.14286"
"D12-1013","P05-1053","0.142857"
"P05-1053","D12-1013","0.142857"
"D12-1013","P06-1104","0.142857"
"P06-1104","D12-1013","0.142857"
"I08-1005","P04-1075","0.142857"
"P04-1075","I08-1005","0.142857"
"C08-1088","P06-1016","0.333333"
"P06-1016","C08-1088","0.333333"
"I05-1034","P06-1016","0.666667"
"P06-1016","I05-1034","0.666667"
"P05-1053","P06-1016","1.16667"
"P06-1016","P05-1053","1.16667"
"C08-1088","P07-1026","1"
"P07-1026","C08-1088","1"
"C08-1088","D09-1102","0.125"
"D09-1102","C08-1088","0.125"
"C08-1088","D09-1133","0.125"
"D09-1133","C08-1088","0.125"
"C08-1088","P02-1060","0.125"
"P02-1060","C08-1088","0.125"
"D07-1076","D09-1102","0.125"
"D09-1102","D07-1076","0.125"
"D07-1076","D09-1133","0.125"
"D09-1133","D07-1076","0.125"
"D07-1076","P02-1060","0.125"
"P02-1060","D07-1076","0.125"
"D09-1102","D09-1133","0.291667"
"D09-1133","D09-1102","0.291667"
"D09-1102","I08-1004","0.291667"
"I08-1004","D09-1102","0.291667"
"D09-1102","P02-1060","0.458333"
"P02-1060","D09-1102","0.458333"
"D09-1102","P06-1104","0.125"
"P06-1104","D09-1102","0.125"
"D09-1103","D09-1133","1.29167"
"D09-1133","D09-1103","1.29167"
"D09-1103","P02-1060","0.458333"
"P02-1060","D09-1103","0.458333"
"D09-1103","P06-1104","0.125"
"P06-1104","D09-1103","0.125"
"D09-1133","I08-1004","0.291667"
"I08-1004","D09-1133","0.291667"
"D09-1133","P02-1060","0.125"
"P02-1060","D09-1133","0.125"
"D09-1133","P03-1023","0.125"
"P03-1023","D09-1133","0.125"
"D09-1133","P06-1104","0.125"
"P06-1104","D09-1133","0.125"
"I08-1004","P02-1060","0.458333"
"P02-1060","I08-1004","0.458333"
"I08-1004","P06-1104","0.125"
"P06-1104","I08-1004","0.125"
"P02-1060","P03-1023","0.958333"
"P03-1023","P02-1060","0.958333"
"P02-1060","P06-1104","0.125"
"P06-1104","P02-1060","0.125"
"P03-1023","P06-1104","0.708333"
"P06-1104","P03-1023","0.708333"
"C10-1068","C12-1099","0.2"
"C12-1099","C10-1068","0.2"
"C10-1068","C12-1100","0.2"
"C12-1100","C10-1068","0.2"
"C10-1068","D12-1092","0.2"
"D12-1092","C10-1068","0.2"
"C10-1068","P10-1113","0.2"
"P10-1113","C10-1068","0.2"
"C10-1068","P11-1113","0.2"
"P11-1113","C10-1068","0.2"
"C12-1099","C12-1100","0.2"
"C12-1100","C12-1099","0.2"
"C12-1099","D12-1092","1.53333"
"D12-1092","C12-1099","1.53333"
"C12-1099","P10-1113","0.2"
"P10-1113","C12-1099","0.2"
