"2020.lrec-1.622","2020.lrec-1.680","1"
"2020.lrec-1.680","2020.lrec-1.622","1"
"barreto-etal-2006-open","E06-2024","2.5"
"E06-2024","barreto-etal-2006-open","2.5"
"barreto-etal-2006-open","costa-branco-2012-timebankpt","0.333333"
"costa-branco-2012-timebankpt","barreto-etal-2006-open","0.333333"
"barreto-etal-2006-open","P09-4002","0.333333"
"P09-4002","barreto-etal-2006-open","0.333333"
"barreto-etal-2006-open","P10-1069","0.333333"
"P10-1069","barreto-etal-2006-open","0.333333"
"costa-branco-2012-timebankpt","P09-4002","0.333333"
"P09-4002","costa-branco-2012-timebankpt","0.333333"
"costa-branco-2012-timebankpt","P10-1069","0.333333"
"P10-1069","costa-branco-2012-timebankpt","0.333333"
"P09-4002","P10-1069","0.333333"
"P10-1069","P09-4002","0.333333"
"barreto-etal-2006-open","W15-0208","0.5"
"W15-0208","barreto-etal-2006-open","0.5"
"E06-2024","W15-0208","0.5"
"W15-0208","E06-2024","0.5"
"barreto-etal-2006-open","branco-silva-2004-evaluating","2"
"branco-silva-2004-evaluating","barreto-etal-2006-open","2"
"branco-etal-2010-developing","silva-etal-2010-top","0.5"
"silva-etal-2010-top","branco-etal-2010-developing","0.5"
"branco-etal-2010-developing","W08-2224","0.5"
"W08-2224","branco-etal-2010-developing","0.5"
"silva-etal-2010-top","W08-2224","0.5"
"W08-2224","silva-etal-2010-top","0.5"
"C98-1027","P98-1027","1"
"P98-1027","C98-1027","1"
"E06-2024","L16-1094","0.25"
"L16-1094","E06-2024","0.25"
"E06-2024","L16-1438","0.25"
"L16-1438","E06-2024","0.25"
"E06-2024","L16-1441","0.25"
"L16-1441","E06-2024","0.25"
"E06-2024","W15-4101","0.25"
"W15-4101","E06-2024","0.25"
"L16-1094","L16-1438","0.25"
"L16-1438","L16-1094","0.25"
"L16-1094","L16-1441","0.25"
"L16-1441","L16-1094","0.25"
"L16-1094","W15-4101","0.25"
"W15-4101","L16-1094","0.25"
"L16-1438","L16-1441","0.25"
"L16-1441","L16-1438","0.25"
"L16-1438","W15-4101","0.25"
"W15-4101","L16-1438","0.25"
"L16-1441","W15-4101","0.25"
"W15-4101","L16-1441","0.25"
"L16-1483","W15-4101","0.5"
"W15-4101","L16-1483","0.5"
"L16-1483","W15-5708","0.5"
"W15-5708","L16-1483","0.5"
"W15-4101","W15-5708","0.5"
"W15-5708","W15-4101","0.5"
"L18-1382","W18-3016","1"
"W18-3016","L18-1382","1"
"W15-4101","W15-5713","1"
"W15-5713","W15-4101","1"
"W18-2801","W18-3016","1"
"W18-3016","W18-2801","1"
