"2016.jeptalnrecital-long.12","L16-1420","1"
"L16-1420","2016.jeptalnrecital-long.12","1"
"2020.lrec-1.851","W18-5614","0.333333"
"W18-5614","2020.lrec-1.851","0.333333"
"2020.lrec-1.851","W18-7002","0.333333"
"W18-7002","2020.lrec-1.851","0.333333"
"2020.lrec-1.851","W19-5029","0.333333"
"W19-5029","2020.lrec-1.851","0.333333"
"W18-5614","W18-7002","1.33333"
"W18-7002","W18-5614","1.33333"
"W18-5614","W19-5029","1.33333"
"W19-5029","W18-5614","1.33333"
"W18-7002","W19-5029","0.333333"
"W19-5029","W18-7002","0.333333"
"goeuriot-etal-2008-characterization","W14-1202","1"
"W14-1202","goeuriot-etal-2008-characterization","1"
"R19-1020","W18-7002","2"
"W18-7002","R19-1020","2"
"W14-1202","W14-4812","1.5"
"W14-4812","W14-1202","1.5"
"W14-1202","W14-4814","0.5"
"W14-4814","W14-1202","0.5"
"W14-4812","W14-4814","0.5"
"W14-4814","W14-4812","0.5"
