"2010.jeptalnrecital-court.18","2010.jeptalnrecital-recital.5","1"
"2010.jeptalnrecital-recital.5","2010.jeptalnrecital-court.18","1"
"2020.lrec-1.508","C16-1132","0.2"
"C16-1132","2020.lrec-1.508","0.2"
"2020.lrec-1.508","L18-1415","0.2"
"L18-1415","2020.lrec-1.508","0.2"
"2020.lrec-1.508","L18-1535","0.65"
"L18-1535","2020.lrec-1.508","0.65"
"2020.lrec-1.508","L18-1574","0.65"
"L18-1574","2020.lrec-1.508","0.65"
"2020.lrec-1.508","W19-4214","0.2"
"W19-4214","2020.lrec-1.508","0.2"
"C16-1132","L18-1415","0.2"
"L18-1415","C16-1132","0.2"
"C16-1132","L18-1535","0.2"
"L18-1535","C16-1132","0.2"
"C16-1132","L18-1574","0.2"
"L18-1574","C16-1132","0.2"
"C16-1132","W19-4214","0.2"
"W19-4214","C16-1132","0.2"
"L18-1415","L18-1535","0.533333"
"L18-1535","L18-1415","0.533333"
"L18-1415","L18-1574","0.533333"
"L18-1574","L18-1415","0.533333"
"L18-1415","W19-4214","0.2"
"W19-4214","L18-1415","0.2"
"L18-1535","L18-1574","2.18333"
"L18-1574","L18-1535","2.18333"
"L18-1535","W19-4214","0.2"
"W19-4214","L18-1535","0.2"
"L18-1574","W19-4214","0.2"
"W19-4214","L18-1574","0.2"
"2020.lrec-1.508","C18-1113","0.783333"
"C18-1113","2020.lrec-1.508","0.783333"
"2020.lrec-1.508","N19-4002","0.25"
"N19-4002","2020.lrec-1.508","0.25"
"C18-1113","L18-1535","0.45"
"L18-1535","C18-1113","0.45"
"C18-1113","L18-1574","0.783333"
"L18-1574","C18-1113","0.783333"
"C18-1113","N19-4002","0.583333"
"N19-4002","C18-1113","0.583333"
"L18-1535","N19-4002","0.25"
"N19-4002","L18-1535","0.25"
"L18-1574","N19-4002","0.25"
"N19-4002","L18-1574","0.25"
"2020.lrec-1.508","2020.wanlp-1.9","0.533333"
"2020.wanlp-1.9","2020.lrec-1.508","0.533333"
"2020.lrec-1.508","W19-4622","0.533333"
"W19-4622","2020.lrec-1.508","0.533333"
"2020.wanlp-1.9","C18-1113","8.11667"
"C18-1113","2020.wanlp-1.9","8.11667"
"2020.wanlp-1.9","L18-1535","0.2"
"L18-1535","2020.wanlp-1.9","0.2"
"2020.wanlp-1.9","L18-1574","0.533333"
"L18-1574","2020.wanlp-1.9","0.533333"
"2020.wanlp-1.9","W19-4622","8.61667"
"W19-4622","2020.wanlp-1.9","8.61667"
"C18-1113","W19-4622","18.45"
"W19-4622","C18-1113","18.45"
"L18-1535","W19-4622","1.4"
"W19-4622","L18-1535","1.4"
"L18-1574","W19-4622","0.733333"
"W19-4622","L18-1574","0.733333"
"2020.wanlp-1.9","2021.wanlp-1.28","2.5"
"2021.wanlp-1.28","2020.wanlp-1.9","2.5"
"2021.wanlp-1.28","W19-4622","3.5"
"W19-4622","2021.wanlp-1.28","3.5"
