"2020.acl-srw.22","W17-7507","1"
"W17-7507","2020.acl-srw.22","1"
"ambati-etal-2010-high","W09-3036","2"
"W09-3036","ambati-etal-2010-high","2"
"ambati-etal-2010-high","I08-2099","0.5"
"I08-2099","ambati-etal-2010-high","0.5"
"I08-2099","W09-3036","13.1667"
"W09-3036","I08-2099","13.1667"
"ambati-etal-2010-high","W11-3405","0.5"
"W11-3405","ambati-etal-2010-high","0.5"
"W09-3036","W11-3405","0.5"
"W11-3405","W09-3036","0.5"
"begum-etal-2008-developing","I08-2099","1"
"I08-2099","begum-etal-2008-developing","1"
"begum-etal-2008-developing","W09-3036","2"
"W09-3036","begum-etal-2008-developing","2"
"begum-etal-2008-developing","N10-1093","0.5"
"N10-1093","begum-etal-2008-developing","0.5"
"begum-etal-2008-developing","Y09-2020","1.5"
"Y09-2020","begum-etal-2008-developing","1.5"
"N10-1093","Y09-2020","1.83333"
"Y09-2020","N10-1093","1.83333"
"begum-etal-2008-developing","I13-1151","2"
"I13-1151","begum-etal-2008-developing","2"
"bhatia-etal-2010-empty","I08-2099","2.5"
"I08-2099","bhatia-etal-2010-empty","2.5"
"bhatia-etal-2010-empty","W09-3036","1.33333"
"W09-3036","bhatia-etal-2010-empty","1.33333"
"bhatia-etal-2010-empty","Y09-2020","0.5"
"Y09-2020","bhatia-etal-2010-empty","0.5"
"I08-2099","Y09-2020","1.66667"
"Y09-2020","I08-2099","1.66667"
"bhatia-etal-2010-empty","E17-2052","0.333333"
"E17-2052","bhatia-etal-2010-empty","0.333333"
"bhatia-etal-2010-empty","N16-1159","0.333333"
"N16-1159","bhatia-etal-2010-empty","0.333333"
"E17-2052","N16-1159","1.83333"
"N16-1159","E17-2052","1.83333"
"E17-2052","W09-3036","0.333333"
"W09-3036","E17-2052","0.333333"
"N16-1159","W09-3036","0.333333"
"W09-3036","N16-1159","0.333333"
"C16-1039","P16-3006","0.25"
"P16-3006","C16-1039","0.25"
"C16-1039","W09-3036","0.25"
"W09-3036","C16-1039","0.25"
"C16-1039","W12-3607","0.25"
"W12-3607","C16-1039","0.25"
"C16-1039","W16-1716","0.25"
"W16-1716","C16-1039","0.25"
"P16-3006","W09-3036","0.25"
"W09-3036","P16-3006","0.25"
"P16-3006","W12-3607","0.25"
"W12-3607","P16-3006","0.25"
"P16-3006","W16-1716","0.25"
"W16-1716","P16-3006","0.25"
"W09-3036","W12-3607","2.83333"
"W12-3607","W09-3036","2.83333"
"W09-3036","W16-1716","0.7"
"W16-1716","W09-3036","0.7"
"W12-3607","W16-1716","0.25"
"W16-1716","W12-3607","0.25"
"E17-2052","N18-1090","4.5"
"N18-1090","E17-2052","4.5"
"N16-1159","N18-1090","1.83333"
"N18-1090","N16-1159","1.83333"
"I08-2099","W17-6529","1.5"
"W17-6529","I08-2099","1.5"
"I08-2099","L16-1377","1"
"L16-1377","I08-2099","1"
"I08-2099","W19-7724","1"
"W19-7724","I08-2099","1"
"I08-2099","W12-3607","1.33333"
"W12-3607","I08-2099","1.33333"
"I08-2099","W10-1403","1.16667"
"W10-1403","I08-2099","1.16667"
"W09-3036","W10-1403","2.58333"
"W10-1403","W09-3036","2.58333"
"I08-2099","N10-1093","2.83333"
"N10-1093","I08-2099","2.83333"
"W10-1403","W12-3607","1.58333"
"W12-3607","W10-1403","1.58333"
"I08-2099","W13-2320","0.333333"
"W13-2320","I08-2099","0.333333"
"I08-2099","Y12-1042","1.83333"
"Y12-1042","I08-2099","1.83333"
"W09-3036","W13-2320","2.33333"
"W13-2320","W09-3036","2.33333"
"W09-3036","Y12-1042","0.833333"
"Y12-1042","W09-3036","0.833333"
"W13-2320","Y12-1042","0.333333"
"Y12-1042","W13-2320","0.333333"
"I08-2099","W12-2302","0.833333"
"W12-2302","I08-2099","0.833333"
"W12-2302","Y09-2020","0.833333"
"Y09-2020","W12-2302","0.833333"
"I08-2099","I08-7010","1.33333"
"I08-7010","I08-2099","1.33333"
"I08-2099","kolachina-etal-2012-evaluation","0.666667"
"kolachina-etal-2012-evaluation","I08-2099","0.666667"
"I08-2099","W09-3029","1"
"W09-3029","I08-2099","1"
"I08-7010","kolachina-etal-2012-evaluation","0.333333"
"kolachina-etal-2012-evaluation","I08-7010","0.333333"
"I08-7010","W09-3029","0.333333"
"W09-3029","I08-7010","0.333333"
"kolachina-etal-2012-evaluation","W09-3029","1.66667"
"W09-3029","kolachina-etal-2012-evaluation","1.66667"
"I08-2099","W12-3623","0.333333"
"W12-3623","I08-2099","0.333333"
"I08-2099","W14-4206","0.333333"
"W14-4206","I08-2099","0.333333"
"W09-3036","W12-3623","1.33333"
"W12-3623","W09-3036","1.33333"
"W09-3036","W14-4206","0.333333"
"W14-4206","W09-3036","0.333333"
"W12-3623","W14-4206","0.333333"
"W14-4206","W12-3623","0.333333"
"I08-2099","L16-1276","0.333333"
"L16-1276","I08-2099","0.333333"
"kolachina-etal-2012-evaluation","L16-1276","0.333333"
"L16-1276","kolachina-etal-2012-evaluation","0.333333"
"L16-1276","W09-3029","0.333333"
"W09-3029","L16-1276","0.333333"
"N10-1093","W09-3036","1.33333"
"W09-3036","N10-1093","1.33333"
"W09-3036","Y09-2020","0.583333"
"Y09-2020","W09-3036","0.583333"
"W10-1403","W12-2302","0.333333"
"W12-2302","W10-1403","0.333333"
"W10-1403","Y09-2020","1.08333"
"Y09-2020","W10-1403","1.08333"
