"2020.coling-main.49","E17-1097","1"
"E17-1097","2020.coling-main.49","1"
"2020.emnlp-main.132","D18-1249","0.5"
"D18-1249","2020.emnlp-main.132","0.5"
"2020.emnlp-main.132","P19-1131","0.5"
"P19-1131","2020.emnlp-main.132","0.5"
"D18-1249","P19-1131","2.83333"
"P19-1131","D18-1249","2.83333"
"2021.acl-long.19","2021.eacl-main.251","0.333333"
"2021.eacl-main.251","2021.acl-long.19","0.333333"
"2021.acl-long.19","D18-1249","0.333333"
"D18-1249","2021.acl-long.19","0.333333"
"2021.acl-long.19","P19-1131","0.333333"
"P19-1131","2021.acl-long.19","0.333333"
"2021.eacl-main.251","D18-1249","0.333333"
"D18-1249","2021.eacl-main.251","0.333333"
"2021.eacl-main.251","P19-1131","0.333333"
"P19-1131","2021.eacl-main.251","0.333333"
"D09-1159","D11-1123","4"
"D11-1123","D09-1159","4"
"P13-1143","W13-3601","7"
"W13-3601","P13-1143","7"
"P19-1131","P19-1237","2"
"P19-1237","P19-1131","2"
