"2020.acl-main.617","P19-1431","1"
"P19-1431","2020.acl-main.617","1"
"2021.eacl-main.246","2021.eacl-main.250","0.25"
"2021.eacl-main.250","2021.eacl-main.246","0.25"
"2021.eacl-main.246","D18-1092","0.25"
"D18-1092","2021.eacl-main.246","0.25"
"2021.eacl-main.246","D19-1402","0.25"
"D19-1402","2021.eacl-main.246","0.25"
"2021.eacl-main.246","P19-1368","0.25"
"P19-1368","2021.eacl-main.246","0.25"
"2021.eacl-main.250","D18-1092","0.25"
"D18-1092","2021.eacl-main.250","0.25"
"2021.eacl-main.250","D19-1402","0.25"
"D19-1402","2021.eacl-main.250","0.25"
"2021.eacl-main.250","P19-1368","0.25"
"P19-1368","2021.eacl-main.250","0.25"
"D18-1092","D19-1402","0.916667"
"D19-1402","D18-1092","0.916667"
"D18-1092","P19-1368","1.66667"
"P19-1368","D18-1092","1.66667"
"D19-1402","P19-1368","0.916667"
"P19-1368","D19-1402","0.916667"
"C10-1106","P10-1051","1.5"
"P10-1051","C10-1106","1.5"
"C10-1106","P09-1057","3.5"
"P09-1057","C10-1106","3.5"
"P09-1057","P10-1051","1.5"
"P10-1051","P09-1057","1.5"
"D08-1085","P11-1025","7.33333"
"P11-1025","D08-1085","7.33333"
"D08-1085","N09-1005","2.33333"
"N09-1005","D08-1085","2.33333"
"D08-1085","P11-1002","4.33333"
"P11-1002","D08-1085","4.33333"
"N09-1005","P11-1002","2.16667"
"P11-1002","N09-1005","2.16667"
"N09-1005","P11-1025","0.666667"
"P11-1025","N09-1005","0.666667"
"P11-1002","P11-1025","3.16667"
"P11-1025","P11-1002","3.16667"
"D08-1085","P09-1057","1"
"P09-1057","D08-1085","1"
"D08-1085","W09-1804","0.5"
"W09-1804","D08-1085","0.5"
"P09-1057","W09-1804","0.5"
"W09-1804","P09-1057","0.5"
"N09-1005","P09-1057","0.5"
"P09-1057","N09-1005","0.5"
"D08-1085","N10-1068","1"
"N10-1068","D08-1085","1"
"D08-1085","P13-1036","0.5"
"P13-1036","D08-1085","0.5"
"P11-1002","P13-1036","6.33333"
"P13-1036","P11-1002","6.33333"
"D12-1136","P13-1036","2.25"
"P13-1036","D12-1136","2.25"
"D12-1136","D18-1092","0.25"
"D18-1092","D12-1136","0.25"
"D12-1136","N19-1339","0.25"
"N19-1339","D12-1136","0.25"
"D12-1136","P19-1368","0.25"
"P19-1368","D12-1136","0.25"
"D18-1092","N19-1339","2.41667"
"N19-1339","D18-1092","2.41667"
"D18-1092","P13-1036","0.25"
"P13-1036","D18-1092","0.25"
"N19-1339","P13-1036","0.25"
"P13-1036","N19-1339","0.25"
"N19-1339","P19-1368","1.41667"
"P19-1368","N19-1339","1.41667"
"P13-1036","P19-1368","0.25"
"P19-1368","P13-1036","0.25"
"D19-1402","N19-1339","0.666667"
"N19-1339","D19-1402","0.666667"
"J10-3001","W09-1804","1"
"W09-1804","J10-3001","1"
"N09-1005","P13-1036","0.333333"
"P13-1036","N09-1005","0.333333"
"P11-1025","P13-1036","0.833333"
"P13-1036","P11-1025","0.833333"
"N10-1068","P09-1057","1"
"P09-1057","N10-1068","1"
"N10-1068","W09-1804","1"
"W09-1804","N10-1068","1"
"P09-1057","P11-1002","1"
"P11-1002","P09-1057","1"
"P11-1002","W09-1804","1"
"W09-1804","P11-1002","1"
