"2008.iwslt-evaluation.17","2008.iwslt-evaluation.6","1"
"2008.iwslt-evaluation.6","2008.iwslt-evaluation.17","1"
"2009.iwslt-evaluation.7","C08-1127","0.5"
"C08-1127","2009.iwslt-evaluation.7","0.5"
"2009.iwslt-evaluation.7","D09-1073","0.5"
"D09-1073","2009.iwslt-evaluation.7","0.5"
"C08-1127","D09-1073","0.833333"
"D09-1073","C08-1127","0.833333"
"2009.mtsummit-posters.25","P08-1064","0.25"
"P08-1064","2009.mtsummit-posters.25","0.25"
"2009.mtsummit-posters.25","P08-2038","0.25"
"P08-2038","2009.mtsummit-posters.25","0.25"
"2009.mtsummit-posters.25","P09-1020","0.25"
"P09-1020","2009.mtsummit-posters.25","0.25"
"2009.mtsummit-posters.25","P09-1036","0.25"
"P09-1036","2009.mtsummit-posters.25","0.25"
"P08-1064","P08-2038","1.58333"
"P08-2038","P08-1064","1.58333"
"P08-1064","P09-1020","8.08333"
"P09-1020","P08-1064","8.08333"
"P08-1064","P09-1036","2.25"
"P09-1036","P08-1064","2.25"
"P08-2038","P09-1020","0.25"
"P09-1020","P08-2038","0.25"
"P08-2038","P09-1036","1.25"
"P09-1036","P08-2038","1.25"
"P09-1020","P09-1036","0.25"
"P09-1036","P09-1020","0.25"
"C04-1103","P04-1021","3.58333"
"P04-1021","C04-1103","3.58333"
"C04-1103","W09-3501","0.583333"
"W09-3501","C04-1103","0.583333"
"C04-1103","W09-3502","0.916667"
"W09-3502","C04-1103","0.916667"
"P04-1021","W09-3501","15.2667"
"W09-3501","P04-1021","15.2667"
"P04-1021","W09-3502","9.25"
"W09-3502","P04-1021","9.25"
"W09-3501","W09-3502","5.75"
"W09-3502","W09-3501","5.75"
"C04-1103","P09-1016","0.583333"
"P09-1016","C04-1103","0.583333"
"P04-1021","P09-1016","2.41667"
"P09-1016","P04-1021","2.41667"
"P09-1016","W09-3501","0.75"
"W09-3501","P09-1016","0.75"
"P09-1016","W09-3502","0.583333"
"W09-3502","P09-1016","0.583333"
"C04-1103","C10-2165","0.333333"
"C10-2165","C04-1103","0.333333"
"C10-2165","P09-1016","0.833333"
"P09-1016","C10-2165","0.833333"
"C10-2165","W09-3502","0.666667"
"W09-3502","C10-2165","0.666667"
"C08-1014","P08-1064","1"
"P08-1064","C08-1014","1"
"C08-1014","P08-2040","1"
"P08-2040","C08-1014","1"
"C08-1014","P08-2038","1"
"P08-2038","C08-1014","1"
"C08-1127","P07-1090","0.333333"
"P07-1090","C08-1127","0.333333"
"C08-1127","P08-1064","0.333333"
"P08-1064","C08-1127","0.333333"
"D09-1073","P07-1090","0.333333"
"P07-1090","D09-1073","0.333333"
"D09-1073","P08-1064","0.666667"
"P08-1064","D09-1073","0.666667"
"P07-1090","P08-1064","1.16667"
