"2010.jeptalnrecital-long.13","max-wisniewski-2010-mining","1"
"max-wisniewski-2010-mining","2010.jeptalnrecital-long.13","1"
"2012.amta-papers.17","E12-1013","1"
"E12-1013","2012.amta-papers.17","1"
"2013.mtsummit-papers.15","W15-3027","1"
"W15-3027","2013.mtsummit-papers.15","1"
"2015.jeptalnrecital-long.4","D14-1187","0.5"
"D14-1187","2015.jeptalnrecital-long.4","0.5"
"2015.jeptalnrecital-long.4","F14-1016","0.5"
"F14-1016","2015.jeptalnrecital-long.4","0.5"
"D14-1187","F14-1016","0.5"
"F14-1016","D14-1187","0.5"
"2017.jeptalnrecital-court.17","D14-1187","1.5"
"D14-1187","2017.jeptalnrecital-court.17","1.5"
"2017.jeptalnrecital-court.17","K17-3017","0.5"
"K17-3017","2017.jeptalnrecital-court.17","0.5"
"D14-1187","K17-3017","0.5"
"K17-3017","D14-1187","0.5"
"2021.wnut-1.23","W19-6101","1"
"W19-6101","2021.wnut-1.23","1"
"C16-1012","N16-1121","3"
"N16-1121","C16-1012","3"
"C16-1012","E17-2051","0.5"
"E17-2051","C16-1012","0.5"
"E17-2051","N16-1121","0.75"
"N16-1121","E17-2051","0.75"
"C16-1012","D14-1187","1.5"
"D14-1187","C16-1012","1.5"
"D14-1187","N16-1121","3"
"N16-1121","D14-1187","3"
"D10-1076","W11-2135","1"
"W11-2135","D10-1076","1"
"D10-1091","E12-1013","3"
"E12-1013","D10-1091","3"
"D14-1187","L18-1711","1"
"L18-1711","D14-1187","1"
"D14-1187","W16-1203","0.5"
"W16-1203","D14-1187","0.5"
"N16-1121","W16-1203","0.5"
"W16-1203","N16-1121","0.5"
"E17-2051","L16-1241","0.25"
"L16-1241","E17-2051","0.25"
"E17-2051","N18-2064","0.25"
"N18-2064","E17-2051","0.25"
"E17-2051","W17-0419","0.25"
"W17-0419","E17-2051","0.25"
"L16-1241","N16-1121","0.25"
"N16-1121","L16-1241","0.25"
"L16-1241","N18-2064","0.25"
"N18-2064","L16-1241","0.25"
"L16-1241","W17-0419","0.25"
"W17-0419","L16-1241","0.25"
"N16-1121","N18-2064","0.25"
"N18-2064","N16-1121","0.25"
"N16-1121","W17-0419","0.25"
"W17-0419","N16-1121","0.25"
"N18-2064","W17-0419","0.25"
"W17-0419","N18-2064","0.25"
"W12-3120","W13-2250","1"
"W13-2250","W12-3120","1"
