"2020.semeval-1.213","S19-2137","1"
"S19-2137","2020.semeval-1.213","1"
"benikova-etal-2014-nosta","W16-4011","1"
"W16-4011","benikova-etal-2014-nosta","1"
"benikova-etal-2014-nosta","P14-5016","1"
"P14-5016","benikova-etal-2014-nosta","1"
"benikova-etal-2014-nosta","P13-4001","1"
"P13-4001","benikova-etal-2014-nosta","1"
"biemann-2012-turk","P16-1012","1"
"P16-1012","biemann-2012-turk","1"
"biemann-2012-turk","N13-1133","2.5"
"N13-1133","biemann-2012-turk","2.5"
"biemann-2012-turk","S12-1059","0.5"
"S12-1059","biemann-2012-turk","0.5"
"N13-1133","S12-1059","2"
"S12-1059","N13-1133","2"
"biemann-2012-turk","E17-1009","0.25"
"E17-1009","biemann-2012-turk","0.25"
"biemann-2012-turk","P17-1145","0.25"
"P17-1145","biemann-2012-turk","0.25"
"biemann-2012-turk","W06-3812","1.33333"
"W06-3812","biemann-2012-turk","1.33333"
"biemann-2012-turk","W16-1620","0.833333"
"W16-1620","biemann-2012-turk","0.833333"
"E17-1009","P17-1145","0.25"
"P17-1145","E17-1009","0.25"
"E17-1009","W06-3812","0.75"
"W06-3812","E17-1009","0.75"
"E17-1009","W16-1620","0.75"
"W16-1620","E17-1009","0.75"
"P17-1145","W06-3812","1.59286"
"W06-3812","P17-1145","1.59286"
"P17-1145","W16-1620","0.892857"
"W16-1620","P17-1145","0.892857"
"W06-3812","W16-1620","6.10119"
"W16-1620","W06-3812","6.10119"
"biemann-2012-turk","C12-1109","0.25"
"C12-1109","biemann-2012-turk","0.25"
"biemann-2012-turk","P15-4018","0.25"
"P15-4018","biemann-2012-turk","0.25"
"C12-1109","P15-4018","0.25"
"P15-4018","C12-1109","0.25"
"C12-1109","W06-3812","0.375"
"W06-3812","C12-1109","0.375"
"C12-1109","W16-1620","2.375"
"W16-1620","C12-1109","2.375"
"P15-4018","W06-3812","0.75"
"W06-3812","P15-4018","0.75"
"P15-4018","W16-1620","0.75"
"W16-1620","P15-4018","0.75"
"biemann-2012-turk","W10-2309","0.5"
"W10-2309","biemann-2012-turk","0.5"
"W06-3812","W10-2309","0.5"
"W10-2309","W06-3812","0.5"
"biemann-2012-turk","P14-1096","0.333333"
"P14-1096","biemann-2012-turk","0.333333"
"P14-1096","W06-3812","1.83333"
"W06-3812","P14-1096","1.83333"
