"2018.gwc-1.5","P19-1577","2"
"P19-1577","2018.gwc-1.5","2"
"C12-1037","W13-2403","0.333333"
"W13-2403","C12-1037","0.333333"
"C12-1037","W14-0121","0.333333"
"W14-0121","C12-1037","0.333333"
"C12-1037","W14-2612","0.333333"
"W14-2612","C12-1037","0.333333"
"W13-2403","W14-0121","0.333333"
"W14-0121","W13-2403","0.333333"
"W13-2403","W14-2612","0.333333"
"W14-2612","W13-2403","0.333333"
"W14-0121","W14-2612","0.333333"
"W14-2612","W14-0121","0.333333"
"loukachevitch-2012-automatic","R11-1103","1"
"R11-1103","loukachevitch-2012-automatic","1"
"loukachevitch-alekseev-2014-summarizing","loukachevitch-gerasimova-2017-human","0.333333"
"loukachevitch-gerasimova-2017-human","loukachevitch-alekseev-2014-summarizing","0.333333"
"loukachevitch-alekseev-2014-summarizing","W14-0121","0.333333"
"W14-0121","loukachevitch-alekseev-2014-summarizing","0.333333"
"loukachevitch-alekseev-2014-summarizing","W16-1806","0.333333"
"W16-1806","loukachevitch-alekseev-2014-summarizing","0.333333"
"loukachevitch-gerasimova-2017-human","W14-0121","0.333333"
"W14-0121","loukachevitch-gerasimova-2017-human","0.333333"
"loukachevitch-gerasimova-2017-human","W16-1806","0.333333"
"W16-1806","loukachevitch-gerasimova-2017-human","0.333333"
"W14-0121","W16-1806","0.333333"
"W16-1806","W14-0121","0.333333"
"loukachevitch-dobrov-2002-evaluation","loukachevitch-dobrov-2004-development-ontologies","1"
"loukachevitch-dobrov-2004-development-ontologies","loukachevitch-dobrov-2002-evaluation","1"
