"1995.tmi-1.13","C96-1075","1"
"C96-1075","1995.tmi-1.13","1"
"2003.mtsummit-papers.53","eck-etal-2004-language","2"
"eck-etal-2004-language","2003.mtsummit-papers.53","2"
"2003.mtsummit-papers.53","zhang-etal-2004-interpreting","1.5"
"zhang-etal-2004-interpreting","2003.mtsummit-papers.53","1.5"
"2003.mtsummit-papers.53","P97-1047","2.5"
"P97-1047","2003.mtsummit-papers.53","2.5"
"2003.mtsummit-papers.53","2005.iwslt-1.6","0.5"
"2005.iwslt-1.6","2003.mtsummit-papers.53","0.5"
"2003.mtsummit-papers.53","2006.iwslt-evaluation.19","0.5"
"2006.iwslt-evaluation.19","2003.mtsummit-papers.53","0.5"
"2005.iwslt-1.6","2006.iwslt-evaluation.19","0.5"
"2006.iwslt-evaluation.19","2005.iwslt-1.6","0.5"
"P97-1047","zhang-etal-2004-interpreting","0.5"
"zhang-etal-2004-interpreting","P97-1047","0.5"
"2003.mtsummit-papers.53","W04-3227","2"
"W04-3227","2003.mtsummit-papers.53","2"
"2003.mtsummit-papers.53","2008.iwslt-papers.5","2"
"2008.iwslt-papers.5","2003.mtsummit-papers.53","2"
"2003.mtsummit-papers.53","W03-1502","2"
"W03-1502","2003.mtsummit-papers.53","2"
"2003.mtsummit-papers.53","P03-1041","1"
"P03-1041","2003.mtsummit-papers.53","1"
"2003.mtsummit-papers.53","2004.iwslt-evaluation.11","1"
"2004.iwslt-evaluation.11","2003.mtsummit-papers.53","1"
"2004.iwslt-evaluation.10","2004.iwslt-evaluation.11","0.333333"
"2004.iwslt-evaluation.11","2004.iwslt-evaluation.10","0.333333"
"2004.iwslt-evaluation.10","2005.iwslt-1.6","0.333333"
"2005.iwslt-1.6","2004.iwslt-evaluation.10","0.333333"
"2004.iwslt-evaluation.10","zhang-etal-2004-interpreting","0.333333"
"zhang-etal-2004-interpreting","2004.iwslt-evaluation.10","0.333333"
"2004.iwslt-evaluation.11","2005.iwslt-1.6","0.333333"
"2005.iwslt-1.6","2004.iwslt-evaluation.11","0.333333"
"2004.iwslt-evaluation.11","zhang-etal-2004-interpreting","0.333333"
"zhang-etal-2004-interpreting","2004.iwslt-evaluation.11","0.333333"
"2005.iwslt-1.6","zhang-etal-2004-interpreting","0.833333"
"zhang-etal-2004-interpreting","2005.iwslt-1.6","0.833333"
"2004.iwslt-evaluation.11","2005.eamt-1.19","1.5"
"2005.eamt-1.19","2004.iwslt-evaluation.11","1.5"
"2004.iwslt-evaluation.11","2005.mtsummit-papers.30","0.5"
"2005.mtsummit-papers.30","2004.iwslt-evaluation.11","0.5"
"2005.eamt-1.19","2005.mtsummit-papers.30","3.5"
"2005.mtsummit-papers.30","2005.eamt-1.19","3.5"
"2005.eamt-1.19","I05-3011","1"
"I05-3011","2005.eamt-1.19","1"
"2005.mtsummit-papers.30","I05-3011","1"
"I05-3011","2005.mtsummit-papers.30","1"
"2005.eamt-1.19","zhang-etal-2004-interpreting","4"
"zhang-etal-2004-interpreting","2005.eamt-1.19","4"
"2005.eamt-1.19","eck-etal-2004-language","18"
"eck-etal-2004-language","2005.eamt-1.19","18"
"2005.eamt-1.19","W05-0836","1"
"W05-0836","2005.eamt-1.19","1"
"2005.mtsummit-papers.30","eck-etal-2004-language","1"
"eck-etal-2004-language","2005.mtsummit-papers.30","1"
"2005.eamt-1.19","2005.iwslt-1.7","3"
"2005.iwslt-1.7","2005.eamt-1.19","3"
"2005.eamt-1.19","2011.iwslt-papers.6","0.5"
"2011.iwslt-papers.6","2005.eamt-1.19","0.5"
"2011.iwslt-papers.6","eck-etal-2004-language","0.5"
"eck-etal-2004-language","2011.iwslt-papers.6","0.5"
"2005.eamt-1.19","2010.eamt-1.29","1"
"2010.eamt-1.29","2005.eamt-1.19","1"
"2005.eamt-1.19","C04-1114","0.5"
"C04-1114","2005.eamt-1.19","0.5"
"C04-1114","eck-etal-2004-language","0.5"
"eck-etal-2004-language","C04-1114","0.5"
"2005.iwslt-1.6","I05-3011","0.5"
"I05-3011","2005.iwslt-1.6","0.5"
"2005.iwslt-1.6","W05-0804","0.5"
"W05-0804","2005.iwslt-1.6","0.5"
"I05-3011","W05-0804","0.5"
"W05-0804","I05-3011","0.5"
"2005.iwslt-1.6","2006.iwslt-evaluation.20","0.5"
"2006.iwslt-evaluation.20","2005.iwslt-1.6","0.5"
"2006.iwslt-evaluation.20","zhang-etal-2004-interpreting","0.5"
"zhang-etal-2004-interpreting","2006.iwslt-evaluation.20","0.5"
"2005.iwslt-1.6","W05-0836","1"
"W05-0836","2005.iwslt-1.6","1"
"2005.iwslt-1.7","Q14-1014","1"
"Q14-1014","2005.iwslt-1.7","1"
"2005.mtsummit-papers.30","2007.iwslt-1.4","1"
"2007.iwslt-1.4","2005.mtsummit-papers.30","1"
"2006.iwslt-evaluation.19","2006.iwslt-evaluation.20","1"
"2006.iwslt-evaluation.20","2006.iwslt-evaluation.19","1"
"2006.iwslt-evaluation.19","I05-3011","0.5"
"I05-3011","2006.iwslt-evaluation.19","0.5"
"2006.iwslt-evaluation.19","N07-2006","0.5"
"N07-2006","2006.iwslt-evaluation.19","0.5"
"I05-3011","N07-2006","0.5"
"N07-2006","I05-3011","0.5"
"2007.iwslt-1.4","eck-etal-2004-language","1"
"eck-etal-2004-language","2007.iwslt-1.4","1"
"2007.mtsummit-papers.22","N07-2006","1"
"N07-2006","2007.mtsummit-papers.22","1"
"2010.eamt-1.29","eck-etal-2004-language","1"
"eck-etal-2004-language","2010.eamt-1.29","1"
"2010.eamt-1.29","2010.iwslt-evaluation.11","0.5"
"2010.iwslt-evaluation.11","2010.eamt-1.29","0.5"
"2010.eamt-1.29","W11-2124","0.5"
"W11-2124","2010.eamt-1.29","0.5"
"2010.iwslt-evaluation.11","W11-2124","1.45238"
"W11-2124","2010.iwslt-evaluation.11","1.45238"
"2010.iwslt-evaluation.11","zhang-etal-2004-interpreting","1"
"zhang-etal-2004-interpreting","2010.iwslt-evaluation.11","1"
"2010.iwslt-evaluation.11","W09-0413","1"
"W09-0413","2010.iwslt-evaluation.11","1"
"2010.iwslt-evaluation.11","2011.iwslt-evaluation.9","0.619048"
"2011.iwslt-evaluation.9","2010.iwslt-evaluation.11","0.619048"
"2010.iwslt-evaluation.11","2011.iwslt-papers.6","0.309524"
"2011.iwslt-papers.6","2010.iwslt-evaluation.11","0.309524"
"2010.iwslt-evaluation.11","W05-0836","0.952381"
"W05-0836","2010.iwslt-evaluation.11","0.952381"
"2010.iwslt-evaluation.11","W10-1719","0.166667"
"W10-1719","2010.iwslt-evaluation.11","0.166667"
"2010.iwslt-evaluation.11","W11-2145","0.309524"
"W11-2145","2010.iwslt-evaluation.11","0.309524"
"2011.iwslt-evaluation.9","2011.iwslt-papers.6","1.04286"
"2011.iwslt-papers.6","2011.iwslt-evaluation.9","1.04286"
"2011.iwslt-evaluation.9","W05-0836","2.94524"
"W05-0836","2011.iwslt-evaluation.9","2.94524"
"2011.iwslt-evaluation.9","W10-1719","0.625"
"W10-1719","2011.iwslt-evaluation.9","0.625"
"2011.iwslt-evaluation.9","W11-2124","3.90357"
"W11-2124","2011.iwslt-evaluation.9","3.90357"
"2011.iwslt-evaluation.9","W11-2145","0.642857"
"W11-2145","2011.iwslt-evaluation.9","0.642857"
"2011.iwslt-papers.6","W05-0836","1.54286"
"W05-0836","2011.iwslt-papers.6","1.54286"
"2011.iwslt-papers.6","W10-1719","0.166667"
"W10-1719","2011.iwslt-papers.6","0.166667"
"2011.iwslt-papers.6","W11-2124","1.54286"
"W11-2124","2011.iwslt-papers.6","1.54286"
"2011.iwslt-papers.6","W11-2145","0.166667"
"W11-2145","2011.iwslt-papers.6","0.166667"
"W05-0836","W10-1719","0.291667"
"W10-1719","W05-0836","0.291667"
"W05-0836","W11-2124","8.71905"
"W11-2124","W05-0836","8.71905"
"W05-0836","W11-2145","1.30952"
"W11-2145","W05-0836","1.30952"
"W10-1719","W11-2124","0.625"
"W11-2124","W10-1719","0.625"
"W10-1719","W11-2145","1.5"
"W11-2145","W10-1719","1.5"
"W11-2124","W11-2145","1.64286"
"W11-2145","W11-2124","1.64286"
"2010.iwslt-evaluation.11","2012.amta-papers.19","0.309524"
"2012.amta-papers.19","2010.iwslt-evaluation.11","0.309524"
"2010.iwslt-evaluation.11","W13-0805","0.452381"
"W13-0805","2010.iwslt-evaluation.11","0.452381"
"2010.iwslt-evaluation.11","W13-2264","0.309524"
"W13-2264","2010.iwslt-evaluation.11","0.309524"
"2011.iwslt-evaluation.9","2012.amta-papers.19","1.60238"
"2012.amta-papers.19","2011.iwslt-evaluation.9","1.60238"
"2011.iwslt-evaluation.9","W13-0805","2.2131"
"W13-0805","2011.iwslt-evaluation.9","2.2131"
"2011.iwslt-evaluation.9","W13-2264","1.1369"
"W13-2264","2011.iwslt-evaluation.9","1.1369"
"2012.amta-papers.19","W05-0836","1.16786"
"W05-0836","2012.amta-papers.19","1.16786"
"2012.amta-papers.19","W11-2124","2.10238"
"W11-2124","2012.amta-papers.19","2.10238"
"2012.amta-papers.19","W13-0805","1.26905"
"W13-0805","2012.amta-papers.19","1.26905"
"2012.amta-papers.19","W13-2264","1.61905"
"W13-2264","2012.amta-papers.19","1.61905"
"W05-0836","W13-0805","2.27857"
