"2020.acl-main.173","2021.acl-long.474","1"
"2021.acl-long.474","2020.acl-main.173","1"
"C10-1094","D07-1013","1.66667"
"D07-1013","C10-1094","1.66667"
"C10-1094","D07-1096","1.2"
"D07-1096","C10-1094","1.2"
"C10-1094","P05-1012","2.41667"
"P05-1012","C10-1094","2.41667"
"D07-1013","D07-1096","22.3512"
"D07-1096","D07-1013","22.3512"
"D07-1013","P05-1012","14.1345"
"P05-1012","D07-1013","14.1345"
"D07-1096","P05-1012","25.9095"
"P05-1012","D07-1096","25.9095"
"C10-1094","H05-1066","2.75"
"H05-1066","C10-1094","2.75"
"C10-1094","E06-1011","1.58333"
"E06-1011","C10-1094","1.58333"
"D07-1096","E06-1011","21.4429"
"E06-1011","D07-1096","21.4429"
"E06-1011","P05-1012","62.5429"
"P05-1012","E06-1011","62.5429"
"C10-1094","P08-1108","2.75"
"P08-1108","C10-1094","2.75"
"P05-1012","P08-1108","20.2679"
"P08-1108","P05-1012","20.2679"
"C10-1094","J11-1007","2.53333"
"J11-1007","C10-1094","2.53333"
"H05-1066","J11-1007","4.325"
"J11-1007","H05-1066","4.325"
"D07-1013","J11-1007","4.19167"
"J11-1007","D07-1013","4.19167"
"D07-1096","J11-1007","2.85833"
"J11-1007","D07-1096","2.85833"
"C10-1094","D11-1006","0.2"
"D11-1006","C10-1094","0.2"
"C10-1094","L16-1262","0.2"
"L16-1262","C10-1094","0.2"
"C10-1094","W06-2932","1.2"
"W06-2932","C10-1094","1.2"
"D07-1096","D11-1006","12.575"
"D11-1006","D07-1096","12.575"
"D07-1096","L16-1262","2.53333"
"L16-1262","D07-1096","2.53333"
"D07-1096","W06-2932","20.3679"
"W06-2932","D07-1096","20.3679"
"D11-1006","J11-1007","0.2"
"J11-1007","D11-1006","0.2"
"D11-1006","L16-1262","7.53333"
"L16-1262","D11-1006","7.53333"
"D11-1006","W06-2932","1.23333"
"W06-2932","D11-1006","1.23333"
"J11-1007","L16-1262","0.2"
"L16-1262","J11-1007","0.2"
"J11-1007","W06-2932","1.85833"
"W06-2932","J11-1007","1.85833"
"L16-1262","W06-2932","1.7"
"W06-2932","L16-1262","1.7"
"E06-1011","H05-1066","44.7595"
"H05-1066","E06-1011","44.7595"
"E06-1011","P08-1108","15.1679"
"P08-1108","E06-1011","15.1679"
"H05-1066","P05-1012","45.1929"
"P05-1012","H05-1066","45.1929"
"H05-1066","P08-1108","20.5679"
"P08-1108","H05-1066","20.5679"
"C10-1094","W07-2216","0.5"
"W07-2216","C10-1094","0.5"
"J11-1007","W07-2216","1.7"
"W07-2216","J11-1007","1.7"
"C14-1168","W06-1615","2.33333"
"W06-1615","C14-1168","2.33333"
"C14-1168","D11-1006","0.333333"
"D11-1006","C14-1168","0.333333"
"C14-1168","P13-2017","0.333333"
"P13-2017","C14-1168","0.333333"
"C14-1168","Q13-1001","1.66667"
"Q13-1001","C14-1168","1.66667"
"D11-1006","P13-2017","14.3583"
"P13-2017","D11-1006","14.3583"
"D11-1006","Q13-1001","12.2"
"Q13-1001","D11-1006","12.2"
"P13-2017","Q13-1001","5.11667"
"Q13-1001","P13-2017","5.11667"
"C14-1168","E06-1011","0.25"
"E06-1011","C14-1168","0.25"
"C14-1168","J11-1007","0.25"
"J11-1007","C14-1168","0.25"
"C14-1168","P05-1012","0.25"
"P05-1012","C14-1168","0.25"
"C14-1168","petrov-etal-2012-universal","1.58333"
"petrov-etal-2012-universal","C14-1168","1.58333"
"E06-1011","J11-1007","4.375"
"J11-1007","E06-1011","4.375"
"E06-1011","petrov-etal-2012-universal","3.325"
"petrov-etal-2012-universal","E06-1011","3.325"
"J11-1007","P05-1012","3.775"
"P05-1012","J11-1007","3.775"
"J11-1007","petrov-etal-2012-universal","0.416667"
"petrov-etal-2012-universal","J11-1007","0.416667"
"P05-1012","petrov-etal-2012-universal","5.39167"
