"1991.mtsummit-papers.7","A92-1029","1"
"A92-1029","1991.mtsummit-papers.7","1"
"2004.tmi-1.3","2005.jeptalnrecital-long.17","0.333333"
"2005.jeptalnrecital-long.17","2004.tmi-1.3","0.333333"
"2004.tmi-1.3","P03-2024","2"
"P03-2024","2004.tmi-1.3","2"
"2004.tmi-1.3","W02-0710","1.5"
"W02-0710","2004.tmi-1.3","1.5"
"2005.jeptalnrecital-long.17","P03-2024","0.333333"
"P03-2024","2005.jeptalnrecital-long.17","0.333333"
"2005.jeptalnrecital-long.17","W02-0710","0.333333"
"W02-0710","2005.jeptalnrecital-long.17","0.333333"
"P03-2024","W02-0710","1"
"W02-0710","P03-2024","1"
"2004.tmi-1.3","2005.eamt-1.8","1.16667"
"2005.eamt-1.8","2004.tmi-1.3","1.16667"
"2005.eamt-1.8","P03-2024","0.666667"
"P03-2024","2005.eamt-1.8","0.666667"
"2005.eamt-1.8","W02-0710","2.16667"
"W02-0710","2005.eamt-1.8","2.16667"
"2004.tmi-1.3","H05-2014","1"
"H05-2014","2004.tmi-1.3","1"
"2005.eamt-1.8","W07-1806","4.53333"
"W07-1806","2005.eamt-1.8","4.53333"
"2005.eamt-1.8","2005.mtsummit-papers.25","3.98333"
"2005.mtsummit-papers.25","2005.eamt-1.8","3.98333"
"2005.eamt-1.8","bouillon-etal-2008-developing","1.18333"
"bouillon-etal-2008-developing","2005.eamt-1.8","1.18333"
"2005.eamt-1.8","C08-1090","0.2"
"C08-1090","2005.eamt-1.8","0.2"
"2005.eamt-1.8","tsourakis-etal-2008-building","1.6"
"tsourakis-etal-2008-building","2005.eamt-1.8","1.6"
"2005.eamt-1.8","W06-3702","3.43333"
"W06-3702","2005.eamt-1.8","3.43333"
"2005.mtsummit-papers.25","bouillon-etal-2008-developing","0.45"
"bouillon-etal-2008-developing","2005.mtsummit-papers.25","0.45"
"2005.mtsummit-papers.25","C08-1090","0.2"
"C08-1090","2005.mtsummit-papers.25","0.2"
"2005.mtsummit-papers.25","tsourakis-etal-2008-building","0.2"
"tsourakis-etal-2008-building","2005.mtsummit-papers.25","0.2"
"2005.mtsummit-papers.25","W06-3702","1.73333"
"W06-3702","2005.mtsummit-papers.25","1.73333"
"bouillon-etal-2008-developing","C08-1090","0.2"
"C08-1090","bouillon-etal-2008-developing","0.2"
"bouillon-etal-2008-developing","tsourakis-etal-2008-building","0.6"
"tsourakis-etal-2008-building","bouillon-etal-2008-developing","0.6"
"bouillon-etal-2008-developing","W06-3702","0.4"
"W06-3702","bouillon-etal-2008-developing","0.4"
"C08-1090","tsourakis-etal-2008-building","0.2"
"tsourakis-etal-2008-building","C08-1090","0.2"
"C08-1090","W06-3702","0.2"
"W06-3702","C08-1090","0.2"
"tsourakis-etal-2008-building","W06-3702","0.4"
"W06-3702","tsourakis-etal-2008-building","0.4"
"2005.eamt-1.8","2006.jeptalnrecital-long.6","1.58333"
"2006.jeptalnrecital-long.6","2005.eamt-1.8","1.58333"
"2005.eamt-1.8","2007.jeptalnrecital-poster.5","0.25"
"2007.jeptalnrecital-poster.5","2005.eamt-1.8","0.25"
