citingpaperID,citedpaperID,proba
1480283453,1555508210,0.46375
1483763945,1535279741,0.52625
1483763945,2148792468,0.11875
1489759386,1603805323,0.29125
1491206589,1535279741,0.16625
1491206589,1538246304,0.25625
1491206589,1557978295,0.315
1491206589,2101282805,0.175
1491658408,2101302356,0.38375
1491658408,2163360598,0.1875
1494147055,1538246304,0.31125
1494147055,2107778970,0.42875
1499082572,2000656232,0.25125
1511843856,2106523682,0.73625
1527756448,1498065375,0.36125
1527756448,1570448592,0.34875
1533695319,1483763945,0.1475
1533695319,2104165400,0.10125
1535279741,2124770891,0.1875
1540668990,1603805323,0.5525
1540668990,2132476584,0.3925
1540668990,2137523786,0.28125
1544142967,2103711687,0.2825
1544142967,2106768428,0.1875
1553945535,2043035982,0.2575
1553945535,2124770891,0.3425
1555508210,2148577665,0.6875
1557978295,2138540053,0.16375
1570448592,1498065375,0.49875
1570896006,1576116911,0.58375
1570896006,1969221862,0.315
1570896006,1991571419,0.4175
1570896006,2054308357,0.125
1576116911,1991571419,0.4375
1576116911,2054308357,0.34875
1577636298,2154536059,0.5325
1589002194,1498065375,0.39875
1589002194,1527756448,0.61125
1589002194,196035924,0.57875
1589002194,2044555065,0.54875
1603054734,1991571419,0.245
1603805323,1491658408,0.4825
1603805323,1535279741,0.24125
1604098248,2136121557,0.1125
1665789430,1562976741,0.5625
1680399761,2135658482,0.15875
1719848100,2085666943,0.4075
1719848100,2156741190,0.30125
1770078220,1581684468,0.51375
1770078220,2075223920,0.4775
1770078220,2099052212,0.6975
1832726879,2091181883,0.6
1832726879,2146084056,0.20875
1832726879,2163763098,0.34625
1942362233,1511843856,0.4125
1942362233,2106523682,0.2925
1942362233,2128563350,0.6
1966855344,2000656232,0.2875
1966855344,2147344977,0.32125
1967053016,2100408869,0.52125
1968748479,1553945535,0.2125
1969221862,1576116911,0.5875
1969221862,1991571419,0.2125
1969221862,2054308357,0.1375
1969221862,2085666943,0.31875
1980092576,1604098248,0.71
1985339368,1775601170,0.345
1987820042,103922014,0.56125
1987820042,2162946535,0.60875
