authorID,rank,name,PaperCount_MAG,CitationCount_MAG,PaperCount_field,authorRank,CitationCount_field,h_index,FellowType
"2121939561","11410","Jiawei Han","1152","106233","723","1","92542","132","1:2003,14:2002,"
"2125104194","11621","Philip S. Yu","1810","76187","840","2","48696","100","1:1997,13:2016,14:2003,"
"2198983026","11767","Christos Faloutsos","787","56487","434","3","29676","84","1:2010,14:2006,"
"237419955","11737","Hector Garcia Molina","593","50622","196","4","22259","70","1:1997,"
"2138427228","11275","Rakesh Agrawal","291","75425","160","5","66371","70","1:2003,"
"2141382980","12358","Francisco Herrera","973","57152","285","6","17126","67",\N
"1919135125","12217","Hans Peter Kriegel","466","42536","322","7","33983","67","1:2009,13:2015,14:2013,"
"2163909284","12705","Surajit Chaudhuri","401","22613","228","8","17619","67","1:2005,"
"2146335907","12630","Charu C. Aggarwal","592","31325","350","9","19923","66","1:2013,13:2019,14:2015,"
"2126330539","12213","Jian Pei","409","50195","318","10","47919","66","1:2015,13:2017,14:2014,"
"2127889770","12349","W. Bruce Croft","386","29149","171","11","21304","64","1:1997,"
"2122391114","12722","Huan Liu","640","35395","236","12","21470","63","1:2018,"
"2159644763","13096","Christian S. Jensen","590","17690","264","13","14014","63","1:2011,"
"2170070822","12834","Eamonn Keogh","303","25967","189","14","20373","62","14:2021,"
"671527850","12141","Jennifer Widom","276","34563","131","15","20491","62","1:2005,"
"2196778472","12868","Divesh Srivastava","450","18855","298","16","14054","62","1:2011,"
"2109031554","12482","Qiang Yang","1067","41114","248","17","22194","61","1:2017,"
"136859070","12172","Witold Pedrycz","1666","43793","516","18","14667","58",\N
"2131082813","13563","Yufei Tao","197","12451","133","19","11845","57","1:2020,"
"2037466936","13477","Beng Chin Ooi","372","13590","201","20","10276","56","1:2011,"
"2152766206","13023","ChengXiang Zhai","413","21615","200","21","15808","56",\N
"360112113","12795","Hosagrahar V. Jagadish","352","19198","178","22","14337","56",\N
"2162010601","10983","Anil K. Jain","952","135328","111","23","35329","55","1:2003,14:2008,"
"2116978417","11447","David W. Bates","1267","89048","148","24","11618","55",\N
"2134693834","12562","Wei Ying Ma","495","31620","159","25","11950","55",\N
"270949118","12595","Wil M. P. van der Aalst","608","27203","202","26","8647","55","1:2020,"
"2244698799","12607","Bing Liu","431","34397","150","27","23355","55","1:2015,13:2018,"
"2243308922","13523","Dimitris Papadias","197","12187","142","28","11168","55",\N
"2154833104","12868","Alon Halevy","217","21008","101","29","14564","54","1:2006,"
"514836396","12758","Gerhard Weikum","837","23030","244","30","11701","54","1:2005,"
"2145115012","13323","Yu Zheng","188","18883","114","31","14389","53",\N
"1998938290","11923","Michael Stonebraker","431","27762","141","32","12928","52","1:1994,"
"2119358208","13630","Jeffrey Xu Yu","493","11681","335","33","8911","51",\N
"2075622585","12840","Jeffrey F. Naughton","246","14847","135","34","10907","51","1:2002,"
"2083845045","12490","Johannes Gehrke","306","27904","139","35","19439","51","1:2014,13:2021,"
"1993486354","12882","Loet Leydesdorff","955","29826","220","36","8094","51",\N
"1878631932","12585","Jure Leskovec","369","42540","107","37","17567","50","14:2019,"
"1979791317","12243","David J. DeWitt","234","24600","85","38","14250","50","1:1995,"
"2164040783","12492","Raghu Ramakrishnan","337","27342","150","39","16265","50","1:2001,"
"2155014515","13420","Shyi Ming Chen","408","17021","150","40","6915","50","1:2006,"
"1986159374","12769","Dan Suciu","407","19722","171","41","11359","49","1:2011,"
"717547165","12623","Elisa Bertino","1210","27119","280","42","10442","49","1:2003,"
"2147343253","13047","Daniel A. Keim","488","19849","223","43","11963","48",\N
"335443309","13526","Nick Koudas","173","10688","128","44","9529","48",\N
"219814910","12332","George Karypis","403","40815","137","45","22123","48","14:2017,"
"2289816208","13447","Laks V. S. Lakshmanan","250","11665","139","46","8180","48",\N
"1981784093","13438","Wolfgang GlÃ¤nzel","363","11689","171","47","7706","48",\N
"2165917828","13266","Mohammed J. Zaki","311","16674","173","48","12719","48","1:2021,"
"2139913828","12210","Samuel Madden","305","31855","136","49","15674","48","1:2020,"
"2157743775","12883","Hsinchun Chen","829","24466","251","50","9821","47","1:2015,"
"2161062602","12239","Vipin Kumar","830","49004","179","51","26048","47","1:2005,"
"2626264286","13750","Ke Wang","235","10086","142","52","8497","47",\N
"310734946","12603","Heikki Mannila","325","22663","127","53","12579","47","14:2009,"
"2063640528","12169","Joseph M. Hellerstein","313","31064","110","54","13835","47","1:2009,"
"1656275121","13199","Dimitrios Gunopulos","291","14646","147","55","10624","47",\N
"2116657824","13677","Xifeng Yan","209","12570","135","56","11169","46",\N
"2318776917","13556","Lei Chen","634","12682","302","57","7410","46",\N
"2295682018","12431","Amit P. Sheth","816","30474","166","58","9780","46","1:2020,"
"1970391018","12111","Eric Horvitz","939","50040","118","59","7419","46","1:2014,"
"2425877144","13352","Zheng Chen","378","15630","148","60","7798","46",\N
"18851973","13949","Nikos Mamoulis","273","8080","197","61","7287","45",\N
"2523407221","12208","Michael J. Franklin","304","35175","110","62","12050","45","1:2005,"
"2067196623","13144","Martin Ester","196","22887","121","63","20020","45",\N
"676500258","11986","Susan T. Dumais","305","45451","82","64","19215","45","1:2006,"
"2777339002","13759","Haixun Wang","220","10893","147","65","8610","44",\N
"2089290244","13558","Minos Garofalakis","230","10204","117","66","7264","44","1:2018,"
"2087940392","13474","George Hripcsak","392","12344","118","67","6568","44",\N
"2227744130","13091","Michael R. Lyu","628","21670","130","68","8525","44","1:2015,"
"2153710278","13912","Hui Xiong","366","9665","198","69","6543","43",\N
"2125481875","13861","Xuemin Lin","398","9577","295","70","7971","43",\N
"2304774990","12423","Philip A. Bernstein","269","23853","85","71","11983","43","1:2001,"
"2277076782","12623","Isaac S. Kohane","708","33363","112","72","6378","43",\N
"2019828590","13356","Justin Zobel","335","12571","131","73","7882","43",\N
"2161168953","13256","Kyuseok Shim","174","12121","111","74","11018","43","1:2013,"
"2125800575","13185","Xing Xie","395","18539","127","75","11148","43",\N
"2190072679","13699","Graham Cormode","277","10513","127","76","6049","42","1:2020,"
"2158488542","13837","Chris Clifton","176","8519","96","77","7626","42",\N
"2289414603","13694","Elke A. Rundensteiner","537","8782","302","78","6196","42",\N
"2119244895","13419","Yong Yu","397","14583","178","79","6407","42",\N
"2472069284","12587","Tao Li","2212","29200","250","80","7671","42",\N
"2148123616","13896","Jamie Callan","213","7452","107","81","5223","41",\N
"2158012360","13800","Jie Tang","412","10693","173","82","7773","41","1:2021,"
"2021877992","12762","Salvatore J. Stolfo","338","22672","77","83","10919","41","1:2019,"
"2169544959","13249","Divyakant Agrawal","452","14837","149","84","6552","41","1:2011,"
"2651564987","13135","Rajeev Rastogi","243","15812","82","85","10539","41","1:2012,14:2016,"
"2142476784","13689","Kian Lee Tan","341","10606","189","86","7495","41",\N
"40084183","13514","Mike Thelwall","487","17479","143","87","7079","41",\N
"2157867657","14242","Xiaokui Xiao","158","6790","117","88","5756","40",\N
"2097030689","13195","James Allan","292","12190","101","89","6541","40","1:2020,"
"2169034151","12659","Mark A. Musen","550","22931","132","90","6451","40",\N
"2295915604","14195","Gao Cong","194","7585","143","91","6318","40",\N
"2061851337","13831","Bart Baesens","417","9297","155","92","6446","40",\N
"2137074633","12728","Padhraic Smyth","352","25115","100","93","14810","40","1:2013,"
"2491264568","13870","Wei Fan","201","9620","128","94","7565","40",\N
"1979772396","13846","David W. Cheung","214","10035","139","95","6316","40",\N
"2165551961","13855","Ada Wai Chee Fu","163","8795","105","96","6657","40",\N
"2129454193","12797","Stephen Robertson","212","16728","86","97","9135","40","1:2013,"
"2096583854","13896","Ryen W. White","306","9803","120","98","5166","40","1:2021,"
"737311942","13334","Aristides Gionis","270","13277","126","99","8947","40",\N
"1892801027","13392","Bamshad Mobasher","232","14422","82","100","7142","40",\N
"2149762431","13069","Zeshui Xu","627","33945","100","101","6408","40",\N
"1937107987","10338","Douglas G. Altman","1086","400123","65","102","32216","40",\N
"2131502281","13930","Alex A. Freitas","353","10105","137","103","5769","39",\N
"435837623","13427","Yannis E. Ioannidis","276","9161","94","104","6258","39","1:2004,"
