"23877","12216","6"
"12216","23877","6"
"23877","13929","3"
"13929","23877","3"
"23877","9891","15"
"9891","23877","15"
"12216","13929","3"
"13929","12216","3"
"12216","9891","6"
"9891","12216","6"
"13929","9891","3"
"9891","13929","3"
"23877","14102","1"
"14102","23877","1"
"23877","9981","5"
"9981","23877","5"
"14102","9981","1"
"9981","14102","1"
"23877","28507","1"
"28507","23877","1"
"23877","28540","12"
"28540","23877","12"
"23877","29320","1"
"29320","23877","1"
"28540","29320","1"
"29320","28540","1"
"28540","9981","2"
"9981","28540","2"
"28540","9891","6"
"9891","28540","6"
"29320","9981","1"
"9981","29320","1"
"29320","9891","1"
"9891","29320","1"
"9981","9891","4"
"9891","9981","4"
"23877","31782","2"
"31782","23877","2"
"9981","12216","2"
"12216","9981","2"
"9981","31782","1"
"31782","9981","1"
"12216","31782","1"
"31782","12216","1"
"31782","9891","2"
"9891","31782","2"
"23877","5907","1"
"5907","23877","1"
"23877","34423","2"
"34423","23877","2"
"5907","28540","1"
"28540","5907","1"
"5907","34423","1"
"34423","5907","1"
"5907","9891","1"
"9891","5907","1"
"28540","34423","1"
"34423","28540","1"
"34423","9891","1"
"9891","34423","1"
"23877","24531","2"
"24531","23877","2"
"23877","24532","2"
"24532","23877","2"
"24531","9891","1"
"9891","24531","1"
"24531","28540","2"
"28540","24531","2"
"24531","24532","2"
"24532","24531","2"
"9891","24532","1"
"24532","9891","1"
"28540","24532","2"
"24532","28540","2"
"23877","25409","1"
"25409","23877","1"
"23877","15249","1"
"15249","23877","1"
"25409","15249","1"
"15249","25409","1"
"25409","9891","1"
"9891","25409","1"
"15249","9891","1"
"9891","15249","1"
"23877","4608","2"
"4608","23877","2"
"23877","5752","1"
"5752","23877","1"
"4608","5752","1"
"5752","4608","1"
"4608","9891","1"
"9891","4608","1"
"5752","9891","1"
"9891","5752","1"
"23877","5715","3"
"5715","23877","3"
"23877","20636","1"
"20636","23877","1"
"23877","40052","13"
"40052","23877","13"
"5715","34423","1"
"34423","5715","1"
"5715","4608","1"
"4608","5715","1"
"5715","20636","1"
"20636","5715","1"
"5715","40052","3"
"40052","5715","3"
"34423","4608","1"
"4608","34423","1"
"34423","20636","1"
"20636","34423","1"
"34423","40052","1"
"40052","34423","1"
"4608","20636","1"
"20636","4608","1"
"4608","40052","1"
"40052","4608","1"
"20636","40052","1"
"40052","20636","1"
"23877","43862","1"
"43862","23877","1"
"23877","517","1"
"517","23877","1"
"23877","895","1"
"895","23877","1"
"43862","517","1"
"517","43862","1"
"43862","895","1"
"895","43862","1"
"43862","28540","1"
"28540","43862","1"
"517","895","1"
"895","517","1"
"517","28540","1"
"28540","517","1"
"895","28540","1"
"28540","895","1"
"28540","40052","5"
"40052","28540","5"
"24531","40052","1"
"40052","24531","1"
"40052","24532","1"
"24532","40052","1"
"23877","30901","6"
"30901","23877","6"
"23877","45415","3"
"45415","23877","3"
"5715","28540","1"
"28540","5715","1"
"5715","30901","1"
"30901","5715","1"
"5715","45415","1"
"45415","5715","1"
"28540","30901","2"
"30901","28540","2"
"28540","45415","1"
"45415","28540","1"
"30901","45415","2"
"45415","30901","2"
"30901","40052","6"
"40052","30901","6"
"45415","40052","3"
"40052","45415","3"
"23877","43225","3"
"43225","23877","3"
"28540","43225","3"
"43225","28540","3"
"30901","43225","1"
"43225","30901","1"
"43225","40052","3"
"40052","43225","3"
"23877","2696","1"
"2696","23877","1"
"23877","2635","1"
"2635","23877","1"
"2696","2635","1"
"2635","2696","1"
"2696","40052","1"
"40052","2696","1"
"2635","40052","1"
"40052","2635","1"
"23877","5059","1"
"5059","23877","1"
"23877","49423","1"
"49423","23877","1"
"23877","23604","8"
"23604","23877","8"
"23877","3262","1"
"3262","23877","1"
"23877","40951","12"
"40951","23877","12"
"23877","3526","1"
"3526","23877","1"
"23877","28438","8"
"28438","23877","8"
"5059","49423","1"
"49423","5059","1"
"5059","23604","1"
"23604","5059","1"
"5059","3262","1"
"3262","5059","1"
"5059","40951","1"
"40951","5059","1"
"5059","3526","1"
"3526","5059","1"
"5059","28438","1"
"28438","5059","1"
"49423","23604","1"
"23604","49423","1"
"49423","3262","1"
"3262","49423","1"
"49423","40951","1"
"40951","49423","1"
"49423","3526","1"
"3526","49423","1"
"49423","28438","1"
"28438","49423","1"
"23604","3262","1"
"3262","23604","1"
"23604","40951","7"
"40951","23604","7"
"23604","3526","1"
"3526","23604","1"
"23604","28438","7"
"28438","23604","7"
"3262","40951","1"
"40951","3262","1"
"3262","3526","1"
"3526","3262","1"
"3262","28438","1"
"28438","3262","1"
"40951","3526","1"
"3526","40951","1"
"40951","28438","8"
"28438","40951","8"
"3526","28438","1"
"28438","3526","1"
"23877","5326","5"
"5326","23877","5"
"23877","836","11"
"836","23877","11"
"23877","17603","4"
"17603","23877","4"
"23877","5758","6"
"5758","23877","6"
"5326","836","5"
"836","5326","5"
"5326","23604","4"
"23604","5326","4"
"5326","17603","4"
"17603","5326","4"
"5326","40951","5"
"40951","5326","5"
"5326","5758","5"
"5758","5326","5"
"5326","28438","5"
"28438","5326","5"
"836","23604","7"
"23604","836","7"
"836","17603","4"
"17603","836","4"
"836","40951","10"
"40951","836","10"
"836","5758","6"
"5758","836","6"
"836","28438","7"
"28438","836","7"
"23604","17603","3"
"17603","23604","3"
"23604","5758","5"
"5758","23604","5"
"17603","40951","4"
"40951","17603","4"
"17603","5758","4"
"5758","17603","4"
"17603","28438","4"
"28438","17603","4"
"40951","5758","6"
"5758","40951","6"
"5758","28438","6"
"28438","5758","6"
"23877","50680","1"
"50680","23877","1"
"836","50680","1"
"50680","836","1"
"50680","17603","1"
"17603","50680","1"
"50680","5326","1"
"5326","50680","1"
"50680","40951","1"
"40951","50680","1"
"50680","28438","1"
"28438","50680","1"
"50680","5758","1"
"5758","50680","1"
"23877","51216","1"
"51216","23877","1"
"40951","51216","1"
"51216","40951","1"
"28438","51216","1"
"51216","28438","1"
"836","51216","1"
"51216","836","1"
"23604","51216","1"
"51216","23604","1"
"5758","51216","1"
"51216","5758","1"
"23877","11078","1"
"11078","23877","1"
"23877","48100","1"
"48100","23877","1"
"23877","29307","1"
"29307","23877","1"
"11078","48100","1"
"48100","11078","1"
"11078","836","1"
"836","11078","1"
"11078","29307","1"
"29307","11078","1"
"11078","23604","1"
"23604","11078","1"
"48100","836","1"
"836","48100","1"
"48100","29307","1"
"29307","48100","1"
"48100","23604","1"
"23604","48100","1"
"836","29307","1"
"29307","836","1"
"29307","23604","1"
"23604","29307","1"
"23877","25372","1"
"25372","23877","1"
"23877","7024","1"
"7024","23877","1"
"23877","26974","1"
"26974","23877","1"
"25372","7024","1"
"7024","25372","1"
"25372","26974","1"
"26974","25372","1"
"7024","26974","1"
"26974","7024","1"
