"2020.lrec-1.568","2020.lrec-1.594","5"
"2020.lrec-1.594","2020.lrec-1.568","5"
"amaral-etal-2014-comparative","W15-5603","1"
"W15-5603","amaral-etal-2014-comparative","1"
"C00-2130","J00-4003","5.64286"
"J00-4003","C00-2130","5.64286"
"C00-2130","W04-0706","0.47619"
"W04-0706","C00-2130","0.47619"
"C00-2130","W04-0707","0.47619"
"W04-0707","C00-2130","0.47619"
"J00-4003","W04-0706","0.47619"
"W04-0706","J00-4003","0.47619"
"J00-4003","W04-0707","2.22619"
"W04-0707","J00-4003","2.22619"
"W04-0706","W04-0707","0.47619"
"W04-0707","W04-0706","0.47619"
"C00-2130","J98-2001","0.666667"
"J98-2001","C00-2130","0.666667"
"C00-2130","salmon-alt-vieira-2002-nominal","0.47619"
"salmon-alt-vieira-2002-nominal","C00-2130","0.47619"
"J00-4003","J98-2001","2.5"
"J98-2001","J00-4003","2.5"
"J00-4003","salmon-alt-vieira-2002-nominal","3.97619"
"salmon-alt-vieira-2002-nominal","J00-4003","3.97619"
"J98-2001","salmon-alt-vieira-2002-nominal","0.333333"
"salmon-alt-vieira-2002-nominal","J98-2001","0.333333"
"C00-2130","W97-1301","0.333333"
"W97-1301","C00-2130","0.333333"
"J00-4003","W97-1301","0.583333"
"W97-1301","J00-4003","0.583333"
"J98-2001","W97-1301","0.333333"
"W97-1301","J98-2001","0.333333"
"C00-2130","poesio-etal-2002-acquiring","0.642857"
"poesio-etal-2002-acquiring","C00-2130","0.642857"
"J00-4003","poesio-etal-2002-acquiring","1.47619"
"poesio-etal-2002-acquiring","J00-4003","1.47619"
"C00-2130","P97-1072","0.142857"
"P97-1072","C00-2130","0.142857"
"C00-2130","W03-1902","0.142857"
"W03-1902","C00-2130","0.142857"
"J00-4003","P97-1072","0.142857"
"P97-1072","J00-4003","0.142857"
"J00-4003","W03-1902","0.97619"
"W03-1902","J00-4003","0.97619"
"P97-1072","poesio-etal-2002-acquiring","0.142857"
"poesio-etal-2002-acquiring","P97-1072","0.142857"
"P97-1072","salmon-alt-vieira-2002-nominal","0.142857"
"salmon-alt-vieira-2002-nominal","P97-1072","0.142857"
"P97-1072","W03-1902","0.142857"
"W03-1902","P97-1072","0.142857"
"P97-1072","W04-0706","0.142857"
"W04-0706","P97-1072","0.142857"
"P97-1072","W04-0707","0.142857"
"W04-0707","P97-1072","0.142857"
"poesio-etal-2002-acquiring","salmon-alt-vieira-2002-nominal","0.97619"
"salmon-alt-vieira-2002-nominal","poesio-etal-2002-acquiring","0.97619"
"poesio-etal-2002-acquiring","W03-1902","1.30952"
"W03-1902","poesio-etal-2002-acquiring","1.30952"
"poesio-etal-2002-acquiring","W04-0706","0.142857"
"W04-0706","poesio-etal-2002-acquiring","0.142857"
"poesio-etal-2002-acquiring","W04-0707","3.72619"
"W04-0707","poesio-etal-2002-acquiring","3.72619"
"salmon-alt-vieira-2002-nominal","W03-1902","0.97619"
"W03-1902","salmon-alt-vieira-2002-nominal","0.97619"
"salmon-alt-vieira-2002-nominal","W04-0706","1.14286"
"W04-0706","salmon-alt-vieira-2002-nominal","1.14286"
"salmon-alt-vieira-2002-nominal","W04-0707","0.72619"
"W04-0707","salmon-alt-vieira-2002-nominal","0.72619"
"W03-1902","W04-0706","1.14286"
"W04-0706","W03-1902","1.14286"
"W03-1902","W04-0707","0.72619"
"W04-0707","W03-1902","0.72619"
"hilgert-etal-2014-building","W13-4825","4"
"W13-4825","hilgert-etal-2014-building","4"
"J98-2001","W04-0707","0.5"
"W04-0707","J98-2001","0.5"
"J98-2001","poesio-etal-2002-acquiring","0.333333"
"poesio-etal-2002-acquiring","J98-2001","0.333333"
"J98-2001","W03-1902","0.333333"
"W03-1902","J98-2001","0.333333"
"poesio-etal-2002-acquiring","W97-1301","0.25"
"W97-1301","poesio-etal-2002-acquiring","0.25"
"salmon-alt-vieira-2002-nominal","W97-1301","0.25"
"W97-1301","salmon-alt-vieira-2002-nominal","0.25"
"W03-1902","W97-1301","0.25"
"W97-1301","W03-1902","0.25"
"J00-4003","L16-1023","1"
"L16-1023","J00-4003","1"
"L16-1023","L16-1324","3"
"L16-1324","L16-1023","3"
"L16-1023","W15-5603","0.5"
"W15-5603","L16-1023","0.5"
"L16-1324","W15-5603","0.5"
"W15-5603","L16-1324","0.5"
"L16-1023","W13-4818","0.5"
"W13-4818","L16-1023","0.5"
"L16-1324","W13-4818","0.5"
"W13-4818","L16-1324","0.5"
"W13-4807","W13-4821","0.5"
"W13-4821","W13-4807","0.5"
"W13-4807","W15-5603","0.5"
"W15-5603","W13-4807","0.5"
"W13-4821","W15-5603","0.5"
"W15-5603","W13-4821","0.5"
"W17-5225","W17-6606","1"
"W17-6606","W17-5225","1"
