"1999.mtsummit-1.81","germann-1998-making","5"
"germann-1998-making","1999.mtsummit-1.81","5"
"2009.mtsummit-plenaries.15","2014.amta-workshop.3","1.33333"
"2014.amta-workshop.3","2009.mtsummit-plenaries.15","1.33333"
"2009.mtsummit-plenaries.15","W09-1505","1"
"W09-1505","2009.mtsummit-plenaries.15","1"
"2009.mtsummit-plenaries.15","2020.wmt-1.17","0.333333"
"2020.wmt-1.17","2009.mtsummit-plenaries.15","0.333333"
"2009.mtsummit-plenaries.15","W12-3135","0.333333"
"W12-3135","2009.mtsummit-plenaries.15","0.333333"
"2014.amta-workshop.3","2020.wmt-1.17","0.333333"
"2020.wmt-1.17","2014.amta-workshop.3","0.333333"
"2014.amta-workshop.3","W12-3135","2.83333"
"W12-3135","2014.amta-workshop.3","2.83333"
"2020.wmt-1.17","W12-3135","0.333333"
"W12-3135","2020.wmt-1.17","0.333333"
"2014.amta-workshop.3","2020.iwslt-1.14","0.5"
"2020.iwslt-1.14","2014.amta-workshop.3","0.5"
"2020.iwslt-1.14","W12-3135","0.5"
"W12-3135","2020.iwslt-1.14","0.5"
"2014.amta-workshop.3","W13-2816","1"
"W13-2816","2014.amta-workshop.3","1"
"2014.amta-workshop.3","N03-1010","0.333333"
"N03-1010","2014.amta-workshop.3","0.333333"
"2014.amta-workshop.3","W13-2203","0.333333"
"W13-2203","2014.amta-workshop.3","0.333333"
"2014.amta-workshop.3","W14-0307","0.333333"
"W14-0307","2014.amta-workshop.3","0.333333"
"N03-1010","W13-2203","0.333333"
"W13-2203","N03-1010","0.333333"
"N03-1010","W14-0307","1.33333"
"W14-0307","N03-1010","1.33333"
"W13-2203","W14-0307","1.33333"
"W14-0307","W13-2203","1.33333"
"2014.amta-workshop.3","W09-1505","1"
"W09-1505","2014.amta-workshop.3","1"
"2020.iwslt-1.14","2020.wmt-1.18","2"
"2020.wmt-1.18","2020.iwslt-1.14","2"
"2020.iwslt-1.14","W18-6412","2"
"W18-6412","2020.iwslt-1.14","2"
"2020.iwslt-1.14","W19-5304","1.91667"
"W19-5304","2020.iwslt-1.14","1.91667"
"2020.iwslt-1.14","2020.wmt-1.17","0.916667"
"2020.wmt-1.17","2020.iwslt-1.14","0.916667"
"2020.iwslt-1.14","2021.iwslt-1.4","0.666667"
"2021.iwslt-1.4","2020.iwslt-1.14","0.666667"
"2020.wmt-1.17","2021.iwslt-1.4","1"
"2021.iwslt-1.4","2020.wmt-1.17","1"
"2020.wmt-1.17","W19-5304","2.25"
"W19-5304","2020.wmt-1.17","2.25"
"2021.iwslt-1.4","W19-5304","1"
"W19-5304","2021.iwslt-1.4","1"
"2020.iwslt-1.14","P18-4020","0.5"
"P18-4020","2020.iwslt-1.14","0.5"
"2020.iwslt-1.14","W17-4739","0.75"
"W17-4739","2020.iwslt-1.14","0.75"
"P18-4020","W17-4739","0.75"
"W17-4739","P18-4020","0.75"
"2020.iwslt-1.14","D17-1156","0.25"
"D17-1156","2020.iwslt-1.14","0.25"
"2020.wmt-1.17","D17-1156","0.25"
"D17-1156","2020.wmt-1.17","0.25"
"2020.wmt-1.17","W17-4739","0.25"
"W17-4739","2020.wmt-1.17","0.25"
"D17-1156","W17-4739","0.5"
"W17-4739","D17-1156","0.5"
"D17-1156","W19-5304","0.5"
"W19-5304","D17-1156","0.5"
"W17-4739","W19-5304","0.5"
"W19-5304","W17-4739","0.5"
"2020.lrec-1.413","2021.eacl-demos.26","7"
"2021.eacl-demos.26","2020.lrec-1.413","7"
"2020.wmt-1.17","W18-6412","1"
"W18-6412","2020.wmt-1.17","1"
"2020.wmt-1.17","2020.wmt-1.18","1.33333"
"2020.wmt-1.18","2020.wmt-1.17","1.33333"
"2020.wmt-1.18","2021.iwslt-1.4","0.333333"
"2021.iwslt-1.4","2020.wmt-1.18","0.333333"
"2020.wmt-1.18","W19-5304","0.333333"
"W19-5304","2020.wmt-1.18","0.333333"
"C14-2028","W14-0307","2"
"W14-0307","C14-2028","2"
"D17-1156","W18-6412","1.25"
"W18-6412","D17-1156","1.25"
"D17-1156","E17-3029","0.25"
"E17-3029","D17-1156","0.25"
"D17-1156","P18-4017","0.25"
"P18-4017","D17-1156","0.25"
"D17-1156","P18-4020","0.5"
"P18-4020","D17-1156","0.5"
"D17-1156","W18-2508","0.25"
"W18-2508","D17-1156","0.25"
"E17-3029","P18-4017","0.75"
"P18-4017","E17-3029","0.75"
"E17-3029","P18-4020","0.25"
"P18-4020","E17-3029","0.25"
"E17-3029","W18-2508","0.75"
"W18-2508","E17-3029","0.75"
"P18-4017","P18-4020","0.25"
"P18-4020","P18-4017","0.25"
"P18-4017","W18-2508","1.75"
"W18-2508","P18-4017","1.75"
"P18-4020","W18-2508","0.25"
"W18-2508","P18-4020","0.25"
"P18-4020","W18-6412","0.416667"
"W18-6412","P18-4020","0.416667"
"P18-4020","W19-5304","0.416667"
"W19-5304","P18-4020","0.416667"
"W17-4739","W18-6412","1.25"
"W18-6412","W17-4739","1.25"
"W18-6412","W19-5304","3.41667"
"W19-5304","W18-6412","3.41667"
"E14-2007","N03-1010","0.333333"
"N03-1010","E14-2007","0.333333"
"E14-2007","P01-1030","0.333333"
"P01-1030","E14-2007","0.333333"
"E14-2007","W01-1409","0.333333"
"W01-1409","E14-2007","0.333333"
"N03-1010","P01-1030","2.33333"
"P01-1030","N03-1010","2.33333"
"N03-1010","W01-1409","1.33333"
"W01-1409","N03-1010","1.33333"
"P01-1030","W01-1409","0.333333"
"W01-1409","P01-1030","0.333333"
"E14-2007","P18-4020","0.166667"
"P18-4020","E14-2007","0.166667"
"E14-2007","W09-1505","0.166667"
"W09-1505","E14-2007","0.166667"
"E14-2007","W12-3135","0.166667"
"W12-3135","E14-2007","0.166667"
"E14-2007","W13-2816","0.166667"
"W13-2816","E14-2007","0.166667"
"E14-2007","W18-6412","0.166667"
"W18-6412","E14-2007","0.166667"
"E14-2007","W19-5304","0.166667"
"W19-5304","E14-2007","0.166667"
"P18-4020","W09-1505","0.166667"
"W09-1505","P18-4020","0.166667"
"P18-4020","W12-3135","0.166667"
"W12-3135","P18-4020","0.166667"
"P18-4020","W13-2816","0.166667"
"W13-2816","P18-4020","0.166667"
"W09-1505","W12-3135","0.166667"
"W12-3135","W09-1505","0.166667"
"W09-1505","W13-2816","0.166667"
"W13-2816","W09-1505","0.166667"
