"2020.icon-main.4","2020.lrec-1.415","1"
"2020.lrec-1.415","2020.icon-main.4","1"
"2021.wanlp-1.19","sharaf-atwell-2012-qurana","1"
"sharaf-atwell-2012-qurana","2021.wanlp-1.19","1"
"brierley-atwell-2008-proposel-prosody","W08-1904","1"
"W08-1904","brierley-atwell-2008-proposel-prosody","1"
"brierley-atwell-2008-proposel-prosody","W00-1901","1"
"W00-1901","brierley-atwell-2008-proposel-prosody","1"
"brierley-atwell-2010-proposec","brierley-etal-2012-open","0.333333"
"brierley-etal-2012-open","brierley-atwell-2010-proposec","0.333333"
"brierley-atwell-2010-proposec","dukes-atwell-2012-lamp","0.333333"
"dukes-atwell-2012-lamp","brierley-atwell-2010-proposec","0.333333"
"brierley-atwell-2010-proposec","W08-1904","0.333333"
"W08-1904","brierley-atwell-2010-proposec","0.333333"
"brierley-etal-2012-open","dukes-atwell-2012-lamp","0.333333"
"dukes-atwell-2012-lamp","brierley-etal-2012-open","0.333333"
"brierley-etal-2012-open","W08-1904","0.333333"
"W08-1904","brierley-etal-2012-open","0.333333"
"dukes-atwell-2012-lamp","W08-1904","0.333333"
"W08-1904","dukes-atwell-2012-lamp","0.333333"
"brierley-etal-2012-open","brierley-etal-2014-tools","1.5"
"brierley-etal-2014-tools","brierley-etal-2012-open","1.5"
"brierley-etal-2012-open","sawalha-etal-2012-predicting","1.5"
"sawalha-etal-2012-predicting","brierley-etal-2012-open","1.5"
"brierley-etal-2014-tools","sawalha-etal-2012-predicting","1.5"
"sawalha-etal-2012-predicting","brierley-etal-2014-tools","1.5"
"dukes-atwell-2012-lamp","dukes-etal-2010-syntactic","0.333333"
"dukes-etal-2010-syntactic","dukes-atwell-2012-lamp","0.333333"
"dukes-atwell-2012-lamp","L18-1621","0.333333"
"L18-1621","dukes-atwell-2012-lamp","0.333333"
"dukes-atwell-2012-lamp","sawalha-etal-2012-predicting","0.333333"
"sawalha-etal-2012-predicting","dukes-atwell-2012-lamp","0.333333"
"dukes-etal-2010-syntactic","L18-1621","0.333333"
"L18-1621","dukes-etal-2010-syntactic","0.333333"
"dukes-etal-2010-syntactic","sawalha-etal-2012-predicting","0.333333"
"sawalha-etal-2012-predicting","dukes-etal-2010-syntactic","0.333333"
"L18-1621","sawalha-etal-2012-predicting","0.333333"
"sawalha-etal-2012-predicting","L18-1621","0.333333"
"dukes-atwell-2012-lamp","sharaf-atwell-2012-qurana","0.5"
"sharaf-atwell-2012-qurana","dukes-atwell-2012-lamp","0.5"
"dukes-atwell-2012-lamp","sharaf-atwell-2012-qursim","0.5"
"sharaf-atwell-2012-qursim","dukes-atwell-2012-lamp","0.5"
"sharaf-atwell-2012-qurana","sharaf-atwell-2012-qursim","0.5"
"sharaf-atwell-2012-qursim","sharaf-atwell-2012-qurana","0.5"
"E87-1010","L16-1285","1"
"L16-1285","E87-1010","1"
"L16-1285","shawar-atwell-2008-ai","1"
"shawar-atwell-2008-ai","L16-1285","1"
"sawalha-atwell-2010-constructing","sawalha-atwell-2010-fine","1"
"sawalha-atwell-2010-fine","sawalha-atwell-2010-constructing","1"
"W00-0705","W00-1901","1"
"W00-1901","W00-0705","1"
"W16-4826","W19-5607","4"
"W19-5607","W16-4826","4"
