"C88-1057","C90-2035","1"
"C90-2035","C88-1057","1"
"C98-2179","P98-2184","7.98333"
"P98-2184","C98-2179","7.98333"
"C98-2179","W00-0905","1.73333"
"W00-0905","C98-2179","1.73333"
"P98-2184","W00-0905","1.73333"
"W00-0905","P98-2184","1.73333"
"C98-2179","D12-1063","0.233333"
"D12-1063","C98-2179","0.233333"
"C98-2179","J02-3001","0.483333"
"J02-3001","C98-2179","0.483333"
"C98-2179","P00-1065","0.483333"
"P00-1065","C98-2179","0.483333"
"C98-2179","W11-0303","0.233333"
"W11-0303","C98-2179","0.233333"
"D12-1063","J02-3001","0.324242"
"J02-3001","D12-1063","0.324242"
"D12-1063","P00-1065","0.324242"
"P00-1065","D12-1063","0.324242"
"D12-1063","P98-2184","0.233333"
"P98-2184","D12-1063","0.233333"
"D12-1063","W00-0905","0.233333"
"W00-0905","D12-1063","0.233333"
"D12-1063","W11-0303","2.20877"
"W11-0303","D12-1063","2.20877"
"J02-3001","P00-1065","11.8242"
"P00-1065","J02-3001","11.8242"
"J02-3001","P98-2184","0.483333"
"P98-2184","J02-3001","0.483333"
"J02-3001","W00-0905","0.233333"
"W00-0905","J02-3001","0.233333"
"J02-3001","W11-0303","0.324242"
"W11-0303","J02-3001","0.324242"
"P00-1065","P98-2184","0.483333"
"P98-2184","P00-1065","0.483333"
"P00-1065","W00-0905","0.233333"
"W00-0905","P00-1065","0.233333"
"P00-1065","W11-0303","0.324242"
"W11-0303","P00-1065","0.324242"
"P98-2184","W11-0303","0.233333"
"W11-0303","P98-2184","0.233333"
"W00-0905","W11-0303","0.233333"
"W11-0303","W00-0905","0.233333"
"C98-2179","D08-1027","0.0666667"
"D08-1027","C98-2179","0.0666667"
"C98-2179","D11-1117","0.0666667"
"D11-1117","C98-2179","0.0666667"
"C98-2179","D11-1118","0.0666667"
"D11-1118","C98-2179","0.0666667"
"C98-2179","D13-1204","0.0666667"
"D13-1204","C98-2179","0.0666667"
"C98-2179","I05-3005","0.0666667"
"I05-3005","C98-2179","0.0666667"
"C98-2179","N10-1116","0.0666667"
"N10-1116","C98-2179","0.0666667"
"C98-2179","P10-1130","0.0666667"
"P10-1130","C98-2179","0.0666667"
"C98-2179","W10-2902","0.0666667"
"W10-2902","C98-2179","0.0666667"
"C98-2179","W12-1903","0.0666667"
"W12-1903","C98-2179","0.0666667"
"D08-1027","D11-1117","0.0666667"
"D11-1117","D08-1027","0.0666667"
"D08-1027","D11-1118","0.0666667"
"D11-1118","D08-1027","0.0666667"
"D08-1027","D12-1063","0.0666667"
"D12-1063","D08-1027","0.0666667"
"D08-1027","D13-1204","0.0666667"
"D13-1204","D08-1027","0.0666667"
"D08-1027","I05-3005","0.0666667"
"I05-3005","D08-1027","0.0666667"
"D08-1027","J02-3001","0.566667"
"J02-3001","D08-1027","0.566667"
"D08-1027","N10-1116","0.0666667"
"N10-1116","D08-1027","0.0666667"
"D08-1027","P00-1065","0.566667"
"P00-1065","D08-1027","0.566667"
"D08-1027","P10-1130","0.0666667"
"P10-1130","D08-1027","0.0666667"
"D08-1027","P98-2184","0.0666667"
"P98-2184","D08-1027","0.0666667"
"D08-1027","W00-0905","0.0666667"
"W00-0905","D08-1027","0.0666667"
"D08-1027","W10-2902","0.0666667"
"W10-2902","D08-1027","0.0666667"
"D08-1027","W11-0303","0.0666667"
"W11-0303","D08-1027","0.0666667"
"D08-1027","W12-1903","0.0666667"
"W12-1903","D08-1027","0.0666667"
"D11-1117","D11-1118","2.20877"
"D11-1118","D11-1117","2.20877"
"D11-1117","D12-1063","2.07543"
"D12-1063","D11-1117","2.07543"
"D11-1117","D13-1204","3.2921"
"D13-1204","D11-1117","3.2921"
"D11-1117","I05-3005","0.0666667"
"I05-3005","D11-1117","0.0666667"
"D11-1117","J02-3001","0.157576"
"J02-3001","D11-1117","0.157576"
"D11-1117","N10-1116","3.7921"
"N10-1116","D11-1117","3.7921"
"D11-1117","P00-1065","0.157576"
"P00-1065","D11-1117","0.157576"
"D11-1117","P10-1130","1.0421"
"P10-1130","D11-1117","1.0421"
"D11-1117","P98-2184","0.0666667"
"P98-2184","D11-1117","0.0666667"
"D11-1117","W00-0905","0.0666667"
"W00-0905","D11-1117","0.0666667"
"D11-1117","W10-2902","3.7921"
"W10-2902","D11-1117","3.7921"
"D11-1117","W11-0303","3.62543"
"W11-0303","D11-1117","3.62543"
"D11-1117","W12-1903","1.30758"
"W12-1903","D11-1117","1.30758"
"D11-1118","D12-1063","2.45877"
"D12-1063","D11-1118","2.45877"
"D11-1118","D13-1204","1.90877"
"D13-1204","D11-1118","1.90877"
"D11-1118","I05-3005","0.0666667"
"I05-3005","D11-1118","0.0666667"
"D11-1118","J02-3001","0.407576"
"J02-3001","D11-1118","0.407576"
"D11-1118","N10-1116","0.958766"
"N10-1116","D11-1118","0.958766"
"D11-1118","P00-1065","0.407576"
"P00-1065","D11-1118","0.407576"
"D11-1118","P10-1130","1.87543"
"P10-1130","D11-1118","1.87543"
"D11-1118","P98-2184","0.0666667"
"P98-2184","D11-1118","0.0666667"
"D11-1118","W00-0905","0.0666667"
"W00-0905","D11-1118","0.0666667"
"D11-1118","W10-2902","0.758766"
"W10-2902","D11-1118","0.758766"
"D11-1118","W11-0303","3.07543"
"W11-0303","D11-1118","3.07543"
"D11-1118","W12-1903","1.89091"
"W12-1903","D11-1118","1.89091"
"D12-1063","D13-1204","2.70877"
"D13-1204","D12-1063","2.70877"
"D12-1063","I05-3005","0.0666667"
"I05-3005","D12-1063","0.0666667"
"D12-1063","N10-1116","0.958766"
"N10-1116","D12-1063","0.958766"
"D12-1063","P10-1130","1.2921"
"P10-1130","D12-1063","1.2921"
"D12-1063","W10-2902","1.45877"
"W10-2902","D12-1063","1.45877"
"D12-1063","W12-1903","8.14091"
"W12-1903","D12-1063","8.14091"
"D13-1204","I05-3005","0.0666667"
"I05-3005","D13-1204","0.0666667"
"D13-1204","J02-3001","0.157576"
"J02-3001","D13-1204","0.157576"
"D13-1204","N10-1116","1.12543"
"N10-1116","D13-1204","1.12543"
"D13-1204","P00-1065","0.157576"
"P00-1065","D13-1204","0.157576"
"D13-1204","P10-1130","1.0421"
"P10-1130","D13-1204","1.0421"
"D13-1204","P98-2184","0.0666667"
"P98-2184","D13-1204","0.0666667"
"D13-1204","W00-0905","0.0666667"
"W00-0905","D13-1204","0.0666667"
"D13-1204","W10-2902","1.92543"
"W10-2902","D13-1204","1.92543"
"D13-1204","W11-0303","2.4921"
"W11-0303","D13-1204","2.4921"
"D13-1204","W12-1903","5.64091"
"W12-1903","D13-1204","5.64091"
"I05-3005","J02-3001","0.0666667"
"J02-3001","I05-3005","0.0666667"
"I05-3005","N10-1116","0.0666667"
"N10-1116","I05-3005","0.0666667"
"I05-3005","P00-1065","0.0666667"
"P00-1065","I05-3005","0.0666667"
"I05-3005","P10-1130","2.06667"
"P10-1130","I05-3005","2.06667"
"I05-3005","P98-2184","0.0666667"
"P98-2184","I05-3005","0.0666667"
"I05-3005","W00-0905","0.0666667"
"W00-0905","I05-3005","0.0666667"
"I05-3005","W10-2902","0.0666667"
"W10-2902","I05-3005","0.0666667"
"I05-3005","W11-0303","0.0666667"
"W11-0303","I05-3005","0.0666667"
"I05-3005","W12-1903","0.0666667"
"W12-1903","I05-3005","0.0666667"
"J02-3001","N10-1116","0.157576"
"N10-1116","J02-3001","0.157576"
"J02-3001","P10-1130","0.157576"
"P10-1130","J02-3001","0.157576"
"J02-3001","W10-2902","0.157576"
"W10-2902","J02-3001","0.157576"
"J02-3001","W12-1903","0.157576"
"W12-1903","J02-3001","0.157576"
"N10-1116","P00-1065","0.157576"
"P00-1065","N10-1116","0.157576"
"N10-1116","P10-1130","2.32543"
"P10-1130","N10-1116","2.32543"
"N10-1116","P98-2184","0.0666667"
"P98-2184","N10-1116","0.0666667"
"N10-1116","W00-0905","0.0666667"
"W00-0905","N10-1116","0.0666667"
"N10-1116","W10-2902","2.7921"
"W10-2902","N10-1116","2.7921"
"N10-1116","W11-0303","0.625433"
"W11-0303","N10-1116","0.625433"
"N10-1116","W12-1903","0.557576"
"W12-1903","N10-1116","0.557576"
"P00-1065","P10-1130","0.157576"
"P10-1130","P00-1065","0.157576"
"P00-1065","W10-2902","0.157576"
"W10-2902","P00-1065","0.157576"
"P00-1065","W12-1903","0.157576"
"W12-1903","P00-1065","0.157576"
"P10-1130","P98-2184","0.0666667"
"P98-2184","P10-1130","0.0666667"
"P10-1130","W00-0905","0.0666667"
"W00-0905","P10-1130","0.0666667"
"P10-1130","W10-2902","1.2921"
"W10-2902","P10-1130","1.2921"
"P10-1130","W11-0303","2.0421"
