"2020.repl4nlp-1.11","W19-5045","5"
"W19-5045","2020.repl4nlp-1.11","5"
"C10-2159","C14-1217","1"
"C14-1217","C10-2159","1"
"C10-2159","D12-1086","2"
"D12-1086","C10-2159","2"
"C14-1217","D12-1086","12.5"
"D12-1086","C14-1217","12.5"
"C10-2159","J10-1004","0.583333"
"J10-1004","C10-2159","0.583333"
"C10-2159","P09-2087","0.583333"
"P09-2087","C10-2159","0.583333"
"C10-2159","S13-2050","1.58333"
"S13-2050","C10-2159","1.58333"
"J10-1004","P09-2087","1.08333"
"P09-2087","J10-1004","1.08333"
"J10-1004","S13-2050","0.583333"
"S13-2050","J10-1004","0.583333"
"P09-2087","S13-2050","0.583333"
"S13-2050","P09-2087","0.583333"
"C10-2159","P08-2036","0.25"
"P08-2036","C10-2159","0.25"
"J10-1004","P08-2036","0.75"
"P08-2036","J10-1004","0.75"
"P08-2036","P09-2087","0.75"
"P09-2087","P08-2036","0.75"
"P08-2036","S13-2050","0.25"
"S13-2050","P08-2036","0.25"
"C10-2159","D07-1096","0.5"
"D07-1096","C10-2159","0.5"
"C10-2159","S10-1009","0.5"
"S10-1009","C10-2159","0.5"
"D07-1096","S10-1009","2"
"S10-1009","D07-1096","2"
"C14-1217","W14-1619","0.75"
"W14-1619","C14-1217","0.75"
"D12-1086","W14-1619","0.5"
"W14-1619","D12-1086","0.5"
"C14-1217","D07-1096","0.5"
"D07-1096","C14-1217","0.5"
"C14-1217","W06-2938","0.5"
"W06-2938","C14-1217","0.5"
"D07-1096","W06-2938","0.5"
"W06-2938","D07-1096","0.5"
"C14-1217","C16-1068","1.25"
"C16-1068","C14-1217","1.25"
"C16-1068","D12-1086","1"
"D12-1086","C16-1068","1"
"C14-1217","K17-3008","0.25"
"K17-3008","C14-1217","0.25"
"C14-1217","S13-2050","0.25"
"S13-2050","C14-1217","0.25"
"C16-1068","K17-3008","0.25"
"K17-3008","C16-1068","0.25"
"C16-1068","S13-2050","0.25"
"S13-2050","C16-1068","0.25"
"C16-1068","W14-1619","0.25"
"W14-1619","C16-1068","0.25"
"K17-3008","S13-2050","0.25"
"S13-2050","K17-3008","0.25"
"K17-3008","W14-1619","0.25"
"W14-1619","K17-3008","0.25"
"S13-2050","W14-1619","0.25"
"W14-1619","S13-2050","0.25"
"C16-1087","K17-3008","1"
"K17-3008","C16-1087","1"
"D07-1096","K18-2022","0.5"
"K18-2022","D07-1096","0.5"
"K18-2022","S10-1009","0.5"
"S10-1009","K18-2022","0.5"
"D12-1086","N06-1042","1"
"N06-1042","D12-1086","1"
"D16-1163","D16-1248","2"
"D16-1248","D16-1163","2"
"D16-1248","W11-2137","1.33333"
"W11-2137","D16-1248","1.33333"
"D16-1248","W10-1741","0.333333"
"W10-1741","D16-1248","0.333333"
"D16-1248","W11-2131","0.333333"
"W11-2131","D16-1248","0.333333"
"W10-1741","W11-2131","1.83333"
"W11-2131","W10-1741","1.83333"
"W10-1741","W11-2137","3.83333"
"W11-2137","W10-1741","3.83333"
"W11-2131","W11-2137","2.83333"
"W11-2137","W11-2131","2.83333"
"J10-1004","W11-2131","1"
"W11-2131","J10-1004","1"
"J10-1004","S07-1044","1"
"S07-1044","J10-1004","1"
"K17-3008","K18-2022","1.5"
"K18-2022","K17-3008","1.5"
"K17-3008","K18-2012","0.5"
"K18-2012","K17-3008","0.5"
"K18-2012","K18-2022","0.5"
"K18-2022","K18-2012","0.5"
"K18-2022","Q19-1036","1"
"Q19-1036","K18-2022","1"
"N06-1042","Q19-1036","1"
"Q19-1036","N06-1042","1"
"N16-1089","W19-1604","1"
"W19-1604","N16-1089","1"
"P08-2036","S07-1044","1"
"S07-1044","P08-2036","1"
"P09-2087","Q19-1036","0.5"
"Q19-1036","P09-2087","0.5"
"P09-2087","W06-2938","0.5"
"W06-2938","P09-2087","0.5"
"Q19-1036","W06-2938","0.5"
"W06-2938","Q19-1036","0.5"
