"2003.mtsummit-papers.23","C94-2153","1"
"C94-2153","2003.mtsummit-papers.23","1"
"2011.mtsummit-papers.14","D07-1019","0.166667"
"D07-1019","2011.mtsummit-papers.14","0.166667"
"2011.mtsummit-papers.14","P03-1016","0.166667"
"P03-1016","2011.mtsummit-papers.14","0.166667"
"2011.mtsummit-papers.14","P06-1129","0.166667"
"P06-1129","2011.mtsummit-papers.14","0.166667"
"2011.mtsummit-papers.14","P10-2002","1.37942"
"P10-2002","2011.mtsummit-papers.14","1.37942"
"2011.mtsummit-papers.14","P13-1017","0.301407"
"P13-1017","2011.mtsummit-papers.14","0.301407"
"2011.mtsummit-papers.14","W04-3248","0.208333"
"W04-3248","2011.mtsummit-papers.14","0.208333"
"D07-1019","P03-1016","0.166667"
"P03-1016","D07-1019","0.166667"
"D07-1019","P06-1129","4.16667"
"P06-1129","D07-1019","4.16667"
"D07-1019","P10-2002","0.166667"
"P10-2002","D07-1019","0.166667"
"D07-1019","P13-1017","0.166667"
"P13-1017","D07-1019","0.166667"
"D07-1019","W04-3248","0.166667"
"W04-3248","D07-1019","0.166667"
"P03-1016","P06-1129","0.566667"
"P06-1129","P03-1016","0.566667"
"P03-1016","P10-2002","0.166667"
"P10-2002","P03-1016","0.166667"
"P03-1016","P13-1017","0.212121"
"P13-1017","P03-1016","0.212121"
"P03-1016","W04-3248","0.212121"
"W04-3248","P03-1016","0.212121"
"P06-1129","P10-2002","0.166667"
"P10-2002","P06-1129","0.166667"
"P06-1129","P13-1017","0.166667"
"P13-1017","P06-1129","0.166667"
"P06-1129","W04-3248","0.309524"
"W04-3248","P06-1129","0.309524"
"P10-2002","P13-1017","0.255952"
"P13-1017","P10-2002","0.255952"
"P10-2002","W04-3248","0.208333"
"W04-3248","P10-2002","0.208333"
"P13-1017","W04-3248","0.587121"
"W04-3248","P13-1017","0.587121"
"2011.mtsummit-papers.14","2011.mtsummit-papers.19","0.127713"
"2011.mtsummit-papers.19","2011.mtsummit-papers.14","0.127713"
"2011.mtsummit-papers.14","2011.mtsummit-papers.6","2.34602"
"2011.mtsummit-papers.6","2011.mtsummit-papers.14","2.34602"
"2011.mtsummit-papers.14","2011.mtsummit-systems.2","0.0454545"
"2011.mtsummit-systems.2","2011.mtsummit-papers.14","0.0454545"
"2011.mtsummit-papers.14","C10-1035","0.233519"
"C10-1035","2011.mtsummit-papers.14","0.233519"
"2011.mtsummit-papers.14","C10-1036","0.283519"
"C10-1036","2011.mtsummit-papers.14","0.283519"
"2011.mtsummit-papers.14","C10-1054","0.140213"
"C10-1054","2011.mtsummit-papers.14","0.140213"
"2011.mtsummit-papers.14","C10-2025","0.290463"
"C10-2025","2011.mtsummit-papers.14","0.290463"
"2011.mtsummit-papers.14","C10-2084","0.233519"
"C10-2084","2011.mtsummit-papers.14","0.233519"
"2011.mtsummit-papers.14","C14-1108","0.206733"
"C14-1108","2011.mtsummit-papers.14","0.206733"
"2011.mtsummit-papers.14","C14-1210","0.240463"
"C14-1210","2011.mtsummit-papers.14","0.240463"
"2011.mtsummit-papers.14","C16-1290","0.0662879"
"C16-1290","2011.mtsummit-papers.14","0.0662879"
"2011.mtsummit-papers.14","D09-1038","0.0954545"
"D09-1038","2011.mtsummit-papers.14","0.0954545"
"2011.mtsummit-papers.14","D13-1107","0.148546"
"D13-1107","2011.mtsummit-papers.14","0.148546"
"2011.mtsummit-papers.14","J15-2004","0.0454545"
"J15-2004","2011.mtsummit-papers.14","0.0454545"
"2011.mtsummit-papers.14","K18-1019","0.107955"
"K18-1019","2011.mtsummit-papers.14","0.107955"
"2011.mtsummit-papers.14","P10-1033","0.175332"
"P10-1033","2011.mtsummit-papers.14","0.175332"
"2011.mtsummit-papers.14","P12-2008","0.0777126"
"P12-2008","2011.mtsummit-papers.14","0.0777126"
"2011.mtsummit-papers.14","P12-2057","0.140213"
"P12-2057","2011.mtsummit-papers.14","0.140213"
"2011.mtsummit-papers.14","P14-1013","0.148546"
"P14-1013","2011.mtsummit-papers.14","0.148546"
"2011.mtsummit-papers.14","P16-1212","0.140213"
"P16-1212","2011.mtsummit-papers.14","0.140213"
"2011.mtsummit-papers.14","W08-0301","0.107955"
"W08-0301","2011.mtsummit-papers.14","0.107955"
"2011.mtsummit-papers.19","2011.mtsummit-papers.6","0.244596"
"2011.mtsummit-papers.6","2011.mtsummit-papers.19","0.244596"
"2011.mtsummit-papers.19","2011.mtsummit-systems.2","0.0454545"
"2011.mtsummit-systems.2","2011.mtsummit-papers.19","0.0454545"
"2011.mtsummit-papers.19","C10-1035","0.0777126"
"C10-1035","2011.mtsummit-papers.19","0.0777126"
"2011.mtsummit-papers.19","C10-1036","0.127713"
"C10-1036","2011.mtsummit-papers.19","0.127713"
"2011.mtsummit-papers.19","C10-1054","0.123167"
"C10-1054","2011.mtsummit-papers.19","0.123167"
"2011.mtsummit-papers.19","C10-2025","0.127713"
"C10-2025","2011.mtsummit-papers.19","0.127713"
"2011.mtsummit-papers.19","C10-2084","1.12317"
"C10-2084","2011.mtsummit-papers.19","1.12317"
"2011.mtsummit-papers.19","C14-1108","0.0777126"
"C14-1108","2011.mtsummit-papers.19","0.0777126"
"2011.mtsummit-papers.19","C14-1210","0.0777126"
"C14-1210","2011.mtsummit-papers.19","0.0777126"
"2011.mtsummit-papers.19","C16-1290","0.162338"
"C16-1290","2011.mtsummit-papers.19","0.162338"
"2011.mtsummit-papers.19","D09-1038","0.0954545"
"D09-1038","2011.mtsummit-papers.19","0.0954545"
"2011.mtsummit-papers.19","D13-1107","0.532475"
"D13-1107","2011.mtsummit-papers.19","0.532475"
"2011.mtsummit-papers.19","J15-2004","0.545455"
"J15-2004","2011.mtsummit-papers.19","0.545455"
"2011.mtsummit-papers.19","K18-1019","0.0454545"
"K18-1019","2011.mtsummit-papers.19","0.0454545"
"2011.mtsummit-papers.19","P10-1033","1.67317"
"P10-1033","2011.mtsummit-papers.19","1.67317"
"2011.mtsummit-papers.19","P12-2008","0.0777126"
"P12-2008","2011.mtsummit-papers.19","0.0777126"
"2011.mtsummit-papers.19","P12-2057","0.623167"
"P12-2057","2011.mtsummit-papers.19","0.623167"
"2011.mtsummit-papers.19","P13-1017","0.0909091"
"P13-1017","2011.mtsummit-papers.19","0.0909091"
"2011.mtsummit-papers.19","P14-1013","0.127713"
"P14-1013","2011.mtsummit-papers.19","0.127713"
"2011.mtsummit-papers.19","P16-1212","0.0777126"
"P16-1212","2011.mtsummit-papers.19","0.0777126"
"2011.mtsummit-papers.19","W08-0301","0.0454545"
"W08-0301","2011.mtsummit-papers.19","0.0454545"
"2011.mtsummit-papers.6","2011.mtsummit-systems.2","0.0454545"
"2011.mtsummit-systems.2","2011.mtsummit-papers.6","0.0454545"
"2011.mtsummit-papers.6","C10-1035","0.626376"
"C10-1035","2011.mtsummit-papers.6","0.626376"
"2011.mtsummit-papers.6","C10-1036","0.676376"
"C10-1036","2011.mtsummit-papers.6","0.676376"
"2011.mtsummit-papers.6","C10-1054","0.185667"
"C10-1054","2011.mtsummit-papers.6","0.185667"
"2011.mtsummit-papers.6","C10-2025","0.68332"
"C10-2025","2011.mtsummit-papers.6","0.68332"
"2011.mtsummit-papers.6","C10-2084","0.278973"
"C10-2084","2011.mtsummit-papers.6","0.278973"
"2011.mtsummit-papers.6","C14-1108","0.206733"
"C14-1108","2011.mtsummit-papers.6","0.206733"
"2011.mtsummit-papers.6","C14-1210","0.240463"
"C14-1210","2011.mtsummit-papers.6","0.240463"
"2011.mtsummit-papers.6","C16-1290","0.183171"
"C16-1290","2011.mtsummit-papers.6","0.183171"
"2011.mtsummit-papers.6","D09-1038","0.0954545"
"D09-1038","2011.mtsummit-papers.6","0.0954545"
"2011.mtsummit-papers.6","D13-1107","0.219975"
"D13-1107","2011.mtsummit-papers.6","0.219975"
"2011.mtsummit-papers.6","J15-2004","0.0454545"
"J15-2004","2011.mtsummit-papers.6","0.0454545"
"2011.mtsummit-papers.6","K18-1019","0.107955"
"K18-1019","2011.mtsummit-papers.6","0.107955"
"2011.mtsummit-papers.6","P10-1033","0.220786"
"P10-1033","2011.mtsummit-papers.6","0.220786"
"2011.mtsummit-papers.6","P12-2008","0.0777126"
"P12-2008","2011.mtsummit-papers.6","0.0777126"
"2011.mtsummit-papers.6","P12-2057","0.185667"
"P12-2057","2011.mtsummit-papers.6","0.185667"
"2011.mtsummit-papers.6","P13-1017","0.180195"
"P13-1017","2011.mtsummit-papers.6","0.180195"
"2011.mtsummit-papers.6","P14-1013","0.148546"
"P14-1013","2011.mtsummit-papers.6","0.148546"
"2011.mtsummit-papers.6","P16-1212","0.140213"
"P16-1212","2011.mtsummit-papers.6","0.140213"
"2011.mtsummit-papers.6","W08-0301","0.107955"
"W08-0301","2011.mtsummit-papers.6","0.107955"
"2011.mtsummit-systems.2","C10-1035","0.0454545"
"C10-1035","2011.mtsummit-systems.2","0.0454545"
"2011.mtsummit-systems.2","C10-1036","0.0454545"
"C10-1036","2011.mtsummit-systems.2","0.0454545"
"2011.mtsummit-systems.2","C10-1054","0.0454545"
"C10-1054","2011.mtsummit-systems.2","0.0454545"
"2011.mtsummit-systems.2","C10-2025","0.0454545"
"C10-2025","2011.mtsummit-systems.2","0.0454545"
"2011.mtsummit-systems.2","C10-2084","0.628788"
"C10-2084","2011.mtsummit-systems.2","0.628788"
"2011.mtsummit-systems.2","C14-1108","0.0454545"
"C14-1108","2011.mtsummit-systems.2","0.0454545"
"2011.mtsummit-systems.2","C14-1210","0.0454545"
"C14-1210","2011.mtsummit-systems.2","0.0454545"
"2011.mtsummit-systems.2","C16-1290","0.0454545"
"C16-1290","2011.mtsummit-systems.2","0.0454545"
"2011.mtsummit-systems.2","D09-1038","0.0454545"
"D09-1038","2011.mtsummit-systems.2","0.0454545"
"2011.mtsummit-systems.2","D13-1107","0.0454545"
"D13-1107","2011.mtsummit-systems.2","0.0454545"
"2011.mtsummit-systems.2","J15-2004","0.0454545"
"J15-2004","2011.mtsummit-systems.2","0.0454545"
"2011.mtsummit-systems.2","K18-1019","0.0454545"
"K18-1019","2011.mtsummit-systems.2","0.0454545"
"2011.mtsummit-systems.2","P10-1033","0.628788"
"P10-1033","2011.mtsummit-systems.2","0.628788"
"2011.mtsummit-systems.2","P12-2008","0.0454545"
"P12-2008","2011.mtsummit-systems.2","0.0454545"
"2011.mtsummit-systems.2","P12-2057","0.0454545"
"P12-2057","2011.mtsummit-systems.2","0.0454545"
"2011.mtsummit-systems.2","P13-1017","0.0454545"
"P13-1017","2011.mtsummit-systems.2","0.0454545"
"2011.mtsummit-systems.2","P14-1013","0.0454545"
"P14-1013","2011.mtsummit-systems.2","0.0454545"
"2011.mtsummit-systems.2","P16-1212","0.0454545"
"P16-1212","2011.mtsummit-systems.2","0.0454545"
"2011.mtsummit-systems.2","W08-0301","0.0454545"
"W08-0301","2011.mtsummit-systems.2","0.0454545"
"C10-1035","C10-1036","2.12638"
"C10-1036","C10-1035","2.12638"
"C10-1035","C10-1054","0.0777126"
"C10-1054","C10-1035","0.0777126"
"C10-1035","C10-2025","1.40415"
"C10-2025","C10-1035","1.40415"
"C10-1035","C10-2084","0.233519"
"C10-2084","C10-1035","0.233519"
"C10-1035","C14-1108","0.269233"
"C14-1108","C10-1035","0.269233"
"C10-1035","C14-1210","0.461297"
"C14-1210","C10-1035","0.461297"
"C10-1035","C16-1290","0.0454545"
"C16-1290","C10-1035","0.0454545"
"C10-1035","D09-1038","0.212121"
"D09-1038","C10-1035","0.212121"
"C10-1035","D13-1107","0.911046"
"D13-1107","C10-1035","0.911046"
"C10-1035","J15-2004","0.0454545"
"J15-2004","C10-1035","0.0454545"
"C10-1035","K18-1019","0.0454545"
"K18-1019","C10-1035","0.0454545"
"C10-1035","P10-1033","0.208665"
"P10-1033","C10-1035","0.208665"
"C10-1035","P12-2008","0.0777126"
"P12-2008","C10-1035","0.0777126"
"C10-1035","P12-2057","1.07771"
"P12-2057","C10-1035","1.07771"
"C10-1035","P13-1017","0.0930736"
"P13-1017","C10-1035","0.0930736"
"C10-1035","P14-1013","0.411046"
"P14-1013","C10-1035","0.411046"
"C10-1035","P16-1212","0.0777126"
"P16-1212","C10-1035","0.0777126"
"C10-1035","W08-0301","0.128788"
"W08-0301","C10-1035","0.128788"
"C10-1036","C10-1054","0.0777126"
"C10-1054","C10-1036","0.0777126"
"C10-1036","C10-2025","1.12082"
"C10-2025","C10-1036","1.12082"
"C10-1036","C10-2084","0.233519"
"C10-2084","C10-1036","0.233519"
"C10-1036","C14-1108","0.1859"
"C14-1108","C10-1036","0.1859"
"C10-1036","C14-1210","0.677963"
"C14-1210","C10-1036","0.677963"
"C10-1036","C16-1290","0.0454545"
"C16-1290","C10-1036","0.0454545"
"C10-1036","D09-1038","0.0954545"
"D09-1038","C10-1036","0.0954545"
"C10-1036","D13-1107","0.127713"
"D13-1107","C10-1036","0.127713"
"C10-1036","J15-2004","0.0454545"
"J15-2004","C10-1036","0.0454545"
"C10-1036","K18-1019","0.0454545"
"K18-1019","C10-1036","0.0454545"
"C10-1036","P10-1033","0.675332"
"P10-1033","C10-1036","0.675332"
"C10-1036","P12-2008","0.244379"
"P12-2008","C10-1036","0.244379"
"C10-1036","P12-2057","0.0777126"
