"2020.coling-main.411","C18-1123","1"
"C18-1123","2020.coling-main.411","1"
"2021.findings-emnlp.85","J19-2004","3.66667"
"J19-2004","2021.findings-emnlp.85","3.66667"
"2021.findings-emnlp.85","P14-2060","2.16667"
"P14-2060","2021.findings-emnlp.85","2.16667"
"J19-2004","P14-2060","8.16667"
"P14-2060","J19-2004","8.16667"
"2021.findings-emnlp.85","Q16-1036","0.833333"
"Q16-1036","2021.findings-emnlp.85","0.833333"
"J19-2004","Q16-1036","1.33333"
"Q16-1036","J19-2004","1.33333"
"2021.findings-emnlp.85","J14-4002","0.333333"
"J14-4002","2021.findings-emnlp.85","0.333333"
"J14-4002","J19-2004","0.833333"
"J19-2004","J14-4002","0.833333"
"J14-4002","P14-2060","0.333333"
"P14-2060","J14-4002","0.333333"
"P14-2060","Q16-1036","0.333333"
"Q16-1036","P14-2060","0.333333"
"H94-1050","J96-3004","0.7"
"J96-3004","H94-1050","0.7"
"H94-1050","P12-3011","0.2"
"P12-3011","H94-1050","0.2"
"H94-1050","P94-1010","0.7"
"P94-1010","H94-1050","0.7"
"H94-1050","P96-1029","0.2"
"P96-1029","H94-1050","0.2"
"H94-1050","P96-1031","0.2"
"P96-1031","H94-1050","0.2"
"J96-3004","P12-3011","0.2"
"P12-3011","J96-3004","0.2"
"J96-3004","P94-1010","8.03333"
"P94-1010","J96-3004","8.03333"
"J96-3004","P96-1029","1.53333"
"P96-1029","J96-3004","1.53333"
"J96-3004","P96-1031","0.533333"
"P96-1031","J96-3004","0.533333"
"P12-3011","P94-1010","0.2"
"P94-1010","P12-3011","0.2"
"P12-3011","P96-1029","1.2"
"P96-1029","P12-3011","1.2"
"P12-3011","P96-1031","0.2"
"P96-1031","P12-3011","0.2"
"P94-1010","P96-1029","0.533333"
"P96-1029","P94-1010","0.533333"
"P94-1010","P96-1031","0.533333"
"P96-1031","P94-1010","0.533333"
"P96-1029","P96-1031","0.533333"
"P96-1031","P96-1029","0.533333"
"J14-4002","P11-2001","1"
"P11-2001","J14-4002","1"
"J14-4002","W11-2303","1"
"W11-2303","J14-4002","1"
"J14-4002","Q16-1036","0.5"
"Q16-1036","J14-4002","0.5"
"P06-1010","W06-1630","6.5"
"W06-1630","P06-1010","6.5"
"P06-1010","P07-1015","2"
"P07-1015","P06-1010","2"
"P07-1015","W06-1630","2.5"
"W06-1630","P07-1015","2.5"
"P06-1010","qian-etal-2010-python","0.5"
"qian-etal-2010-python","P06-1010","0.5"
"P07-1015","qian-etal-2010-python","0.5"
"qian-etal-2010-python","P07-1015","0.5"
"P14-2060","W11-0147","1"
"W11-0147","P14-2060","1"
"P15-2035","W14-3206","0.5"
"W14-3206","P15-2035","0.5"
"P15-2035","W15-1214","1.5"
"W15-1214","P15-2035","1.5"
"W14-3206","W15-1214","0.5"
"W15-1214","W14-3206","0.5"
"Q16-1036","W12-2903","1"
"W12-2903","Q16-1036","1"
"qian-etal-2010-python","W09-3505","1"
"W09-3505","qian-etal-2010-python","1"
"qian-etal-2010-python","W06-1630","1"
"W06-1630","qian-etal-2010-python","1"
"W11-2303","W12-2903","2"
"W12-2903","W11-2303","2"
