"2021.nlp4convai-1.17","D17-1292","1"
"D17-1292","2021.nlp4convai-1.17","1"
"D14-1167","D15-1031","3.33333"
"D15-1031","D14-1167","3.33333"
"D14-1167","P13-2141","1.33333"
"P13-2141","D14-1167","1.33333"
"D14-1167","W11-1215","0.333333"
"W11-1215","D14-1167","0.333333"
"D15-1031","P13-2141","0.333333"
"P13-2141","D15-1031","0.333333"
"D15-1031","W11-1215","0.333333"
"W11-1215","D15-1031","0.333333"
"P13-2141","W11-1215","0.333333"
"W11-1215","P13-2141","0.333333"
"D15-1031","K16-1026","1"
"K16-1026","D15-1031","1"
"N09-2053","W09-2209","0.5"
"W09-2209","N09-2053","0.5"
"N09-2053","W09-4303","0.75"
"W09-4303","N09-2053","0.75"
"W09-2209","W09-4303","1"
"W09-4303","W09-2209","1"
"N09-2053","N09-5001","0.25"
"N09-5001","N09-2053","0.25"
"N09-2053","R09-1032","0.25"
"R09-1032","N09-2053","0.25"
"N09-2053","W11-1215","0.25"
"W11-1215","N09-2053","0.25"
"N09-5001","R09-1032","3.25"
"R09-1032","N09-5001","3.25"
"N09-5001","W09-4303","0.25"
"W09-4303","N09-5001","0.25"
"N09-5001","W11-1215","0.25"
"W11-1215","N09-5001","0.25"
"R09-1032","W09-4303","1.25"
"W09-4303","R09-1032","1.25"
"R09-1032","W11-1215","1.25"
"W11-1215","R09-1032","1.25"
"W09-4303","W11-1215","0.25"
"W11-1215","W09-4303","0.25"
"P13-2141","R09-1032","1"
"R09-1032","P13-2141","1"
"R09-1032","W09-2209","0.5"
"W09-2209","R09-1032","0.5"
"R09-1032","W09-3208","0.5"
"W09-3208","R09-1032","0.5"
"W09-3208","W09-4303","2"
"W09-4303","W09-3208","2"
"W09-3208","W10-2301","1.5"
"W10-2301","W09-3208","1.5"
"W09-4303","W10-2301","2.5"
"W10-2301","W09-4303","2.5"
