"2014.iwslt-evaluation.11","D15-1125","3"
"W17-5532","W10-2603","0.833333"
"N10-1132","W14-4407","0.5"
"W14-4407","N10-1132","0.5"
"P14-1115","W14-4407","3.45"
"W14-4407","P14-1115","3.45"
"N13-1018","W12-2602","1"
"W12-2602","N13-1018","1"
"N13-1018","P08-1041","0.25"
"P08-1041","N13-1018","0.25"
"N13-1018","W14-4407","0.25"
"W14-4407","N13-1018","0.25"
"P08-1041","P14-1115","0.25"
"P14-1115","P08-1041","0.25"
"P08-1041","W13-2117","0.25"
"W13-2117","P08-1041","0.25"
"P08-1041","W14-4407","0.25"
"W14-4407","P08-1041","0.25"
"W13-2117","W14-4407","1.95"
"W14-4407","W13-2117","1.95"
"P08-1041","W13-4017","1"
"W13-4017","P08-1041","1"
"P14-1115","W13-4017","0.2"
"W13-4017","P14-1115","0.2"
"P14-1115","W17-5532","0.2"
"W17-5532","P14-1115","0.2"
"W12-2602","W13-4017","1.2"
"W13-4017","W12-2602","1.2"
"W12-2602","W14-4407","0.2"
"W14-4407","W12-2602","0.2"
"W12-2602","W17-5532","0.2"
"W17-5532","W12-2602","0.2"
"W13-2117","W13-4017","0.2"
"W13-4017","W13-2117","0.2"
"W13-2117","W17-5532","0.2"
"W17-5532","W13-2117","0.2"
"W13-4017","W14-4407","0.2"
"W14-4407","W13-4017","0.2"
"W13-4017","W17-5532","0.2"
"W17-5532","W13-4017","0.2"
"W14-4407","W17-5532","0.2"
"W17-5532","W14-4407","0.2"
"W10-2603","W10-4211","1.5"
"W10-4211","W10-2603","1.5"
"W10-4211","W17-5532","0.5"
"W17-5532","W10-4211","0.5"
