"1996.amta-1.17","W94-0333","1"
"W94-0333","1996.amta-1.17","1"
"C04-1195","seco-etal-2004-concept","1"
"seco-etal-2004-concept","C04-1195","1"
"C08-1011","W09-2416","1.25"
"W09-2416","C08-1011","1.25"
"C08-1011","S10-1007","1.25"
"S10-1007","C08-1011","1.25"
"C08-1011","S10-1051","0.25"
"S10-1051","C08-1011","0.25"
"C08-1011","S13-2025","0.25"
"S13-2025","C08-1011","0.25"
"S10-1007","S10-1051","0.583333"
"S10-1051","S10-1007","0.583333"
"S10-1007","S13-2025","3.58333"
"S13-2025","S10-1007","3.58333"
"S10-1007","W09-2416","7.58333"
"W09-2416","S10-1007","7.58333"
"S10-1051","S13-2025","1.58333"
"S13-2025","S10-1051","1.58333"
"S10-1051","W09-2416","0.583333"
"W09-2416","S10-1051","0.583333"
"S13-2025","W09-2416","2.58333"
"W09-2416","S13-2025","2.58333"
"C08-1011","E09-1095","0.5"
"E09-1095","C08-1011","0.5"
"C08-1011","P08-1060","0.5"
"P08-1060","C08-1011","0.5"
"E09-1095","P08-1060","1.4"
"P08-1060","E09-1095","1.4"
"C08-1119","P08-1060","0.25"
"P08-1060","C08-1119","0.25"
"C08-1119","P11-1029","0.583333"
"P11-1029","C08-1119","0.583333"
"C08-1119","P13-1065","0.25"
"P13-1065","C08-1119","0.25"
"C08-1119","veale-hao-2008-acquiring","0.25"
"veale-hao-2008-acquiring","C08-1119","0.25"
"P08-1060","P11-1029","0.65"
"P11-1029","P08-1060","0.65"
"P08-1060","P13-1065","0.25"
"P13-1065","P08-1060","0.25"
"P08-1060","veale-hao-2008-acquiring","1.45"
"veale-hao-2008-acquiring","P08-1060","1.45"
"P11-1029","P13-1065","0.583333"
"P13-1065","P11-1029","0.583333"
"P11-1029","veale-hao-2008-acquiring","0.45"
"veale-hao-2008-acquiring","P11-1029","0.45"
"P13-1065","veale-hao-2008-acquiring","0.25"
"veale-hao-2008-acquiring","P13-1065","0.25"
"C08-1119","W14-2307","0.333333"
"W14-2307","C08-1119","0.333333"
"C08-1119","W16-1105","0.333333"
"W16-1105","C08-1119","0.333333"
"P11-1029","W14-2307","2.23333"
"W14-2307","P11-1029","2.23333"
"P11-1029","W16-1105","0.333333"
"W16-1105","P11-1029","0.333333"
"W14-2307","W16-1105","0.583333"
"W16-1105","W14-2307","0.583333"
"C08-1119","E09-1095","1"
"E09-1095","C08-1119","1"
"D17-1050","W16-0425","4"
"W16-0425","D17-1050","4"
"D17-1050","S18-1093","3"
"S18-1093","D17-1050","3"
"S18-1093","W16-0425","2"
"W16-0425","S18-1093","2"
"E09-1095","P07-1008","0.333333"
"P07-1008","E09-1095","0.333333"
"E09-1095","P11-1029","0.733333"
"P11-1029","E09-1095","0.733333"
"E09-1095","P13-1065","1.33333"
"P13-1065","E09-1095","1.33333"
"P07-1008","P11-1029","0.333333"
"P11-1029","P07-1008","0.333333"
"P07-1008","P13-1065","0.333333"
"P13-1065","P07-1008","0.333333"
"E09-1095","veale-hao-2008-acquiring","0.7"
"veale-hao-2008-acquiring","E09-1095","0.7"
"E09-1095","W14-2307","0.4"
"W14-2307","E09-1095","0.4"
"E09-1095","W15-1410","0.2"
"W15-1410","E09-1095","0.2"
"P08-1060","W14-2307","0.4"
"W14-2307","P08-1060","0.4"
"P08-1060","W15-1410","0.2"
"W15-1410","P08-1060","0.2"
"P11-1029","W15-1410","0.2"
"W15-1410","P11-1029","0.2"
"veale-hao-2008-acquiring","W14-2307","0.2"
"W14-2307","veale-hao-2008-acquiring","0.2"
"veale-hao-2008-acquiring","W15-1410","0.2"
"W15-1410","veale-hao-2008-acquiring","0.2"
"W14-2307","W15-1410","1.45"
"W15-1410","W14-2307","1.45"
"E09-1095","P11-4003","0.2"
"P11-4003","E09-1095","0.2"
"E09-1095","P12-2015","0.2"
"P12-2015","E09-1095","0.2"
"P08-1060","P11-4003","0.2"
"P11-4003","P08-1060","0.2"
"P08-1060","P12-2015","0.2"
"P12-2015","P08-1060","0.2"
"P11-1029","P11-4003","0.2"
"P11-4003","P11-1029","0.2"
"P11-1029","P12-2015","0.2"
"P12-2015","P11-1029","0.2"
"P11-4003","P12-2015","0.2"
"P12-2015","P11-4003","0.2"
"P11-4003","W14-2307","0.2"
"W14-2307","P11-4003","0.2"
"P12-2015","W14-2307","0.533333"
"W14-2307","P12-2015","0.533333"
"P08-1060","W03-1404","1.5"
"W03-1404","P08-1060","1.5"
"veale-hao-2008-acquiring","W03-1404","0.5"
"W03-1404","veale-hao-2008-acquiring","0.5"
"P11-1029","P12-3002","0.5"
"P12-3002","P11-1029","0.5"
"P12-3002","W14-2307","1.08333"
"W14-2307","P12-3002","1.08333"
"P12-2015","P12-3002","0.333333"
"P12-3002","P12-2015","0.333333"
"P12-2015","P13-1065","0.333333"
"P13-1065","P12-2015","0.333333"
"P12-3002","P13-1065","0.333333"
"P13-1065","P12-3002","0.333333"
"P13-1065","W14-2307","0.333333"
"W14-2307","P13-1065","0.333333"
"P12-3002","S15-2080","0.25"
"S15-2080","P12-3002","0.25"
"P12-3002","W15-1410","0.25"
"W15-1410","P12-3002","0.25"
"P12-3002","W16-1105","0.25"
"W16-1105","P12-3002","0.25"
"S15-2080","W14-2307","0.25"
"W14-2307","S15-2080","0.25"
"S15-2080","W15-1410","0.25"
"W15-1410","S15-2080","0.25"
"S15-2080","W16-1105","0.25"
"W16-1105","S15-2080","0.25"
"W15-1410","W16-1105","0.25"
"W16-1105","W15-1410","0.25"
