"2002.tmi-tmiw.8","W02-1302","7"
"W02-1302","2002.tmi-tmiw.8","7"
"2008.eamt-1.6","2008.tc-1.2","5.7"
"2008.tc-1.2","2008.eamt-1.6","5.7"
"2008.eamt-1.6","2010.eamt-1.33","2.85"
"2010.eamt-1.33","2008.eamt-1.6","2.85"
"2008.eamt-1.6","chen-eisele-2010-integrating","2.95"
"chen-eisele-2010-integrating","2008.eamt-1.6","2.95"
"2008.eamt-1.6","W05-0828","1.7"
"W05-0828","2008.eamt-1.6","1.7"
"2008.eamt-1.6","W07-0726","2.31667"
"W07-0726","2008.eamt-1.6","2.31667"
"2008.tc-1.2","2010.eamt-1.33","3.06111"
"2010.eamt-1.33","2008.tc-1.2","3.06111"
"2008.tc-1.2","chen-eisele-2010-integrating","3.16111"
"chen-eisele-2010-integrating","2008.tc-1.2","3.16111"
"2008.tc-1.2","W05-0828","1.7"
"W05-0828","2008.tc-1.2","1.7"
"2008.tc-1.2","W07-0726","2.52778"
"W07-0726","2008.tc-1.2","2.52778"
"2010.eamt-1.33","chen-eisele-2010-integrating","9.93611"
"chen-eisele-2010-integrating","2010.eamt-1.33","9.93611"
"2010.eamt-1.33","W05-0828","1.45"
"W05-0828","2010.eamt-1.33","1.45"
"2010.eamt-1.33","W07-0726","2.40278"
"W07-0726","2010.eamt-1.33","2.40278"
"chen-eisele-2010-integrating","W05-0828","2.06111"
"W05-0828","chen-eisele-2010-integrating","2.06111"
"chen-eisele-2010-integrating","W07-0726","2.90278"
"W07-0726","chen-eisele-2010-integrating","2.90278"
"W05-0828","W07-0726","2.2"
"W07-0726","W05-0828","2.2"
"2008.eamt-1.6","W09-0405","0.55"
"W09-0405","2008.eamt-1.6","0.55"
"2008.tc-1.2","W09-0405","0.761111"
"W09-0405","2008.tc-1.2","0.761111"
"2010.eamt-1.33","W09-0405","0.786111"
"W09-0405","2010.eamt-1.33","0.786111"
"chen-eisele-2010-integrating","W09-0405","0.997222"
"W09-0405","chen-eisele-2010-integrating","0.997222"
"W07-0726","W09-0405","0.536111"
"W09-0405","W07-0726","0.536111"
"2008.eamt-1.6","W08-0328","0.966667"
"W08-0328","2008.eamt-1.6","0.966667"
"2008.eamt-1.6","W09-0411","0.366667"
"W09-0411","2008.eamt-1.6","0.366667"
"2008.tc-1.2","W08-0328","1.07778"
"W08-0328","2008.tc-1.2","1.07778"
"2008.tc-1.2","W09-0411","0.477778"
"W09-0411","2008.tc-1.2","0.477778"
"2010.eamt-1.33","W08-0328","0.602778"
"W08-0328","2010.eamt-1.33","0.602778"
"2010.eamt-1.33","W09-0411","0.477778"
"W09-0411","2010.eamt-1.33","0.477778"
"chen-eisele-2010-integrating","W08-0328","0.813889"
"W08-0328","chen-eisele-2010-integrating","0.813889"
"chen-eisele-2010-integrating","W09-0411","0.477778"
"W09-0411","chen-eisele-2010-integrating","0.477778"
"W07-0726","W08-0328","1.40278"
"W08-0328","W07-0726","1.40278"
"W07-0726","W09-0411","0.277778"
"W09-0411","W07-0726","0.277778"
"W08-0328","W09-0411","0.477778"
"W09-0411","W08-0328","0.477778"
"2008.eamt-1.6","2010.eamt-1.21","0.1"
"2010.eamt-1.21","2008.eamt-1.6","0.1"
"2008.eamt-1.6","adugna-eisele-2010-english","0.1"
"adugna-eisele-2010-english","2008.eamt-1.6","0.1"
"2008.eamt-1.6","chen-etal-2008-improving","0.1"
"chen-etal-2008-improving","2008.eamt-1.6","0.1"
"2008.eamt-1.6","eisele-chen-2010-multiun","0.1"
"eisele-chen-2010-multiun","2008.eamt-1.6","0.1"
"2008.eamt-1.6","N09-1015","0.1"
"N09-1015","2008.eamt-1.6","0.1"
"2008.eamt-1.6","W10-1708","0.1"
"W10-1708","2008.eamt-1.6","0.1"
"2008.tc-1.2","2010.eamt-1.21","0.211111"
"2010.eamt-1.21","2008.tc-1.2","0.211111"
"2008.tc-1.2","adugna-eisele-2010-english","0.211111"
"adugna-eisele-2010-english","2008.tc-1.2","0.211111"
"2008.tc-1.2","chen-etal-2008-improving","0.311111"
"chen-etal-2008-improving","2008.tc-1.2","0.311111"
"2008.tc-1.2","eisele-chen-2010-multiun","0.2"
"eisele-chen-2010-multiun","2008.tc-1.2","0.2"
"2008.tc-1.2","N09-1015","0.2"
"N09-1015","2008.tc-1.2","0.2"
"2008.tc-1.2","W10-1708","0.1"
"W10-1708","2008.tc-1.2","0.1"
"2010.eamt-1.21","adugna-eisele-2010-english","0.322222"
"adugna-eisele-2010-english","2010.eamt-1.21","0.322222"
"2010.eamt-1.21","chen-eisele-2010-integrating","0.447222"
"chen-eisele-2010-integrating","2010.eamt-1.21","0.447222"
"2010.eamt-1.21","chen-etal-2008-improving","0.447222"
"chen-etal-2008-improving","2010.eamt-1.21","0.447222"
"2010.eamt-1.21","eisele-chen-2010-multiun","0.336111"
"eisele-chen-2010-multiun","2010.eamt-1.21","0.336111"
"2010.eamt-1.21","N09-1015","0.669444"
"N09-1015","2010.eamt-1.21","0.669444"
"2010.eamt-1.21","W08-0328","0.447222"
"W08-0328","2010.eamt-1.21","0.447222"
"2010.eamt-1.21","W09-0405","0.447222"
"W09-0405","2010.eamt-1.21","0.447222"
"2010.eamt-1.21","W10-1708","0.544444"
"W10-1708","2010.eamt-1.21","0.544444"
"adugna-eisele-2010-english","chen-eisele-2010-integrating","1.32222"
"chen-eisele-2010-integrating","adugna-eisele-2010-english","1.32222"
"adugna-eisele-2010-english","chen-etal-2008-improving","0.322222"
"chen-etal-2008-improving","adugna-eisele-2010-english","0.322222"
"adugna-eisele-2010-english","eisele-chen-2010-multiun","0.211111"
"eisele-chen-2010-multiun","adugna-eisele-2010-english","0.211111"
"adugna-eisele-2010-english","N09-1015","0.211111"
"N09-1015","adugna-eisele-2010-english","0.211111"
"adugna-eisele-2010-english","W08-0328","0.322222"
"W08-0328","adugna-eisele-2010-english","0.322222"
"adugna-eisele-2010-english","W09-0405","0.322222"
"W09-0405","adugna-eisele-2010-english","0.322222"
"adugna-eisele-2010-english","W10-1708","0.211111"
"W10-1708","adugna-eisele-2010-english","0.211111"
"chen-eisele-2010-integrating","chen-etal-2008-improving","0.547222"
"chen-etal-2008-improving","chen-eisele-2010-integrating","0.547222"
"chen-eisele-2010-integrating","eisele-chen-2010-multiun","0.436111"
"eisele-chen-2010-multiun","chen-eisele-2010-integrating","0.436111"
"chen-eisele-2010-integrating","N09-1015","0.436111"
"N09-1015","chen-eisele-2010-integrating","0.436111"
"chen-eisele-2010-integrating","W10-1708","0.211111"
"W10-1708","chen-eisele-2010-integrating","0.211111"
"chen-etal-2008-improving","eisele-chen-2010-multiun","1.76944"
"eisele-chen-2010-multiun","chen-etal-2008-improving","1.76944"
"chen-etal-2008-improving","N09-1015","2.43611"
"N09-1015","chen-etal-2008-improving","2.43611"
"chen-etal-2008-improving","W08-0328","0.447222"
"W08-0328","chen-etal-2008-improving","0.447222"
"chen-etal-2008-improving","W09-0405","0.547222"
"W09-0405","chen-etal-2008-improving","0.547222"
"chen-etal-2008-improving","W10-1708","0.211111"
"W10-1708","chen-etal-2008-improving","0.211111"
"eisele-chen-2010-multiun","N09-1015","2.43611"
"N09-1015","eisele-chen-2010-multiun","2.43611"
"eisele-chen-2010-multiun","W08-0328","0.336111"
"W08-0328","eisele-chen-2010-multiun","0.336111"
"eisele-chen-2010-multiun","W09-0405","0.436111"
"W09-0405","eisele-chen-2010-multiun","0.436111"
"eisele-chen-2010-multiun","W10-1708","0.211111"
"W10-1708","eisele-chen-2010-multiun","0.211111"
"N09-1015","W08-0328","0.336111"
"W08-0328","N09-1015","0.336111"
"N09-1015","W09-0405","0.436111"
"W09-0405","N09-1015","0.436111"
"N09-1015","W10-1708","0.544444"
"W10-1708","N09-1015","0.544444"
"W08-0328","W09-0405","1.44722"
"W09-0405","W08-0328","1.44722"
"W08-0328","W10-1708","0.211111"
"W10-1708","W08-0328","0.211111"
"W09-0405","W10-1708","0.211111"
"W10-1708","W09-0405","0.211111"
"2010.eamt-1.21","2010.eamt-1.33","0.569444"
"2010.eamt-1.33","2010.eamt-1.21","0.569444"
"2010.eamt-1.21","W07-0726","0.236111"
"W07-0726","2010.eamt-1.21","0.236111"
"2010.eamt-1.21","W09-0411","0.111111"
"W09-0411","2010.eamt-1.21","0.111111"
"2010.eamt-1.33","adugna-eisele-2010-english","0.111111"
"adugna-eisele-2010-english","2010.eamt-1.33","0.111111"
"2010.eamt-1.33","chen-etal-2008-improving","0.336111"
"chen-etal-2008-improving","2010.eamt-1.33","0.336111"
"adugna-eisele-2010-english","W07-0726","0.111111"
"W07-0726","adugna-eisele-2010-english","0.111111"
"adugna-eisele-2010-english","W09-0411","0.111111"
"W09-0411","adugna-eisele-2010-english","0.111111"
"chen-etal-2008-improving","W07-0726","0.336111"
"W07-0726","chen-etal-2008-improving","0.336111"
"chen-etal-2008-improving","W09-0411","0.111111"
"W09-0411","chen-etal-2008-improving","0.111111"
"W09-0405","W09-0411","1.11111"
"W09-0411","W09-0405","1.11111"
"2008.tc-1.2","chen-eisele-2012-multiun","0.1"
"chen-eisele-2012-multiun","2008.tc-1.2","0.1"
"2008.tc-1.2","eisele-2006-parallel","0.1"
"eisele-2006-parallel","2008.tc-1.2","0.1"
"2008.tc-1.2","steinberger-etal-2012-dgt","0.1"
"steinberger-etal-2012-dgt","2008.tc-1.2","0.1"
"2010.eamt-1.33","chen-eisele-2012-multiun","0.1"
"chen-eisele-2012-multiun","2010.eamt-1.33","0.1"
"2010.eamt-1.33","eisele-2006-parallel","0.1"
"eisele-2006-parallel","2010.eamt-1.33","0.1"
"2010.eamt-1.33","eisele-chen-2010-multiun","0.225"
"eisele-chen-2010-multiun","2010.eamt-1.33","0.225"
"2010.eamt-1.33","N09-1015","0.558333"
"N09-1015","2010.eamt-1.33","0.558333"
"2010.eamt-1.33","steinberger-etal-2012-dgt","0.1"
"steinberger-etal-2012-dgt","2010.eamt-1.33","0.1"
"chen-eisele-2010-integrating","chen-eisele-2012-multiun","0.1"
"chen-eisele-2012-multiun","chen-eisele-2010-integrating","0.1"
"chen-eisele-2010-integrating","eisele-2006-parallel","0.1"
"eisele-2006-parallel","chen-eisele-2010-integrating","0.1"
"chen-eisele-2010-integrating","steinberger-etal-2012-dgt","0.1"
"steinberger-etal-2012-dgt","chen-eisele-2010-integrating","0.1"
"chen-eisele-2012-multiun","chen-etal-2008-improving","0.433333"
"chen-etal-2008-improving","chen-eisele-2012-multiun","0.433333"
"chen-eisele-2012-multiun","eisele-2006-parallel","0.1"
"eisele-2006-parallel","chen-eisele-2012-multiun","0.1"
"chen-eisele-2012-multiun","eisele-chen-2010-multiun","0.433333"
"eisele-chen-2010-multiun","chen-eisele-2012-multiun","0.433333"
"chen-eisele-2012-multiun","N09-1015","0.1"
"N09-1015","chen-eisele-2012-multiun","0.1"
"chen-eisele-2012-multiun","steinberger-etal-2012-dgt","0.433333"
"steinberger-etal-2012-dgt","chen-eisele-2012-multiun","0.433333"
"chen-eisele-2012-multiun","W07-0726","0.1"
"W07-0726","chen-eisele-2012-multiun","0.1"
"chen-eisele-2012-multiun","W09-0405","0.1"
"W09-0405","chen-eisele-2012-multiun","0.1"
"chen-etal-2008-improving","eisele-2006-parallel","0.1"
"eisele-2006-parallel","chen-etal-2008-improving","0.1"
"chen-etal-2008-improving","steinberger-etal-2012-dgt","0.433333"
"steinberger-etal-2012-dgt","chen-etal-2008-improving","0.433333"
"eisele-2006-parallel","eisele-chen-2010-multiun","0.1"
"eisele-chen-2010-multiun","eisele-2006-parallel","0.1"
"eisele-2006-parallel","N09-1015","0.1"
"N09-1015","eisele-2006-parallel","0.1"
"eisele-2006-parallel","steinberger-etal-2012-dgt","0.1"
"steinberger-etal-2012-dgt","eisele-2006-parallel","0.1"
"eisele-2006-parallel","W07-0726","0.1"
"W07-0726","eisele-2006-parallel","0.1"
"eisele-2006-parallel","W09-0405","0.1"
"W09-0405","eisele-2006-parallel","0.1"
"eisele-chen-2010-multiun","steinberger-etal-2012-dgt","1.43333"
"steinberger-etal-2012-dgt","eisele-chen-2010-multiun","1.43333"
"eisele-chen-2010-multiun","W07-0726","0.225"
"W07-0726","eisele-chen-2010-multiun","0.225"
"N09-1015","steinberger-etal-2012-dgt","0.1"
"steinberger-etal-2012-dgt","N09-1015","0.1"
"N09-1015","W07-0726","0.225"
"W07-0726","N09-1015","0.225"
"steinberger-etal-2012-dgt","W07-0726","0.1"
"W07-0726","steinberger-etal-2012-dgt","0.1"
"steinberger-etal-2012-dgt","W09-0405","0.1"
"W09-0405","steinberger-etal-2012-dgt","0.1"
"2010.eamt-1.33","W10-1708","0.333333"
"W10-1708","2010.eamt-1.33","0.333333"
"2010.eamt-1.21","W05-0828","0.111111"
"W05-0828","2010.eamt-1.21","0.111111"
"adugna-eisele-2010-english","W05-0828","0.111111"
"W05-0828","adugna-eisele-2010-english","0.111111"
"chen-etal-2008-improving","W05-0828","0.111111"
"W05-0828","chen-etal-2008-improving","0.111111"
"eisele-chen-2010-multiun","W05-0828","0.111111"
"W05-0828","eisele-chen-2010-multiun","0.111111"
"N09-1015","W05-0828","1.11111"
"W05-0828","N09-1015","1.11111"
"W05-0828","W08-0328","0.111111"
"W08-0328","W05-0828","0.111111"
"W05-0828","W09-0405","0.111111"
"W09-0405","W05-0828","0.111111"
"W05-0828","W10-1708","0.111111"
"W10-1708","W05-0828","0.111111"
"2020.wmt-1.26","W19-5334","5"
"W19-5334","2020.wmt-1.26","5"
"C90-2018","P88-1035","3"
"P88-1035","C90-2018","3"
