"2020.acl-main.560","2020.lrec-1.345","1"
"2020.lrec-1.345","2020.acl-main.560","1"
"2020.calcs-1.5","D14-1105","0.333333"
"D14-1105","2020.calcs-1.5","0.333333"
"2020.calcs-1.5","gupta-etal-2012-mining","0.166667"
"gupta-etal-2012-mining","2020.calcs-1.5","0.166667"
"2020.calcs-1.5","W11-3501","0.166667"
"W11-3501","2020.calcs-1.5","0.166667"
"2020.calcs-1.5","W14-3914","0.166667"
"W14-3914","2020.calcs-1.5","0.166667"
"2020.calcs-1.5","W14-5151","0.309524"
"W14-5151","2020.calcs-1.5","0.309524"
"2020.calcs-1.5","W15-5936","0.67619"
"W15-5936","2020.calcs-1.5","0.67619"
"D14-1105","gupta-etal-2012-mining","0.166667"
"gupta-etal-2012-mining","D14-1105","0.166667"
"D14-1105","W11-3501","0.166667"
"W11-3501","D14-1105","0.166667"
"D14-1105","W14-3914","0.666667"
"W14-3914","D14-1105","0.666667"
"D14-1105","W14-5151","1.14286"
"W14-5151","D14-1105","1.14286"
"D14-1105","W15-5936","4.47619"
"W15-5936","D14-1105","4.47619"
"gupta-etal-2012-mining","W11-3501","2.16667"
"W11-3501","gupta-etal-2012-mining","2.16667"
"gupta-etal-2012-mining","W14-3914","0.166667"
"W14-3914","gupta-etal-2012-mining","0.166667"
"gupta-etal-2012-mining","W14-5151","0.166667"
"W14-5151","gupta-etal-2012-mining","0.166667"
"gupta-etal-2012-mining","W15-5936","0.166667"
"W15-5936","gupta-etal-2012-mining","0.166667"
"W11-3501","W14-3914","0.166667"
"W14-3914","W11-3501","0.166667"
"W11-3501","W14-5151","0.166667"
"W14-5151","W11-3501","0.166667"
"W11-3501","W15-5936","0.166667"
"W15-5936","W11-3501","0.166667"
"W14-3914","W14-5151","0.166667"
"W14-5151","W14-3914","0.166667"
"W14-3914","W15-5936","0.666667"
"W15-5936","W14-3914","0.666667"
"W14-5151","W15-5936","0.952381"
"W15-5936","W14-5151","0.952381"
"2020.calcs-1.5","D16-1121","0.309524"
"D16-1121","2020.calcs-1.5","0.309524"
"2020.calcs-1.5","L16-1260","0.509524"
"L16-1260","2020.calcs-1.5","0.509524"
"2020.calcs-1.5","P17-1180","3.16667"
"P17-1180","2020.calcs-1.5","3.16667"
"2020.calcs-1.5","W17-7509","0.759524"
"W17-7509","2020.calcs-1.5","0.759524"
"D14-1105","D16-1121","0.559524"
"D16-1121","D14-1105","0.559524"
"D14-1105","L16-1260","0.309524"
"L16-1260","D14-1105","0.309524"
"D14-1105","P17-1180","1.25"
"P17-1180","D14-1105","1.25"
"D14-1105","W17-7509","0.309524"
"W17-7509","D14-1105","0.309524"
"D16-1121","L16-1260","0.452381"
"L16-1260","D16-1121","0.452381"
"D16-1121","P17-1180","0.5"
"P17-1180","D16-1121","0.5"
"D16-1121","W15-5936","0.702381"
"W15-5936","D16-1121","0.702381"
"D16-1121","W17-7509","0.452381"
"W17-7509","D16-1121","0.452381"
"L16-1260","P17-1180","0.166667"
"P17-1180","L16-1260","0.166667"
"L16-1260","W15-5936","0.652381"
"W15-5936","L16-1260","0.652381"
"L16-1260","W17-7509","0.652381"
"W17-7509","L16-1260","0.652381"
"P17-1180","W15-5936","1.91667"
"W15-5936","P17-1180","1.91667"
"P17-1180","W17-7509","1.36667"
"W17-7509","P17-1180","1.36667"
"W15-5936","W17-7509","1.65238"
"W17-7509","W15-5936","1.65238"
"2020.calcs-1.5","2021.law-1.7","0.392857"
"2021.law-1.7","2020.calcs-1.5","0.392857"
