"W10-4316","2010","4","3"
"N10-1008","2010","17","3"
"H94-1037","1994","27","1"
"H94-1055","1994","18","3"
"H94-1103","1994","-1","1"
"H93-1095","1993","-1","1"
"H92-1005","1992","37","4"
"H92-1016","1992","16","1"
"H92-1048","1992","-1","1"
"H92-1075","1992","3","4"
"H92-1107","1992","1","1"
"H91-1011","1991","7","3"
"H91-1014","1991","17","9"
"H91-1031","1991","6","2"
"H91-1070","1991","40","3"
"H91-1071","1991","13","3"
"H91-1090","1991","-1","1"
"H90-1028","1990","8","1"
"H90-1043","1990","18","1"
"H90-1074","1990","13","1"
"H90-1090","1990","-1","1"
"H89-2008","1989","14","1"
"H89-2018","1989","22","1"
"H89-2022","1989","9","1"
"H89-2066","1989","0","1"
"H89-2077","1989","4","5"
"H89-1025","1989","0","1"
"H89-1027","1989","78","1"
