"2005.sigdial-1.9","J07-3005","2"
"J07-3005","2005.sigdial-1.9","2"
"2015.lilt-10.4","W18-4101","1"
"W18-4101","2015.lilt-10.4","1"
"2017.lilt-15.3","W19-6108","1"
"W19-6108","2017.lilt-15.3","1"
"2020.tacl-1.20","W19-0414","0.5"
"W19-0414","2020.tacl-1.20","0.5"
"2020.tacl-1.20","W19-6108","1.33333"
"W19-6108","2020.tacl-1.20","1.33333"
"W19-0414","W19-6108","0.5"
"W19-6108","W19-0414","0.5"
"2020.tacl-1.20","P15-1156","0.333333"
"P15-1156","2020.tacl-1.20","0.333333"
"2020.tacl-1.20","W13-2604","0.333333"
"W13-2604","2020.tacl-1.20","0.333333"
"P15-1156","W13-2604","0.333333"
"W13-2604","P15-1156","0.333333"
"P15-1156","W19-6108","1.33333"
"W19-6108","P15-1156","1.33333"
"W13-2604","W19-6108","0.333333"
"W19-6108","W13-2604","0.333333"
"2020.tacl-1.20","P18-2073","1.5"
"P18-2073","2020.tacl-1.20","1.5"
"P18-2073","W19-6108","0.5"
"W19-6108","P18-2073","0.5"
"C96-2116","W01-1608","1"
"W01-1608","C96-2116","1"
"C96-2116","J94-4002","1"
"J94-4002","C96-2116","1"
"J01-4001","J94-4002","3"
"J94-4002","J01-4001","3"
"J90-4001","P90-1018","5.5"
"P90-1018","J90-4001","5.5"
"J90-4001","J94-4002","1.5"
"J94-4002","J90-4001","1.5"
"J94-4002","P90-1018","0.5"
"P90-1018","J94-4002","0.5"
"P15-1156","P18-2073","1"
"P18-2073","P15-1156","1"
"S19-1029","W18-4101","1"
"W18-4101","S19-1029","1"
"S19-1029","W19-6137","1"
"W19-6137","S19-1029","1"
"W17-6903","W18-0906","2"
"W18-0906","W17-6903","2"
"W17-6903","W19-6108","1"
"W19-6108","W17-6903","1"
"W18-0906","W19-0414","1"
"W19-0414","W18-0906","1"
