"2003.jeptalnrecital-long.10","duclaye-etal-2002-using","3"
"duclaye-etal-2002-using","2003.jeptalnrecital-long.10","3"
"2004.jeptalnrecital-poster.22","de-mareuil-etal-2000-french","1"
"de-mareuil-etal-2000-french","2004.jeptalnrecital-poster.22","1"
"2004.jeptalnrecital-poster.22","C08-2013","0.333333"
"C08-2013","2004.jeptalnrecital-poster.22","0.333333"
"2004.jeptalnrecital-poster.22","E09-1056","0.333333"
"E09-1056","2004.jeptalnrecital-poster.22","0.333333"
"2004.jeptalnrecital-poster.22","W05-0616","0.333333"
"W05-0616","2004.jeptalnrecital-poster.22","0.333333"
"C08-2013","E09-1056","3.83333"
"E09-1056","C08-2013","3.83333"
"C08-2013","W05-0616","0.833333"
"W05-0616","C08-2013","0.833333"
"E09-1056","W05-0616","0.833333"
"W05-0616","E09-1056","0.833333"
"2008.jeptalnrecital-court.19","C08-1075","1"
"C08-1075","2008.jeptalnrecital-court.19","1"
"2008.jeptalnrecital-long.13","C08-1056","1.07262"
"C08-1056","2008.jeptalnrecital-long.13","1.07262"
"2008.jeptalnrecital-long.13","2009.eamt-1.10","0.0625"
"2009.eamt-1.10","2008.jeptalnrecital-long.13","0.0625"
"2008.jeptalnrecital-long.13","2009.jeptalnrecital-court.28","0.0875"
"2009.jeptalnrecital-court.28","2008.jeptalnrecital-long.13","0.0875"
"2008.jeptalnrecital-long.13","2011.eamt-1.41","0.0625"
"2011.eamt-1.41","2008.jeptalnrecital-long.13","0.0625"
"2008.jeptalnrecital-long.13","2011.iwslt-papers.10","0.0625"
"2011.iwslt-papers.10","2008.jeptalnrecital-long.13","0.0625"
"2008.jeptalnrecital-long.13","2011.jeptalnrecital-long.36","0.0875"
"2011.jeptalnrecital-long.36","2008.jeptalnrecital-long.13","0.0875"
"2008.jeptalnrecital-long.13","2011.jeptalnrecital-long.37","0.135119"
"2011.jeptalnrecital-long.37","2008.jeptalnrecital-long.13","0.135119"
"2008.jeptalnrecital-long.13","2012.eamt-1.62","0.135119"
"2012.eamt-1.62","2008.jeptalnrecital-long.13","0.135119"
"2008.jeptalnrecital-long.13","2012.iwslt-papers.20","0.0875"
"2012.iwslt-papers.20","2008.jeptalnrecital-long.13","0.0875"
"2008.jeptalnrecital-long.13","2021.emnlp-main.665","0.110119"
"2021.emnlp-main.665","2008.jeptalnrecital-long.13","0.110119"
"2008.jeptalnrecital-long.13","D10-1091","0.135119"
"D10-1091","2008.jeptalnrecital-long.13","0.135119"
"2008.jeptalnrecital-long.13","F12-2009","0.135119"
"F12-2009","2008.jeptalnrecital-long.13","0.135119"
"2008.jeptalnrecital-long.13","F13-1033","0.0875"
"F13-1033","2008.jeptalnrecital-long.13","0.0875"
"2008.jeptalnrecital-long.13","L16-1099","0.0625"
"L16-1099","2008.jeptalnrecital-long.13","0.0625"
"2008.jeptalnrecital-long.13","W08-0310","0.0625"
"W08-0310","2008.jeptalnrecital-long.13","0.0625"
"2008.jeptalnrecital-long.13","W11-2168","0.0875"
"W11-2168","2008.jeptalnrecital-long.13","0.0875"
"2008.jeptalnrecital-long.13","W15-3012","0.110119"
"W15-3012","2008.jeptalnrecital-long.13","0.110119"
"2009.eamt-1.10","2009.jeptalnrecital-court.28","0.105978"
"2009.jeptalnrecital-court.28","2009.eamt-1.10","0.105978"
"2009.eamt-1.10","2011.eamt-1.41","0.118056"
"2011.eamt-1.41","2009.eamt-1.10","0.118056"
"2009.eamt-1.10","2011.iwslt-papers.10","0.118056"
"2011.iwslt-papers.10","2009.eamt-1.10","0.118056"
"2009.eamt-1.10","2011.jeptalnrecital-long.36","0.419089"
"2011.jeptalnrecital-long.36","2009.eamt-1.10","0.419089"
"2009.eamt-1.10","2011.jeptalnrecital-long.37","0.502422"
"2011.jeptalnrecital-long.37","2009.eamt-1.10","0.502422"
"2009.eamt-1.10","2012.eamt-1.62","0.141311"
"2012.eamt-1.62","2009.eamt-1.10","0.141311"
"2009.eamt-1.10","2012.iwslt-papers.20","0.0625"
"2012.iwslt-papers.20","2009.eamt-1.10","0.0625"
"2009.eamt-1.10","2021.emnlp-main.665","0.118056"
"2021.emnlp-main.665","2009.eamt-1.10","0.118056"
"2009.eamt-1.10","D10-1091","0.0857558"
"D10-1091","2009.eamt-1.10","0.0857558"
"2009.eamt-1.10","F12-2009","0.141311"
"F12-2009","2009.eamt-1.10","0.141311"
"2009.eamt-1.10","F13-1033","1.57368"
"F13-1033","2009.eamt-1.10","1.57368"
"2009.eamt-1.10","L16-1099","0.118056"
"L16-1099","2009.eamt-1.10","0.118056"
"2009.eamt-1.10","W08-0310","0.0857558"
"W08-0310","2009.eamt-1.10","0.0857558"
"2009.eamt-1.10","W11-2168","0.129234"
"W11-2168","2009.eamt-1.10","0.129234"
"2009.eamt-1.10","W15-3012","0.129234"
"W15-3012","2009.eamt-1.10","0.129234"
"2009.jeptalnrecital-court.28","2011.eamt-1.41","0.0625"
"2011.eamt-1.41","2009.jeptalnrecital-court.28","0.0625"
"2009.jeptalnrecital-court.28","2011.iwslt-papers.10","0.0625"
"2011.iwslt-papers.10","2009.jeptalnrecital-court.28","0.0625"
"2009.jeptalnrecital-court.28","2011.jeptalnrecital-long.36","0.143056"
"2011.jeptalnrecital-long.36","2009.jeptalnrecital-court.28","0.143056"
"2009.jeptalnrecital-court.28","2011.jeptalnrecital-long.37","0.0875"
"2011.jeptalnrecital-long.37","2009.jeptalnrecital-court.28","0.0875"
"2009.jeptalnrecital-court.28","2012.eamt-1.62","0.143056"
"2012.eamt-1.62","2009.jeptalnrecital-court.28","0.143056"
"2009.jeptalnrecital-court.28","2012.iwslt-papers.20","0.0875"
