"1993.iwpt-1.24","W93-0109","4"
"W93-0109","1993.iwpt-1.24","4"
"1995.tmi-1.13","1996.amta-1.30","0.833333"
"1996.amta-1.30","1995.tmi-1.13","0.833333"
"1995.tmi-1.13","C96-1033","0.333333"
"C96-1033","1995.tmi-1.13","0.333333"
"1995.tmi-1.13","W94-0113","0.333333"
"W94-0113","1995.tmi-1.13","0.333333"
"1996.amta-1.30","C96-1033","0.333333"
"C96-1033","1996.amta-1.30","0.333333"
"1996.amta-1.30","W94-0113","0.333333"
"W94-0113","1996.amta-1.30","0.333333"
"C96-1033","W94-0113","0.333333"
"W94-0113","C96-1033","0.333333"
"1995.tmi-1.13","C96-1075","0.5"
"C96-1075","1995.tmi-1.13","0.5"
"1996.amta-1.30","C96-1075","0.5"
"C96-1075","1996.amta-1.30","0.5"
"2003.mtsummit-papers.53","2004.iwslt-evaluation.11","0.594048"
"2004.iwslt-evaluation.11","2003.mtsummit-papers.53","0.594048"
"2003.mtsummit-papers.53","2005.eamt-1.18","0.0726191"
"2005.eamt-1.18","2003.mtsummit-papers.53","0.0726191"
"2003.mtsummit-papers.53","2005.eamt-1.19","0.144048"
"2005.eamt-1.19","2003.mtsummit-papers.53","0.144048"
"2003.mtsummit-papers.53","2005.iwslt-1.6","0.522619"
"2005.iwslt-1.6","2003.mtsummit-papers.53","0.522619"
"2003.mtsummit-papers.53","2005.iwslt-1.7","0.144048"
"2005.iwslt-1.7","2003.mtsummit-papers.53","0.144048"
"2003.mtsummit-papers.53","2005.mtsummit-papers.30","0.144048"
"2005.mtsummit-papers.30","2003.mtsummit-papers.53","0.144048"
"2003.mtsummit-papers.53","2006.iwslt-evaluation.19","0.0726191"
"2006.iwslt-evaluation.19","2003.mtsummit-papers.53","0.0726191"
"2003.mtsummit-papers.53","2007.iwslt-1.9","0.144048"
"2007.iwslt-1.9","2003.mtsummit-papers.53","0.144048"
"2003.mtsummit-papers.53","2008.iwslt-papers.5","0.119048"
"2008.iwslt-papers.5","2003.mtsummit-papers.53","0.119048"
"2003.mtsummit-papers.53","2010.eamt-1.29","0.047619"
"2010.eamt-1.29","2003.mtsummit-papers.53","0.047619"
"2003.mtsummit-papers.53","2012.amta-papers.19","0.047619"
"2012.amta-papers.19","2003.mtsummit-papers.53","0.047619"
"2003.mtsummit-papers.53","C16-1172","0.047619"
"C16-1172","2003.mtsummit-papers.53","0.047619"
"2003.mtsummit-papers.53","C98-2216","0.119048"
"C98-2216","2003.mtsummit-papers.53","0.119048"
"2003.mtsummit-papers.53","P03-1041","0.344048"
"P03-1041","2003.mtsummit-papers.53","0.344048"
"2003.mtsummit-papers.53","P97-1047","0.119048"
"P97-1047","2003.mtsummit-papers.53","0.119048"
"2003.mtsummit-papers.53","P98-2221","0.119048"
"P98-2221","2003.mtsummit-papers.53","0.119048"
"2003.mtsummit-papers.53","W03-0315","0.047619"
"W03-0315","2003.mtsummit-papers.53","0.047619"
"2003.mtsummit-papers.53","W03-1502","0.619048"
"W03-1502","2003.mtsummit-papers.53","0.619048"
