"2020.iwpt-1.21","2021.iwpt-1.19","1"
"2021.iwpt-1.19","2020.iwpt-1.21","1"
"2020.lrec-1.152","S17-2048","1"
"S17-2048","2020.lrec-1.152","1"
"atserias-etal-2008-semantically","attardi-etal-2010-resource","0.5"
"attardi-etal-2010-resource","atserias-etal-2008-semantically","0.5"
"atserias-etal-2008-semantically","W07-2217","0.5"
"W07-2217","atserias-etal-2008-semantically","0.5"
"attardi-etal-2010-resource","W07-2217","1.83333"
"W07-2217","attardi-etal-2010-resource","1.83333"
"atserias-etal-2008-semantically","S14-2134","1"
"S14-2134","atserias-etal-2008-semantically","1"
"atserias-etal-2008-semantically","N09-2066","0.333333"
"N09-2066","atserias-etal-2008-semantically","0.333333"
"atserias-etal-2008-semantically","S17-2048","0.333333"
"S17-2048","atserias-etal-2008-semantically","0.333333"
"atserias-etal-2008-semantically","W12-0707","0.333333"
"W12-0707","atserias-etal-2008-semantically","0.333333"
"N09-2066","S17-2048","0.333333"
"S17-2048","N09-2066","0.333333"
"N09-2066","W12-0707","0.67619"
"W12-0707","N09-2066","0.67619"
"S17-2048","W12-0707","0.333333"
"W12-0707","S17-2048","0.333333"
"atserias-etal-2010-active","D07-1119","0.233766"
"D07-1119","atserias-etal-2010-active","0.233766"
"atserias-etal-2010-active","N07-1049","0.233766"
"N07-1049","atserias-etal-2010-active","0.233766"
"atserias-etal-2010-active","N09-2066","0.142857"
"N09-2066","atserias-etal-2010-active","0.142857"
"atserias-etal-2010-active","W06-2922","0.142857"
"W06-2922","atserias-etal-2010-active","0.142857"
"atserias-etal-2010-active","W07-2217","1.23377"
"W07-2217","atserias-etal-2010-active","1.23377"
"atserias-etal-2010-active","W12-0707","0.233766"
"W12-0707","atserias-etal-2010-active","0.233766"
"atserias-etal-2010-active","W13-2220","0.233766"
"W13-2220","atserias-etal-2010-active","0.233766"
"D07-1119","N07-1049","1.13377"
"N07-1049","D07-1119","1.13377"
"D07-1119","N09-2066","0.792857"
"N09-2066","D07-1119","0.792857"
"D07-1119","W06-2922","2.54286"
"W06-2922","D07-1119","2.54286"
"D07-1119","W07-2217","1.38377"
"W07-2217","D07-1119","1.38377"
"D07-1119","W12-0707","0.7671"
"W12-0707","D07-1119","0.7671"
"D07-1119","W13-2220","0.5671"
"W13-2220","D07-1119","0.5671"
"N07-1049","N09-2066","1.24286"
"N09-2066","N07-1049","1.24286"
"N07-1049","W06-2922","0.742857"
"W06-2922","N07-1049","0.742857"
"N07-1049","W07-2217","4.6671"
"W07-2217","N07-1049","4.6671"
"N07-1049","W12-0707","0.433766"
"W12-0707","N07-1049","0.433766"
"N07-1049","W13-2220","0.5671"
"W13-2220","N07-1049","0.5671"
"N09-2066","W06-2922","0.742857"
"W06-2922","N09-2066","0.742857"
"N09-2066","W07-2217","1.99286"
"W07-2217","N09-2066","1.99286"
"N09-2066","W13-2220","0.142857"
"W13-2220","N09-2066","0.142857"
"W06-2922","W07-2217","0.742857"
"W07-2217","W06-2922","0.742857"
"W06-2922","W12-0707","0.342857"
"W12-0707","W06-2922","0.342857"
"W06-2922","W13-2220","0.142857"
"W13-2220","W06-2922","0.142857"
"W07-2217","W12-0707","0.433766"
"W12-0707","W07-2217","0.433766"
"W07-2217","W13-2220","0.5671"
"W13-2220","W07-2217","0.5671"
"W12-0707","W13-2220","0.5671"
"W13-2220","W12-0707","0.5671"
"atserias-etal-2010-active","L16-1264","0.0909091"
"L16-1264","atserias-etal-2010-active","0.0909091"
"atserias-etal-2010-active","P15-1082","0.0909091"
"P15-1082","atserias-etal-2010-active","0.0909091"
"atserias-etal-2010-active","S14-2134","0.0909091"
"S14-2134","atserias-etal-2010-active","0.0909091"
"atserias-etal-2010-active","W08-2138","0.0909091"
"W08-2138","atserias-etal-2010-active","0.0909091"
"atserias-etal-2010-active","W11-1009","0.0909091"
"W11-1009","atserias-etal-2010-active","0.0909091"
"atserias-etal-2010-active","W15-1002","0.0909091"
"W15-1002","atserias-etal-2010-active","0.0909091"
"D07-1119","L16-1264","0.0909091"
"L16-1264","D07-1119","0.0909091"
"D07-1119","P15-1082","0.0909091"
"P15-1082","D07-1119","0.0909091"
"D07-1119","S14-2134","0.0909091"
"S14-2134","D07-1119","0.0909091"
"D07-1119","W08-2138","0.424242"
"W08-2138","D07-1119","0.424242"
"D07-1119","W11-1009","0.0909091"
"W11-1009","D07-1119","0.0909091"
"D07-1119","W15-1002","0.0909091"
"W15-1002","D07-1119","0.0909091"
"L16-1264","N07-1049","0.0909091"
"N07-1049","L16-1264","0.0909091"
"L16-1264","P15-1082","0.0909091"
"P15-1082","L16-1264","0.0909091"
"L16-1264","S14-2134","0.0909091"
"S14-2134","L16-1264","0.0909091"
"L16-1264","W07-2217","0.0909091"
"W07-2217","L16-1264","0.0909091"
"L16-1264","W08-2138","0.0909091"
"W08-2138","L16-1264","0.0909091"
"L16-1264","W11-1009","0.0909091"
"W11-1009","L16-1264","0.0909091"
"L16-1264","W12-0707","0.0909091"
"W12-0707","L16-1264","0.0909091"
"L16-1264","W13-2220","0.0909091"
"W13-2220","L16-1264","0.0909091"
"L16-1264","W15-1002","0.0909091"
"W15-1002","L16-1264","0.0909091"
"N07-1049","P15-1082","0.0909091"
"P15-1082","N07-1049","0.0909091"
"N07-1049","S14-2134","0.0909091"
"S14-2134","N07-1049","0.0909091"
"N07-1049","W08-2138","1.09091"
"W08-2138","N07-1049","1.09091"
"N07-1049","W11-1009","0.590909"
"W11-1009","N07-1049","0.590909"
