"L16-1106","2016","0","1"
"P14-1106","2014","6","2"
"W13-4910","2013","3","1"
"P13-1110","2013","4","2"
"J13-1008","2013","30","1"
"N12-4007","2012","0","1"
"W11-2128","2011","8","1"
"P11-1159","2011","12","1"
"Y10-1027","2010","11","4"
"W10-1402","2010","34","1"
"P10-2033","2010","37","2"
"2010.jeptalnrecital-long.30","2010","-1","2"
"2010.amta-papers.35","2010","-1","1"
"W09-0426","2009","14","3"
"D09-1040","2009","128","1"
"D09-1081","2009","13","1"
"P08-1114","2008","111","1"
"D08-1024","2008","234","2"
