"2016.gwc-1.60","P14-2067","4"
"P14-2067","2016.gwc-1.60","4"
"C92-1045","E93-1031","0.5"
"E93-1031","C92-1045","0.5"
"C92-1045","P92-1001","0.5"
"P92-1001","C92-1045","0.5"
"E93-1031","P92-1001","2"
"P92-1001","E93-1031","2"
"E09-2009","P09-2076","0.5"
"P09-2076","E09-2009","0.5"
"E09-2009","W09-0628","1.5"
"W09-0628","E09-2009","1.5"
"P09-2076","W09-0628","0.5"
"W09-0628","P09-2076","0.5"
"E93-1031","W98-1404","0.5"
"W98-1404","E93-1031","0.5"
"P92-1001","W98-1404","0.5"
"W98-1404","P92-1001","0.5"
"J09-1003","P04-1050","9"
"P04-1050","J09-1003","9"
"J09-1003","J98-3006","0.5"
"J98-3006","J09-1003","0.5"
"J98-3006","P04-1050","0.5"
"P04-1050","J98-3006","0.5"
"J09-1003","W98-1404","0.5"
"W98-1404","J09-1003","0.5"
"P04-1050","W98-1404","0.5"
"W98-1404","P04-1050","0.5"
"L18-1483","W12-1508","1"
"W12-1508","L18-1483","1"
"W00-1418","W00-1435","1.5"
"W00-1435","W00-1418","1.5"
"W00-1418","W98-1411","0.5"
"W98-1411","W00-1418","0.5"
"W00-1435","W98-1411","0.5"
"W98-1411","W00-1435","0.5"
"W06-1405","W12-1508","1"
"W12-1508","W06-1405","1"
"W09-0628","W10-4233","1"
"W10-4233","W09-0628","1"
"W96-0416","W98-1404","1"
"W98-1404","W96-0416","1"
