"49187","49188","3"
"49188","49187","3"
"49187","8292","2"
"8292","49187","2"
"49188","8292","2"
"8292","49188","2"
"49187","4553","3"
"4553","49187","3"
"49187","26356","1"
"26356","49187","1"
"4553","49188","1"
"49188","4553","1"
"4553","26356","1"
"26356","4553","1"
"49188","26356","1"
"26356","49188","1"
"49187","39124","2"
"39124","49187","2"
"49187","16469","2"
"16469","49187","2"
"39124","16469","1"
"16469","39124","1"
"39124","49188","1"
"49188","39124","1"
"39124","8292","1"
"8292","39124","1"
"16469","49188","1"
"49188","16469","1"
"16469","8292","1"
"8292","16469","1"
"49187","4171","2"
"4171","49187","2"
"49187","35485","1"
"35485","49187","1"
"4553","39124","1"
"39124","4553","1"
"4553","4171","2"
"4171","4553","2"
"4553","35485","1"
"35485","4553","1"
"39124","4171","1"
"4171","39124","1"
"39124","35485","1"
"35485","39124","1"
"4171","35485","1"
"35485","4171","1"
"49187","52760","1"
"52760","49187","1"
"49187","28288","1"
"28288","49187","1"
"52760","28288","1"
"28288","52760","1"
"4553","16469","1"
"16469","4553","1"
"16469","4171","1"
"4171","16469","1"
"49187","4268","1"
"4268","49187","1"
"49187","895","6"
"895","49187","6"
"49187","4872","1"
"4872","49187","1"
"4268","895","1"
"895","4268","1"
"4268","4872","1"
"4872","4268","1"
"895","4872","1"
"4872","895","1"
"49187","54193","1"
"54193","49187","1"
"49187","659","1"
"659","49187","1"
"49187","21861","1"
"21861","49187","1"
"54193","659","1"
"659","54193","1"
"54193","21861","1"
"21861","54193","1"
"659","21861","1"
"21861","659","1"
"49187","2447","2"
"2447","49187","2"
"49187","54303","1"
"54303","49187","1"
"2447","54303","1"
"54303","2447","1"
"49187","54349","1"
"54349","49187","1"
"49187","721","2"
"721","49187","2"
"49187","45547","2"
"45547","49187","2"
"54349","721","1"
"721","54349","1"
"54349","895","1"
"895","54349","1"
"54349","2447","1"
"2447","54349","1"
"54349","45547","1"
"45547","54349","1"
"721","895","2"
"895","721","2"
"721","2447","1"
"2447","721","1"
"721","45547","2"
"45547","721","2"
"895","2447","1"
"2447","895","1"
"895","45547","2"
"45547","895","2"
"2447","45547","1"
"45547","2447","1"
