citingpaperID,citedpaperID,proba
130366599,2078944436,0.38375
130366599,2296715995,0.42625
1481365258,2090337950,0.38875
1481365258,2095621310,0.3
1491256615,1558109178,0.20875
1497385637,2095621310,0.45875
1503668062,1982230416,0.53625
1503668062,2107214848,0.5425
1503668062,2150848984,0.7625
1503668062,2520329654,0.3675
1508280916,1497385637,0.58125
1508280916,1538992328,0.48375
1508280916,2064723869,0.37125
1528500212,1720408708,0.48
1528500212,2078944436,0.26625
1528500212,2095621310,0.44875
1528500212,2550953148,0.2925
1531909611,2092408876,0.12125
1531909611,2132854590,0.16125
1538992328,2095621310,0.255
1538992328,2296715995,0.19125
1538992328,2468613061,0.5925
1547274559,2131916293,0.37
1550049051,2131916293,0.3625
1552909716,1558109178,0.24875
1552909716,1597497095,0.4925
1552909716,1966981171,0.22125
1552909716,2049803057,0.465
1552909716,2062950667,0.1875
1552909716,2074802267,0.2425
1552909716,2078944436,0.1725
1552909716,2095621310,0.2875
1552909716,2115866888,0.39375
1552909716,2132854590,0.41375
1552909716,249176535,0.5875
1554222327,2550953148,0.3525
1555859008,2078944436,0.45375
1555859008,2296715995,0.41
1558109178,2095621310,0.20875
1573380057,1982230416,0.69
1573380057,2107214848,0.4825
1573380057,2140647971,0.42125
1573380057,2168938117,0.41875
1578216787,1978718408,0.37625
1583735663,1597497095,0.44375
1583735663,2095621310,0.32625
1583735663,2115866888,0.27125
1588297277,2062950667,0.20375
1588297277,2074674709,0.45125
1588297277,2074802267,0.39
1588297277,2078944436,0.26125
1597497095,1978718408,0.405
1597637718,1558109178,0.47125
1597637718,1647001983,0.345
1647001983,1978718408,0.64125
1647001983,2065431951,0.58875
1720408708,1528500212,0.5025
1720408708,2095621310,0.35625
1720408708,22089940,0.395
1740526726,2151732969,0.36875
184339100,1966981171,0.055
184339100,2036523032,0.375
184339100,2107214848,0.155
184339100,2112774031,0.1975
184339100,2125690388,0.17875
184339100,2130363716,0.1825
184339100,2151958460,0.1825
184339100,84930537,0.18875
1888232792,149310437,0.67375
1888232792,2074674709,0.15125
1888232792,2078944436,0.145
1935001809,1558109178,0.355
1935001809,1964211642,0.435
1935001809,2078944436,0.2475
1935001809,2131916293,0.37
1964211642,1552909716,0.2525
1966981171,2062950667,0.21625
1966981171,2078944436,0.1275
1971373556,1573380057,0.64125
1971373556,1597497095,0.17375
1971373556,2029422023,0.20125
1971373556,2048706733,0.1125
1971373556,2069858276,0.28125
1971373556,2082765113,0.1825
1971373556,2107214848,0.15625
1971373556,2112474400,0.39625
1971373556,2125690388,0.30125
1971373556,2131916293,0.16
1971373556,2140647971,0.1325
1972301184,2074674709,0.225
1975718783,1558109178,0.68
1975718783,2062950667,0.6075
1975718783,2078944436,0.4275
1975718783,2095621310,0.58
1975718783,22089940,0.4675
197788030,2074674709,0.45
1978718408,22089940,0.57375
