73862328,Online Testing of Real-time Systems Using UPPAAL Status and Future Work,2005,33,16,2,0,199965553,,0,2.2673838485199678,-0.698619324783206
24620155,Robust specification of real time components,2011,21,21,4,0,1633452320,,0,-0.35991103039564804,0.09342958824184167
296769721,Time for statistical model checking of real-time systems,2011,17,107,4,0,199965553,,0,0.08571635469672317,1.0179782216801607
827800055,Reactive Systems Suggestions for student projects,2007,0,0,3,0,1976754946,,0,-1.1259915087284411,-0.37978842258920764
985281171,Computer aided verification 14th international conference CAV 2002 Copenhagen Denmark July 27-31 2002 proceedings,1992,0,0,2,0,2075578308,,0,0.36554365277096706,0.01207280982456078
1488121907,The expressive power of implicit specifications,1991,25,18,1,0,2146581609,,0,-0.49861700894858774,0.620873920570594
1159116323,Reactive Systems Introduction,2007,0,0,3,0,1976754946,,0,-0.1806164563517082,-0.18033171048170904
1514172519,Automatic abstraction refinement for timed automata,2007,27,36,2,0,1506029400,,0,1.3245974903987339,-0.6057085467237066
1489329521,T-UPPAAL online model-based testing of real-time systems,2004,3,49,2,0,199965553,,0,3.5270090874085107,-0.8279660910433814
1552249698,Time Abstracted Bisimiulation Implicit Specifications and Decidability,1993,22,75,2,0,2124415778,,0,-0.22689606238092908,0.08200999604720309
1516661386,Model Construction for Implicit Specifications in Model Logic,1993,21,6,2,0,2133679741,,0,-0.346498436889175,-0.21295969547353036
1574579761,Compositional Theories Based on an Operational Semantics of Contexts,1989,29,25,1,0,2146581609,,0,-0.0183024870971178,0.0680118484996777
1574819315,Computer Aided Verification 3rd International Workshop CAV 91 Aalborg Denmark July 1-4 1991 Proceedings,1992,0,0,1,0,2146581609,,0,0.48004106778094263,-0.34421422803388363
1503142164,Automatic verification of real-timed systems using Epsilon,1995,18,3,2,0,1058126842,,0,3.477258202810133,-0.9893393316898704
1556929651,Automated Analysis of an Audio Control Protocol Using UPPAAL,2002,0,31,5,0,2011261465,,0,-0.1164726804531344,0.019252515865476
1957639564,Guided Synthesis of Control Programs Using UPPAAL,2000,7,18,3,0,2011261465,,0,-0.1164726804531344,0.019252515865476
